Datum,00-11,12-14,15-24,25-34,35-44,45-54,55-64,65-74,75-84,>84,NotAssigned
2021/12/14,0,8904,22148,24100,30188,37748,43317,34421,20793,8924,0
2021/12/13,0,8253,22131,24085,30169,37727,43290,34397,20776,8911,0
2021/12/12,0,8221,22117,24069,30156,37719,43280,34385,20770,8906,0
2021/12/11,0,8202,22097,24051,30138,37709,43272,34377,20768,8906,0
2021/12/10,0,8111,22067,24016,30109,37673,43254,34353,20755,8896,0
2021/12/09,0,8017,22041,23984,30077,37643,43233,34341,20745,8890,0
2021/12/08,0,7944,22017,23956,30049,37622,43204,34327,20732,8877,0
2021/12/07,0,7879,22004,23942,30032,37610,43187,34310,20726,8867,0
2021/12/06,0,6673,21983,23923,30008,37586,43166,34291,20717,8861,0
2021/12/05,0,6621,21971,23911,29996,37565,43143,34280,20710,8849,0
2021/12/04,0,6599,21958,23893,29988,37550,43127,34272,20710,8846,0
2021/12/03,0,6455,21923,23855,29960,37515,43087,34254,20693,8839,0
2021/12/02,0,6373,21908,23823,29945,37502,43066,34240,20686,8831,0
2021/12/01,0,6246,21875,23782,29899,37466,43027,34217,20661,8825,0
2021/11/30,0,6150,21852,23754,29873,37448,42995,34197,20650,8817,0
2021/11/29,0,5526,21831,23729,29857,37422,42977,34183,20638,8805,0
2021/11/28,0,5455,21821,23715,29847,37406,42963,34177,20633,8803,0
2021/11/27,0,5410,21811,23696,29825,37394,42954,34170,20628,8800,0
2021/11/26,0,5337,21774,23662,29793,37365,42922,34150,20626,8796,0
2021/11/25,0,5244,21734,23632,29764,37327,42886,34133,20616,8790,0
2021/11/24,0,5163,21683,23586,29728,37283,42854,34102,20598,8785,0
2021/11/23,0,5085,21651,23555,29688,37249,42822,34082,20585,8780,0
2021/11/22,0,5030,21619,23512,29640,37225,42795,34065,20573,8772,0
2021/11/21,0,4992,21612,23488,29623,37209,42771,34057,20567,8766,0
2021/11/20,0,4962,21570,23431,29557,37156,42734,34040,20565,8765,0
2021/11/19,0,4873,21427,23323,29440,37068,42675,34005,20553,8762,0
2021/11/18,0,4796,21345,23235,29352,37004,42647,33991,20543,8761,0
2021/11/17,0,4708,21236,23141,29263,36933,42578,33961,20530,8749,0
2021/11/16,0,4675,21184,23075,29208,36873,42531,33941,20515,8746,0
2021/11/15,0,4627,21116,23011,29152,36812,42499,33927,20510,8737,0
2021/11/14,0,4618,21083,22976,29120,36786,42480,33920,20507,8735,0
2021/11/13,0,4614,21070,22964,29112,36775,42474,33919,20506,8735,0
2021/11/12,0,4602,21023,22938,29090,36757,42465,33913,20506,8734,0
2021/11/11,0,4575,20936,22873,29021,36709,42433,33910,20499,8733,0
2021/11/10,0,4544,20862,22803,28956,36660,42413,33902,20491,8731,0
2021/11/09,0,4483,20818,22750,28925,36627,42389,33883,20485,8727,0
2021/11/08,0,4428,20731,22671,28877,36589,42358,33874,20478,8724,0
2021/11/07,0,4380,20683,22630,28846,36560,42344,33869,20472,8722,0
2021/11/06,0,4313,20566,22504,28735,36479,42298,33853,20466,8720,0
2021/11/05,0,4234,20449,22387,28618,36371,42239,33834,20459,8719,0
2021/11/04,0,4164,20406,22356,28582,36352,42224,33828,20455,8718,0
2021/11/03,0,4114,20329,22277,28519,36300,42183,33816,20450,8713,0
2021/11/02,0,4079,20303,22245,28491,36274,42160,33813,20445,8711,0
2021/11/01,0,4058,20271,22207,28464,36251,42150,33809,20445,8710,0
2021/10/31,0,4058,20267,22205,28460,36249,42149,33808,20444,8710,0
2021/10/30,0,4041,20200,22119,28376,36156,42095,33799,20442,8708,0
2021/10/29,0,4007,20141,22041,28301,36086,42053,33786,20440,8706,0
2021/10/28,0,3991,20114,22012,28279,36065,42040,33783,20434,8704,0
2021/10/27,0,3969,20092,21988,28251,36047,42030,33777,20429,8699,0
2021/10/26,0,3942,20056,21959,28218,36026,42017,33775,20418,8697,0
2021/10/25,0,3937,20032,21944,28211,36018,42012,33772,20416,8697,0
2021/10/24,0,3927,20015,21924,28202,36013,42004,33771,20413,8695,0
2021/10/23,0,3921,19947,21864,28142,35962,41968,33756,20405,8693,0
2021/10/22,0,3897,19896,21819,28086,35923,41926,33750,20402,8693,0
2021/10/21,0,3889,19884,21792,28070,35908,41922,33748,20400,8692,0
2021/10/20,0,3871,19854,21762,28052,35893,41909,33741,20395,8692,0
2021/10/19,0,3859,19836,21742,28039,35883,41898,33738,20395,8690,0
2021/10/18,0,3834,19789,21710,28014,35862,41878,33729,20386,8687,0
2021/10/17,0,3833,19783,21702,28008,35856,41874,33726,20386,8683,0
2021/10/16,0,3825,19767,21697,27991,35851,41867,33720,20383,8682,0
2021/10/15,0,3818,19746,21684,27971,35831,41851,33718,20382,8681,0
2021/10/14,0,3805,19723,21660,27947,35815,41829,33712,20379,8678,0
2021/10/13,0,3790,19688,21640,27923,35790,41814,33702,20371,8675,0
2021/10/12,0,3771,19659,21613,27913,35782,41805,33697,20368,8675,0
2021/10/11,0,3753,19624,21585,27891,35757,41787,33690,20362,8672,0
2021/10/10,0,3747,19607,21573,27874,35741,41771,33690,20355,8671,0
2021/10/09,0,3747,19607,21572,27874,35740,41771,33690,20355,8671,0
2021/10/08,0,3729,19584,21557,27853,35722,41756,33677,20351,8669,0
2021/10/07,0,3703,19521,21502,27806,35701,41725,33666,20344,8666,0
2021/10/06,0,3661,19475,21471,27770,35681,41704,33657,20339,8665,0
2021/10/05,0,3639,19440,21442,27739,35663,41689,33647,20338,8664,0
2021/10/04,0,3616,19398,21413,27709,35638,41662,33641,20334,8663,0
2021/10/03,0,3605,19383,21392,27697,35626,41650,33633,20331,8663,0
2021/10/02,0,3605,19379,21388,27694,35626,41646,33631,20331,8663,0
2021/10/01,0,3598,19349,21365,27677,35609,41636,33624,20328,8659,0
2021/09/30,0,3592,19325,21343,27650,35588,41619,33623,20324,8657,0
2021/09/29,0,3545,19261,21294,27615,35561,41590,33607,20319,8653,0
2021/09/28,0,3494,19154,21236,27555,35502,41553,33585,20305,8649,0
2021/09/27,0,3464,19110,21187,27509,35464,41537,33574,20298,8648,0
2021/09/26,0,3451,19089,21155,27492,35451,41526,33568,20297,8647,0
2021/09/25,0,3450,19085,21152,27489,35451,41526,33567,20297,8647,0
2021/09/24,0,3426,19056,21138,27474,35444,41519,33563,20297,8646,0
2021/09/23,0,3421,18950,20970,27302,35291,41419,33521,20279,8642,0
2021/09/22,0,3381,18888,20924,27245,35240,41383,33509,20270,8638,0
2021/09/21,0,3320,18764,20853,27176,35187,41357,33483,20264,8630,0
2021/09/20,0,3264,18657,20755,27099,35147,41315,33466,20243,8625,0
2021/09/19,0,3262,18645,20741,27089,35133,41304,33461,20240,8619,0
2021/09/18,0,3262,18644,20735,27082,35130,41303,33461,20240,8619,0
2021/09/17,0,3246,18604,20706,27052,35108,41287,33457,20237,8617,0
2021/09/16,0,3241,18570,20670,27028,35088,41264,33452,20231,8615,0
2021/09/15,0,3213,18516,20628,26970,35045,41228,33439,20214,8611,0
2021/09/14,0,3190,18453,20591,26928,35004,41198,33409,20193,8595,0
2021/09/13,0,3120,18355,20531,26862,34965,41163,33397,20184,8587,0
2021/09/12,0,3115,18336,20513,26846,34956,41155,33393,20181,8584,0
2021/09/11,0,3115,18329,20504,26841,34952,41150,33391,20180,8584,0
2021/09/10,0,3113,18321,20486,26823,34940,41144,33389,20180,8584,0
2021/09/09,0,3105,18298,20462,26792,34915,41117,33385,20174,8580,0
2021/09/08,0,3019,18195,20392,26726,34855,41078,33355,20164,8578,0
2021/09/07,0,2976,18153,20354,26706,34834,41068,33347,20158,8575,0
2021/09/06,0,2951,18105,20312,26682,34807,41043,33342,20156,8574,0
2021/09/05,0,2945,18087,20299,26671,34797,41034,33335,20155,8574,0
2021/09/04,0,2944,18083,20298,26669,34797,41030,33335,20155,8574,0
2021/09/03,0,2920,18042,20274,26654,34770,41008,33325,20149,8571,0
2021/09/02,0,2900,17958,20163,26521,34683,40906,33266,20128,8565,0
2021/09/01,0,2879,17924,20132,26496,34657,40892,33256,20117,8563,0
2021/08/31,0,2845,17884,20109,26478,34640,40877,33247,20110,8563,0
2021/08/30,0,2808,17846,20079,26452,34607,40855,33240,20105,8562,0
2021/08/29,0,2806,17838,20063,26446,34593,40844,33232,20105,8561,0
2021/08/28,0,2805,17831,20062,26444,34592,40842,33232,20105,8561,0
2021/08/27,0,2784,17811,20051,26438,34583,40832,33229,20104,8561,0
2021/08/26,0,2780,17800,20038,26429,34578,40825,33223,20096,8560,0
2021/08/25,0,2741,17637,19879,26268,34377,40672,33139,20060,8544,0
2021/08/24,0,2697,17575,19844,26210,34311,40642,33114,20049,8541,0
2021/08/23,0,2655,17495,19810,26157,34274,40600,33089,20031,8534,0
2021/08/22,0,2655,17480,19796,26152,34263,40594,33082,20027,8533,0
2021/08/21,0,2654,17475,19792,26147,34262,40592,33082,20027,8533,0
2021/08/20,0,2651,17465,19776,26129,34257,40580,33080,20025,8531,0
2021/08/19,0,2644,17448,19760,26114,34250,40573,33077,20024,8530,0
2021/08/18,0,2588,17366,19703,26050,34195,40518,33050,20012,8521,0
2021/08/17,0,2550,17298,19667,26010,34158,40473,33032,20003,8514,0
2021/08/16,0,2509,17235,19629,25960,34131,40438,33015,19998,8513,0
2021/08/15,0,2476,17196,19602,25931,34110,40411,33003,19993,8513,0
2021/08/14,0,2475,17196,19601,25928,34109,40408,33003,19993,8513,0
2021/08/13,0,2468,17176,19583,25904,34084,40392,32995,19990,8512,0
2021/08/12,0,2467,17172,19570,25900,34068,40383,32990,19986,8512,0
2021/08/11,0,2460,17161,19553,25890,34058,40375,32985,19985,8511,0
2021/08/10,0,2459,17157,19541,25882,34054,40369,32981,19984,8511,0
2021/08/09,0,2457,17148,19528,25877,34045,40363,32979,19983,8511,0
2021/08/08,0,2456,17139,19522,25865,34035,40358,32973,19980,8509,0
2021/08/07,0,2448,17124,19505,25856,34024,40346,32964,19977,8508,0
2021/08/06,0,2441,17103,19479,25817,33994,40318,32949,19974,8507,0
2021/08/05,0,2436,17088,19461,25794,33985,40306,32948,19973,8507,0
2021/08/04,0,2432,17078,19454,25784,33978,40301,32948,19971,8506,0
2021/08/03,0,2422,17064,19445,25776,33971,40295,32946,19968,8505,0
2021/08/02,0,2410,17043,19432,25763,33954,40284,32941,19963,8503,0
2021/08/01,0,2407,17029,19418,25754,33947,40277,32941,19960,8503,0
2021/07/31,0,2407,17025,19417,25751,33946,40274,32941,19960,8503,0
2021/07/30,0,2154,16570,19206,25586,33793,40147,32870,19937,8499,0
2021/07/29,0,2138,16352,18955,25333,33548,39874,32716,19893,8491,0
2021/07/28,0,2113,16287,18925,25296,33507,39846,32696,19882,8489,0
2021/07/27,0,2095,16249,18905,25275,33493,39826,32688,19877,8486,0
2021/07/26,0,2088,16224,18893,25263,33478,39818,32680,19871,8480,0
2021/07/25,0,2086,16213,18876,25250,33465,39813,32678,19871,8480,0
2021/07/24,0,2081,16065,18722,25107,33344,39734,32643,19858,8479,0
