Datum,0,<15_1_m,<15_1_w,15-24_1_m,15-24_1_w,25-34_1_m,25-34_1_w,35-44_1_m,35-44_1_w,45-54_1_m,45-54_1_w,55-64_1_m,55-64_1_w,65-74_1_m,65-74_1_w,75-84_1_m,75-84_1_w,>84_1_m,>84_1_w,<15_2_m,<15_2_w,15-24_2_m,15-24_2_w,25-34_2_m,25-34_2_w,35-44_2_m,35-44_2_w,45-54_2_m,45-54_2_w,55-64_2_m,55-64_2_w,65-74_2_m,65-74_2_w,75-84_2_m,75-84_2_w,>84_2_m,>84_2_w,bp_1,bp_2,mo_1,mo_2,az_1,az_2,ja,unb_1,unb_2,0
2021/12/14,0,4541,4363,11488,10660,12338,11762,14869,15319,18704,19044,21716,21601,16831,17590,9335,11458,3042,5882,2312,2248,10665,9990,11660,10924,14141,14514,18014,18332,21108,20963,16497,17186,9152,11169,2930,5660,168974,157477,21192,20350,27964,27207,12414,17,17,0
2021/12/13,0,4205,4048,11476,10655,12332,11753,14861,15308,18696,19031,21706,21584,16823,17574,9328,11448,3038,5873,2264,2221,10626,9963,11620,10880,14111,14474,17977,18302,21089,20939,16485,17176,9148,11159,2929,5655,168181,157042,21181,20338,27964,27207,12414,17,17,0
2021/12/12,0,4184,4037,11470,10647,12325,11744,14854,15302,18691,19028,21702,21578,16819,17566,9327,11443,3037,5869,2250,2214,10605,9955,11607,10870,14097,14465,17966,18297,21080,20932,16481,17169,9144,11157,2928,5654,168076,156912,21173,20324,27964,27207,12411,17,17,0
2021/12/11,0,4172,4030,11461,10636,12316,11735,14846,15292,18683,19026,21697,21575,16816,17561,9327,11441,3037,5869,2235,2201,10578,9928,11587,10835,14071,14440,17950,18273,21065,20910,16473,17164,9142,11155,2928,5651,167995,156683,21152,20269,27964,27207,12410,17,17,0
2021/12/10,0,4128,3983,11449,10618,12302,11714,14836,15273,18665,19008,21687,21567,16805,17548,9322,11433,3033,5863,2210,2154,10512,9870,11543,10785,14023,14390,17905,18234,21038,20888,16464,17148,9134,11149,2927,5649,167716,156129,21148,20263,27964,27207,12407,17,17,0
2021/12/09,0,4081,3936,11434,10607,12289,11695,14826,15251,18646,18997,21676,21557,16800,17541,9318,11427,3032,5858,2179,2133,10482,9831,11509,10755,13996,14356,17882,18209,21020,20873,16458,17143,9129,11147,2927,5646,167464,155796,21138,20249,27964,27207,12406,17,17,0
2021/12/08,0,4047,3897,11422,10595,12276,11680,14816,15233,18639,18983,21659,21545,16793,17534,9313,11419,3028,5849,2162,2112,10444,9792,11459,10717,13969,14329,17850,18181,20997,20850,16447,17135,9126,11139,2925,5643,167233,155405,21127,20243,27964,27207,12405,17,17,0
2021/12/07,0,4011,3868,11416,10588,12267,11675,14804,15228,18631,18979,21650,21537,16788,17522,9312,11414,3024,5843,2152,2106,10431,9789,11450,10704,13961,14323,17842,18172,20984,20839,16444,17133,9124,11137,2925,5643,167098,155301,21091,20229,27964,27207,12405,17,17,0
2021/12/06,0,3418,3255,11407,10576,12258,11665,14800,15208,18621,18965,21638,21528,16779,17512,9310,11407,3022,5839,2134,2085,10404,9758,11434,10683,13945,14301,17816,18158,20972,20816,16437,17124,9123,11134,2925,5639,165765,155039,21076,20221,27964,27207,12404,17,17,0
2021/12/05,0,3387,3234,11403,10568,12255,11656,14798,15198,18613,18952,21628,21515,16775,17505,9310,11400,3019,5830,2128,2081,10391,9747,11422,10670,13936,14292,17803,18141,20966,20809,16432,17121,9122,11130,2924,5636,165615,154905,21066,20219,27964,27207,12403,16,17,0
2021/12/04,0,3371,3228,11395,10563,12248,11645,14793,15195,18605,18945,21620,21507,16773,17499,9310,11400,3018,5828,2116,2073,10377,9728,11406,10654,13914,14277,17789,18127,20963,20801,16429,17117,9120,11130,2924,5636,165525,154759,21053,20195,27964,27207,12403,16,17,0
