Datum,<15_1_m,<15_1_w,15-24_1_m,15-24_1_w,25-34_1_m,25-34_1_w,35-44_1_m,35-44_1_w,45-54_1_m,45-54_1_w,55-64_1_m,55-64_1_w,65-74_1_m,65-74_1_w,75-84_1_m,75-84_1_w,>84_1_m,>84_1_w,<15_2_m,<15_2_w,15-24_2_m,15-24_2_w,25-34_2_m,25-34_2_w,35-44_2_m,35-44_2_w,45-54_2_m,45-54_2_w,55-64_2_m,55-64_2_w,65-74_2_m,65-74_2_w,75-84_2_m,75-84_2_w,>84_2_m,>84_2_w,bp_1,bp_2,mo_1,mo_2,az_1,az_2,ja,unb_1,unb_2
2021-11-05T23:59:59+01:00,226,216,4447,3684,10949,7469,10386,6882,8850,9139,5685,6262,1890,2366,1190,1644,324,925,172,161,3730,3157,9510,6646,9107,6138,7891,8183,5202,5742,1766,2216,1118,1562,287,854,53692,46086,7874,7188,9259,7982,13502,47,46
2021-11-04T23:59:59+01:00,225,214,4406,3662,10857,7417,10287,6839,8777,9096,5662,6244,1886,2359,1189,1643,324,924,171,159,3713,3147,9479,6626,9071,6119,7868,8156,5189,5734,1766,2213,1117,1562,287,854,53285,45981,7861,7185,9259,7982,13399,47,46
2021-11-03T23:59:59+01:00,225,212,4378,3643,10781,7387,10208,6819,8713,9054,5639,6221,1883,2357,1189,1642,324,924,170,156,3697,3144,9458,6612,9044,6114,7848,8142,5184,5731,1764,2207,1117,1562,287,853,52920,45889,7855,7178,9259,7982,13357,47,46
2021-11-02T23:59:59+01:00,225,211,4333,3628,10702,7359,10129,6789,8643,9026,5612,6203,1880,2354,1189,1641,324,924,170,155,3688,3133,9437,6593,9015,6102,7830,8117,5176,5721,1761,2205,1117,1561,287,852,52570,45797,7845,7170,9259,7979,13289,47,46
2021-11-01T23:59:59+01:00,224,211,4300,3614,10633,7334,10035,6758,8584,9001,5588,6184,1878,2348,1189,1639,324,923,170,155,3669,3124,9408,6572,8982,6085,7808,8104,5163,5710,1760,2205,1117,1561,287,852,52253,45696,7839,7165,9259,7979,13207,47,46
2021-10-31T23:59:59+01:00,222,211,4287,3613,10618,7328,10023,6753,8578,8995,5587,6182,1878,2348,1189,1639,324,923,169,155,3665,3123,9401,6570,8977,6083,7806,8102,5161,5708,1759,2205,1117,1561,287,852,52210,45690,7837,7164,9259,7979,13183,47,46
2021-10-30T23:59:59+02:00,221,210,4282,3611,10597,7324,10010,6750,8569,8987,5577,6178,1877,2347,1189,1639,324,923,169,155,3663,3123,9391,6567,8972,6083,7803,8101,5155,5705,1759,2205,1117,1561,287,852,52150,45680,7837,7164,9259,7979,13160,47,46
2021-10-29T23:59:59+02:00,220,210,4241,3600,10530,7300,9936,6723,8523,8946,5560,6168,1877,2344,1189,1639,323,922,168,155,3643,3116,9361,6563,8944,6078,7784,8086,5151,5700,1757,2205,1117,1561,287,851,51873,45622,7829,7161,9259,7979,13080,47,46
2021-10-28T23:59:59+02:00,220,209,4200,3585,10426,7269,9835,6690,8462,8890,5533,6139,1875,2337,1187,1639,323,922,168,154,3616,3105,9312,6536,8891,6053,7757,8060,5136,5691,1756,2202,1117,1561,286,851,51522,45505,7817,7149,9259,7979,12932,47,46
2021-10-27T23:59:59+02:00,220,208,4174,3576,10368,7249,9783,6655,8408,8861,5516,6122,1872,2334,1187,1638,323,922,166,154,3600,3096,9280,6513,8865,6039,7737,8045,5129,5678,1753,2201,1116,1558,286,850,51275,45395,7807,7141,9259,7978,12864,47,46
