Datum,00-11,12-14,15-24,25-34,35-44,45-54,55-64,65-74,75-84,>84,NotAssigned
2021/12/14,0,9558,37708,42786,49150,62327,74026,56721,41243,15906,0
2021/12/13,0,9450,37614,42704,49095,62260,73986,56691,41218,15895,0
2021/12/12,0,9405,37531,42639,49025,62229,73942,56651,41188,15881,0
2021/12/11,0,9196,37463,42587,48994,62200,73913,56645,41186,15881,0
2021/12/10,0,8787,37380,42528,48937,62168,73887,56628,41182,15877,0
2021/12/09,0,8634,37254,42412,48843,62082,73808,56575,41148,15865,0
2021/12/08,0,8392,37177,42332,48786,62033,73757,56536,41122,15854,0
2021/12/07,0,8378,37141,42305,48767,62014,73738,56523,41117,15853,0
2021/12/06,0,8254,37066,42233,48705,61947,73647,56480,41085,15836,0
2021/12/05,0,8162,37008,42176,48655,61905,73600,56444,41062,15827,0
2021/12/04,0,7955,36969,42145,48630,61873,73575,56429,41055,15823,0
2021/12/03,0,7510,36898,42085,48589,61824,73532,56412,41041,15822,0
2021/12/02,0,7253,36773,41978,48483,61721,73438,56367,41007,15809,0
2021/12/01,0,7061,36696,41869,48409,61646,73359,56314,40970,15796,0
2021/11/30,0,6854,36616,41793,48324,61569,73278,56257,40931,15780,0
2021/11/29,0,6611,36563,41730,48270,61519,73230,56213,40908,15771,0
2021/11/28,0,6546,36510,41674,48226,61465,73184,56186,40893,15761,0
2021/11/27,0,6447,36448,41600,48167,61423,73145,56173,40886,15760,0
2021/11/26,0,6359,36303,41468,48066,61351,73074,56133,40865,15752,0
2021/11/25,0,6215,36184,41342,47979,61246,72970,56074,40829,15740,0
2021/11/24,0,6129,36086,41243,47884,61168,72859,56009,40790,15727,0
2021/11/23,0,6043,35993,41136,47807,61078,72784,55963,40754,15716,0
2021/11/22,0,5970,35903,41038,47727,61005,72698,55898,40734,15702,0
2021/11/21,0,5926,35826,40963,47668,60948,72630,55866,40719,15694,0
2021/11/20,0,5858,35651,40791,47502,60841,72564,55827,40709,15690,0
2021/11/19,0,5736,35337,40540,47281,60635,72413,55770,40679,15682,0
2021/11/18,0,5639,35127,40291,47113,60481,72256,55703,40635,15672,0
2021/11/17,0,5537,34916,40080,46908,60323,72116,55605,40588,15656,0
2021/11/16,0,5466,34685,39846,46696,60166,71980,55528,40532,15648,0
2021/11/15,0,5414,34524,39677,46568,60024,71873,55484,40510,15639,0
2021/11/14,0,5362,34449,39578,46482,59949,71810,55457,40497,15631,0
2021/11/13,0,5259,34092,39245,46261,59745,71663,55431,40479,15627,0
2021/11/12,0,5132,33572,38826,45952,59430,71439,55377,40437,15616,0
2021/11/11,0,5013,33217,38523,45654,59176,71269,55299,40402,15603,0
2021/11/10,0,4924,32962,38258,45447,58991,71125,55239,40374,15587,0
2021/11/09,0,4875,32732,38049,45235,58841,70992,55190,40344,15578,0
2021/11/08,0,4649,32307,37811,45038,58667,70855,55146,40316,15571,0
2021/11/07,0,4619,32221,37702,44953,58595,70783,55129,40303,15569,0
2021/11/06,0,4540,31820,37390,44722,58384,70663,55104,40294,15567,0
2021/11/05,0,4398,31223,36922,44334,58068,70472,55068,40276,15565,0
2021/11/04,0,4331,30933,36639,44113,57851,70343,55031,40264,15563,0
2021/11/03,0,4289,30710,36462,43932,57703,70256,54989,40246,15558,0
2021/11/02,0,4267,30568,36304,43800,57594,70186,54961,40239,15554,0
2021/11/01,0,4247,30468,36206,43727,57536,70149,54954,40234,15553,0
2021/10/31,0,4247,30468,36206,43727,57535,70148,54954,40234,15553,0
2021/10/30,0,4242,30465,36206,43724,57534,70147,54953,40234,15553,0
2021/10/29,0,4187,30232,35949,43517,57346,70039,54934,40227,15551,0
2021/10/28,0,4135,29993,35647,43308,57175,69929,54909,40216,15549,0
2021/10/27,0,4097,29873,35549,43224,57110,69884,54888,40206,15548,0
2021/10/26,0,4060,29800,35476,43176,57072,69855,54877,40201,15548,0
2021/10/25,0,4048,29749,35437,43152,57053,69846,54875,40201,15548,0
2021/10/24,0,4032,29727,35411,43131,57027,69831,54869,40199,15548,0
2021/10/23,0,4032,29727,35410,43130,57027,69831,54869,40199,15548,0
2021/10/22,0,4000,29612,35257,43012,56926,69784,54865,40195,15546,0
2021/10/21,0,3938,29407,35046,42861,56789,69680,54831,40179,15541,0
2021/10/20,0,3915,29324,34960,42773,56732,69634,54811,40160,15535,0
2021/10/19,0,3899,29274,34917,42742,56703,69604,54790,40155,15535,0
2021/10/18,0,3887,29234,34880,42692,56676,69577,54782,40150,15531,0
2021/10/17,0,3881,29203,34871,42682,56661,69569,54774,40148,15526,0
2021/10/16,0,3880,29200,34871,42681,56661,69569,54774,40148,15526,0
2021/10/15,0,3860,29137,34828,42643,56634,69548,54771,40143,15524,0
2021/10/14,0,3815,28978,34713,42572,56566,69497,54755,40131,15517,0
2021/10/13,0,3791,28903,34660,42538,56526,69465,54738,40115,15513,0
2021/10/12,0,3777,28839,34615,42491,56486,69429,54727,40105,15510,0
2021/10/11,0,3763,28803,34584,42465,56463,69406,54716,40096,15506,0
2021/10/10,0,3737,28767,34551,42443,56452,69388,54712,40092,15504,0
2021/10/09,0,3737,28767,34549,42441,56452,69386,54710,40092,15504,0
2021/10/08,0,3705,28708,34496,42403,56418,69356,54704,40090,15501,0
