Datum,00-11,12-14,15-24,25-34,35-44,45-54,55-64,65-74,75-84,>84,NotAssigned
2021/12/14,0,5431,33334,38797,45472,58687,70708,54990,40004,15277,0
2021/12/13,0,5349,33186,38644,45347,58570,70592,54920,39976,15264,0
2021/12/12,0,5295,33080,38529,45245,58480,70498,54867,39944,15254,0
2021/12/11,0,5236,32898,38348,45093,58382,70430,54832,39937,15254,0
2021/12/10,0,5119,32658,38126,44929,58229,70312,54793,39918,15251,0
2021/12/09,0,5012,32382,37843,44690,58000,70123,54715,39879,15240,0
2021/12/08,0,4899,32158,37634,44456,57821,69976,54644,39843,15222,0
2021/12/07,0,4886,32095,37578,44429,57780,69948,54636,39839,15222,0
2021/12/06,0,4805,31919,37408,44280,57634,69826,54593,39812,15205,0
2021/12/05,0,4755,31783,37247,44154,57523,69735,54564,39786,15187,0
2021/12/04,0,4704,31555,37058,44034,57401,69650,54547,39769,15184,0
2021/12/03,0,4606,31198,36807,43837,57187,69489,54498,39745,15177,0
2021/12/02,0,4475,30904,36573,43616,56946,69318,54418,39702,15166,0
2021/12/01,0,4414,30704,36361,43452,56772,69183,54360,39675,15154,0
2021/11/30,0,4354,30526,36155,43306,56643,69055,54296,39652,15140,0
2021/11/29,0,4304,30391,36048,43192,56543,68971,54259,39630,15131,0
2021/11/28,0,4273,30316,35948,43140,56474,68906,54239,39617,15128,0
2021/11/27,0,4214,30031,35721,42970,56314,68810,54218,39609,15127,0
2021/11/26,0,4142,29656,35459,42734,56101,68670,54178,39597,15123,0
2021/11/25,0,4083,29511,35286,42597,55960,68551,54146,39577,15114,0
2021/11/24,0,4045,29354,35129,42452,55833,68454,54104,39545,15105,0
2021/11/23,0,4021,29228,35012,42359,55727,68367,54071,39522,15096,0
2021/11/22,0,4005,29164,34941,42295,55663,68312,54050,39504,15091,0
2021/11/21,0,4001,29142,34908,42275,55629,68287,54033,39493,15087,0
2021/11/20,0,3991,29087,34829,42231,55583,68251,54015,39486,15086,0
2021/11/19,0,3936,28841,34616,42063,55396,68127,53985,39467,15084,0
2021/11/18,0,3899,28720,34498,41958,55296,68024,53949,39440,15076,0
2021/11/17,0,3869,28624,34401,41878,55212,67950,53902,39412,15056,0
2021/11/16,0,3842,28543,34319,41804,55134,67867,53877,39390,15046,0
2021/11/15,0,3825,28472,34266,41755,55063,67823,53846,39371,15010,0
2021/11/14,0,3815,28433,34224,41723,55012,67786,53830,39362,15003,0
2021/11/13,0,3803,28387,34170,41671,54972,67739,53814,39353,15003,0
2021/11/12,0,3776,28241,34004,41546,54831,67656,53793,39342,15000,0
2021/11/11,0,3740,28103,33871,41411,54712,67563,53749,39325,14993,0
2021/11/10,0,3718,28013,33786,41313,54608,67488,53693,39300,14990,0
2021/11/09,0,3697,27951,33738,41261,54544,67424,53666,39283,14984,0
2021/11/08,0,3680,27858,33675,41201,54481,67364,53636,39273,14978,0
2021/11/07,0,3663,27813,33629,41162,54451,67327,53617,39259,14974,0
2021/11/06,0,3656,27771,33587,41136,54424,67307,53609,39255,14973,0
2021/11/05,0,3627,27611,33477,41038,54347,67266,53595,39239,14970,0
2021/11/04,0,3587,27490,33348,40919,54245,67182,53564,39214,14961,0
2021/11/03,0,3555,27413,33263,40852,54168,67110,53529,39188,14951,0
2021/11/02,0,3523,27327,33186,40780,54114,67044,53504,39172,14943,0
2021/11/01,0,3504,27267,33137,40746,54075,67025,53492,39160,14940,0
2021/10/31,0,3504,27267,33136,40746,54074,67025,53492,39160,14940,0
2021/10/30,0,3501,27266,33136,40746,54074,67024,53492,39160,14940,0
2021/10/29,0,3475,27165,33038,40675,54012,66985,53485,39154,14937,0
2021/10/28,0,3445,27014,32878,40558,53920,66920,53444,39136,14929,0
2021/10/27,0,3419,26949,32836,40525,53866,66877,53405,39112,14923,0
2021/10/26,0,3403,26886,32784,40482,53831,66842,53377,39083,14902,0
2021/10/25,0,3402,26878,32779,40479,53829,66837,53377,39082,14902,0
2021/10/24,0,3390,26846,32758,40462,53812,66824,53368,39079,14900,0
2021/10/23,0,3390,26846,32758,40462,53812,66823,53368,39079,14900,0
2021/10/22,0,3352,26728,32677,40405,53773,66786,53358,39076,14899,0
2021/10/21,0,3308,26568,32560,40302,53672,66703,53322,39042,14893,0
2021/10/20,0,3273,26504,32491,40240,53611,66647,53290,39021,14888,0
2021/10/19,0,3241,26445,32417,40186,53561,66594,53256,39001,14878,0
2021/10/18,0,3215,26387,32374,40140,53518,66560,53235,38989,14873,0
2021/10/17,0,3207,26339,32338,40109,53490,66539,53218,38982,14859,0
2021/10/16,0,3207,26339,32338,40109,53490,66539,53218,38982,14859,0
2021/10/15,0,3167,26214,32271,40046,53443,66512,53212,38974,14857,0
2021/10/14,0,3111,26020,32143,39930,53333,66434,53172,38941,14852,0
2021/10/13,0,3084,25935,32078,39846,53279,66364,53131,38906,14841,0
2021/10/12,0,3062,25847,32009,39777,53227,66313,53089,38873,14800,0
2021/10/11,0,3047,25781,31965,39732,53181,66259,53050,38854,14789,0
2021/10/10,0,3017,25727,31909,39692,53146,66231,53032,38846,14784,0
2021/10/09,0,3017,25727,31908,39691,53145,66228,53030,38846,14784,0
2021/10/08,0,2955,25562,31800,39598,53082,66186,53008,38836,14781,0
