Datum,<15_1_m,<15_1_w,15-24_1_m,15-24_1_w,25-34_1_m,25-34_1_w,35-44_1_m,35-44_1_w,45-54_1_m,45-54_1_w,55-64_1_m,55-64_1_w,65-74_1_m,65-74_1_w,75-84_1_m,75-84_1_w,>84_1_m,>84_1_w,<15_2_m,<15_2_w,15-24_2_m,15-24_2_w,25-34_2_m,25-34_2_w,35-44_2_m,35-44_2_w,45-54_2_m,45-54_2_w,55-64_2_m,55-64_2_w,65-74_2_m,65-74_2_w,75-84_2_m,75-84_2_w,>84_2_m,>84_2_w,bp_1,bp_2,mo_1,mo_2,az_1,az_2,ja,unb_1,unb_2
2021-11-03T23:59:59+01:00,2241,2041,15812,14847,18887,17461,21861,21931,28332,29262,34714,35449,26032,28893,17666,22549,5367,10179,1873,1666,14051,13306,17245,15907,20367,20326,26624,27411,33125,33868,25341,28079,17199,21933,5198,9724,256176,239644,32752,30729,46588,44885,17947,92,38
2021-11-02T23:59:59+01:00,2232,2028,15743,14779,18803,17394,21790,21876,28269,29225,34680,35420,26020,28879,17658,22547,5366,10174,1856,1655,14009,13266,17201,15878,20333,20291,26596,27387,33093,33836,25331,28066,17194,21922,5196,9718,255597,239277,32724,30716,46588,44884,17913,92,38
2021-11-01T23:59:59+01:00,2225,2016,15686,14739,18738,17363,21746,21847,28232,29205,34661,35402,26014,28878,17657,22544,5366,10173,1844,1648,13971,13243,17179,15851,20312,20277,26576,27370,33081,33829,25323,28062,17191,21913,5195,9716,255231,239062,32724,30708,46586,44883,17890,92,38
2021-10-31T23:59:59+01:00,2225,2016,15686,14739,18738,17363,21746,21847,28231,29205,34661,35402,26014,28878,17657,22544,5366,10173,1844,1648,13971,13243,17179,15850,20312,20277,26575,27370,33081,33829,25323,28062,17191,21913,5195,9716,255231,239061,32724,30708,46586,44883,17889,92,38
2021-10-30T23:59:59+02:00,2223,2014,15683,14739,18738,17363,21744,21846,28231,29205,34661,35402,26014,28877,17657,22544,5366,10173,1842,1647,13971,13243,17179,15850,20312,20277,26575,27370,33080,33829,25323,28062,17191,21913,5195,9716,255221,239057,32723,30708,46586,44883,17889,92,38
2021-10-29T23:59:59+02:00,2199,1983,15551,14636,18593,17254,21624,21761,28112,29134,34595,35361,26003,28869,17652,22542,5366,10171,1829,1634,13906,13208,17128,15803,20263,20255,26538,27345,33062,33809,25320,28058,17189,21909,5195,9713,254316,238803,32674,30671,46586,44883,17769,92,38
2021-10-28T23:59:59+02:00,2176,1954,15414,14539,18409,17137,21504,21673,28013,29061,34534,35313,25990,28857,17648,22535,5366,10169,1815,1618,13828,13134,17033,15737,20202,20200,26490,27302,33023,33783,25298,28039,17182,21900,5191,9709,253476,238407,32589,30578,46585,44880,17581,92,38
2021-10-27T23:59:59+02:00,2151,1941,15353,14480,18361,17088,21448,21646,27979,29030,34507,35293,25985,28841,17641,22532,5366,10168,1803,1604,13796,13100,17012,15717,20188,20183,26471,27268,33000,33763,25280,28018,17174,21884,5187,9707,253028,238113,32586,30574,46585,44880,17550,92,38
2021-10-26T23:59:59+02:00,2138,1917,15311,14448,18323,17053,21418,21629,27961,29010,34488,35283,25977,28837,17638,22529,5366,10168,1794,1597,13772,13063,16988,15690,20166,20163,26454,27250,32978,33750,25269,28000,17164,21865,5183,9690,252725,237810,32580,30565,46585,44880,17543,92,38
2021-10-25T23:59:59+02:00,2131,1912,15278,14430,18301,17036,21403,21620,27948,29004,34484,35278,25977,28835,17638,22529,5366,10168,1793,1597,13768,13060,16985,15688,20166,20160,26453,27249,32975,33748,25269,28000,17164,21864,5183,9690,252573,237790,32576,30561,46585,44880,17543,92,38
2021-10-24T23:59:59+02:00,2121,1906,15263,14423,18286,17026,21391,21611,27936,28991,34476,35272,25976,28830,17636,22529,5366,10168,1787,1591,13757,13041,16978,15675,20159,20151,26444,27244,32970,33740,25265,27995,17162,21863,5182,9689,252451,237678,32576,30561,46583,44880,17536,92,38
2021-10-23T23:59:59+02:00,2121,1906,15263,14423,18285,17026,21391,21610,27936,28991,34476,35272,25976,28830,17636,22529,5366,10168,1787,1591,13757,13041,16978,15675,20159,20151,26444,27244,32970,33740,25265,27995,17162,21863,5182,9689,252449,237678,32576,30561,46583,44880,17536,92,38
2021-10-22T23:59:59+02:00,2106,1890,15197,14378,18193,16966,21324,21562,27882,28944,34445,35256,25976,28826,17635,22526,5365,10167,1770,1570,13706,12978,16933,15640,20129,20128,26424,27226,32950,33723,25257,27993,17162,21860,5182,9688,251980,237363,32516,30540,46583,44880,17498,92,38
2021-10-21T23:59:59+02:00,2076,1859,15079,14295,18072,16875,21233,21502,27809,28881,34379,35217,25962,28807,17628,22515,5364,10163,1743,1553,13628,12897,16864,15590,20073,20085,26370,27180,32904,33688,25240,27972,17151,21837,5181,9683,251222,236895,32462,30439,46583,44880,17387,92,38
2021-10-20T23:59:59+02:00,2063,1848,15033,14262,18024,16839,21186,21462,27778,28857,34351,35199,25955,28795,17621,22505,5363,10159,1721,1540,13599,12864,16832,15554,20043,20054,26340,27150,32881,33656,25221,27960,17140,21827,5181,9678,250831,236521,32448,30427,46583,44880,17375,92,38
