Datum,00-11,12-14,15-24,25-34,35-44,45-54,55-64,65-74,75-84,>84,NotAssigned
2021/12/14,0,52321,134748,148453,168052,209144,225250,159372,119012,42604,0
2021/12/13,0,51722,134574,148269,167904,209016,225069,159231,118891,42501,0
2021/12/12,0,51000,134430,148078,167753,208882,224942,159125,118795,42439,0
2021/12/11,0,50560,134314,147961,167654,208826,224886,159091,118770,42425,0
2021/12/10,0,49572,134145,147792,167515,208723,224793,159026,118727,42404,0
2021/12/09,0,48248,133934,147551,167323,208552,224628,158926,118641,42355,0
2021/12/08,0,47658,133767,147394,167184,208415,224516,158880,118598,42317,0
2021/12/07,0,46718,133641,147270,167090,208322,224426,158829,118566,42298,0
2021/12/06,0,45740,133509,147127,166944,208196,224298,158753,118503,42259,0
2021/12/05,0,44970,133404,146986,166824,208101,224196,158674,118448,42221,0
2021/12/04,0,44369,133324,146902,166765,208045,224150,158645,118431,42214,0
2021/12/03,0,42609,133186,146776,166644,207949,224058,158572,118395,42187,0
2021/12/02,0,40824,132992,146539,166476,207804,223923,158478,118320,42139,0
2021/12/01,0,39903,132864,146388,166331,207679,223807,158388,118258,42105,0
2021/11/30,0,38836,132716,146180,166174,207531,223661,158277,118185,42050,0
2021/11/29,0,37463,132577,145985,166023,207389,223507,158190,118121,42005,0
2021/11/28,0,36357,132446,145786,165892,207263,223371,158120,118061,41976,0
2021/11/27,0,35081,132332,145668,165793,207188,223319,158086,118039,41963,0
2021/11/26,0,33231,132113,145504,165647,207041,223218,158037,118009,41941,0
2021/11/25,0,31586,131857,145212,165412,206832,223032,157935,117955,41919,0
2021/11/24,0,30803,131676,144990,165203,206656,222870,157833,117892,41881,0
2021/11/23,0,30278,131408,144698,164914,206419,222648,157705,117801,41831,0
2021/11/22,0,29804,131137,144384,164668,206170,222418,157568,117718,41783,0
2021/11/21,0,29233,130897,144079,164456,205954,222233,157465,117656,41734,0
2021/11/20,0,28734,130660,143812,164242,205793,222063,157406,117617,41718,0
2021/11/19,0,28048,130211,143418,163918,205491,221834,157306,117560,41693,0
2021/11/18,0,27447,129644,142919,163464,205120,221549,157166,117480,41666,0
2021/11/17,0,27081,129272,142461,163130,204802,221291,157049,117398,41625,0
2021/11/16,0,26700,128833,141951,162688,204459,221035,156919,117302,41581,0
2021/11/15,0,26376,128355,141419,162249,204069,220759,156813,117252,41544,0
