Datum,0,<15_1_m,<15_1_w,15-24_1_m,15-24_1_w,25-34_1_m,25-34_1_w,35-44_1_m,35-44_1_w,45-54_1_m,45-54_1_w,55-64_1_m,55-64_1_w,65-74_1_m,65-74_1_w,75-84_1_m,75-84_1_w,>84_1_m,>84_1_w,<15_2_m,<15_2_w,15-24_2_m,15-24_2_w,25-34_2_m,25-34_2_w,35-44_2_m,35-44_2_w,45-54_2_m,45-54_2_w,55-64_2_m,55-64_2_w,65-74_2_m,65-74_2_w,75-84_2_m,75-84_2_w,>84_2_m,>84_2_w,bp_1,bp_2,mo_1,mo_2,az_1,az_2,ja,unb_1,unb_2,0
2021/12/14,0,27037,25284,70037,64711,76519,71934,83837,84215,103798,105346,113308,111942,76312,83060,53245,65767,15530,27074,13910,13019,64007,59591,71243,66294,79019,79083,99193,100319,109348,107959,74411,80804,51976,63925,14907,25698,945917,873446,77519,72060,182989,176528,52574,82,98,0
2021/12/13,0,26707,25015,69949,64625,76434,71835,83772,84132,103742,105274,113229,111840,76251,82980,53202,65689,15510,26991,13729,12843,63802,59436,71027,66080,78879,78932,99032,100183,109206,107824,74364,80742,51941,63868,14895,25664,944328,871324,77347,71942,182988,176528,52555,82,98,0
2021/12/12,0,26319,24681,69881,64549,76350,71728,83705,84048,103681,105201,113180,111762,76206,82919,53168,65627,15491,26948,13540,12633,63627,59254,70818,65874,78697,78784,98880,100043,109091,107686,74312,80666,51906,63824,14882,25639,942796,869232,77173,71770,182988,176528,52528,82,98,0
2021/12/11,0,26096,24464,69820,64494,76301,71660,83659,83995,103657,105169,113159,111727,76187,82904,53155,65615,15488,26937,13370,12518,63479,59140,70671,65725,78587,78682,98781,99969,109014,107625,74286,80640,51896,63806,14878,25630,941900,867825,77117,71723,182988,176528,52523,82,98,0
2021/12/10,0,25581,23991,69739,64406,76228,71564,83593,83922,103607,105116,113126,111667,76163,82863,53145,65582,15475,26929,13174,12343,63249,58953,70479,65527,78420,78500,98639,99826,108924,107519,74248,80600,51881,63784,14873,25624,940249,865773,76983,71647,182988,176528,52517,82,98,0
2021/12/09,0,24900,23348,69634,64300,76114,71437,83508,83815,103531,105021,113054,111574,76121,82805,53114,65527,15460,26895,12867,12041,62921,58649,70197,65200,78165,78263,98414,99580,108749,107328,74185,80516,51844,63729,14869,25598,937954,862562,76755,71430,182988,176524,52501,82,98,0
2021/12/08,0,24593,23065,69554,64213,76043,71351,83443,83741,103474,104941,113002,111514,76101,82779,53098,65500,15449,26868,12707,11901,62716,58477,69989,64992,78002,78099,98240,99447,108628,107212,74138,80451,51827,63685,14862,25580,936662,860550,76622,71286,182988,176524,52495,82,98,0
2021/12/07,0,24103,22615,69480,64161,75991,71279,83397,83693,103420,104902,112964,111462,76079,82750,53085,65481,15443,26855,12560,11789,62551,58347,69808,64824,77865,77995,98134,99333,108531,107142,74116,80414,51812,63662,14859,25571,935190,858966,76535,71241,182988,176524,52484,82,98,0
2021/12/06,0,23619,22121,69413,64096,75924,71203,83338,83606,103367,104829,112913,111385,76047,82706,53067,65436,15436,26823,12367,11610,62324,58148,69570,64573,77655,77798,97974,99142,108386,107012,74045,80339,51784,63622,14849,25556,933548,856528,76361,71135,182988,176524,52469,82,98,0
2021/12/05,0,23216,21754,69357,64047,75855,71131,83282,83542,103317,104784,112866,111330,76010,82664,53047,65401,15426,26795,12265,11513,62124,57972,69366,64388,77471,77620,97841,98996,108279,106886,73999,80288,51766,63595,14844,25537,932189,854695,76226,70983,182988,176517,52457,82,98,0
2021/12/04,0,22906,21463,69317,64007,75818,71084,83255,83510,103291,104754,112849,111301,76001,82644,53041,65390,15425,26789,12206,11451,61955,57843,69198,64276,77355,77506,97731,98915,108196,106833,73977,80269,51756,63583,14842,25535,931290,853414,76151,70946,182988,176517,52452,82,98,0
2021/12/03,0,22023,20586,69245,63941,75774,71002,83201,83443,103251,104698,112804,111254,75971,82601,53027,65368,15415,26772,12055,11317,61707,57621,68987,64050,77168,77311,97566,98768,108062,106708,73950,80231,51742,63561,14837,25528,928932,851262,76043,70843,182987,176516,52450,82,98,0
2021/12/02,0,21086,19738,69142,63850,75671,70868,83122,83354,103178,104626,112751,111172,75937,82541,52996,65324,15406,26733,11856,11115,61425,57353,68715,63758,76872,77045,97342,98539,107893,106535,73908,80186,51714,63512,14827,25500,926283,848387,75820,70653,182987,176516,52441,82,98,0
2021/12/01,0,20601,19302,69070,63794,75604,70784,83055,83276,103122,104557,112691,111116,75898,82490,52971,65287,15396,26709,11740,11009,61226,57219,68511,63555,76691,76890,97179,98410,107768,106426,73859,80136,51697,63481,14821,25482,924650,846524,75687,70526,182986,176516,52436,82,98,0
2021/11/30,0,20065,18771,68995,63721,75522,70658,82984,83190,103057,104474,112628,111033,75854,82423,52947,65238,15385,26665,11642,10904,61013,57050,68294,63322,76481,76703,97006,98254,107620,106291,73810,80075,51676,63447,14817,25467,922757,844418,75476,70413,182985,176515,52428,82,98,0
2021/11/29,0,19357,18106,68924,63653,75428,70557,82909,83114,102993,104396,112552,110955,75821,82369,52929,65192,15375,26630,11566,10806,60796,56906,68071,63132,76276,76537,96847,98117,107494,106162,73758,80019,51645,63410,14811,25451,920597,842460,75298,70328,182983,176500,52418,82,98,0
2021/11/28,0,18753,17604,68850,63596,75332,70454,82846,83046,102929,104334,112486,110885,75790,82330,52914,65147,15368,26608,11493,10749,60640,56789,67894,62989,76104,76411,96706,98017,107403,106077,73727,79982,51627,63389,14804,25436,918811,841008,75112,70226,182974,176495,52410,82,98,0
2021/11/27,0,18098,16983,68778,63554,75278,70390,82787,83006,102890,104298,112459,110860,75774,82312,52907,65132,15361,26602,11452,10702,60532,56694,67756,62880,76000,76336,96618,97945,107346,106042,73714,79968,51622,63381,14802,25433,917120,840067,75001,70154,182974,176495,52409,82,98,0
2021/11/26,0,17185,16046,68669,63444,75206,70298,82725,82922,102813,104228,112414,110804,75749,82288,52896,65113,15357,26584,11370,10617,60358,56545,67578,62737,75841,76199,96485,97803,107264,105956,73696,79944,51609,63369,14798,25429,914549,838587,74851,70018,182973,176492,52403,82,98,0
2021/11/25,0,16294,15292,68537,63320,75080,70132,82605,82807,102717,104115,112324,110708,75707,82228,52879,65076,15348,26571,11274,10517,60149,56389,67356,62557,75688,76026,96329,97658,107159,105848,73667,79908,51597,63350,14795,25421,911849,836858,74566,69849,182966,176492,52391,82,98,0
2021/11/24,0,15890,14913,68434,63242,74978,70012,82499,82704,102631,104025,112249,110621,75662,82171,52856,65036,15335,26546,11206,10451,59986,56261,67172,62401,75547,75906,96196,97539,107052,105762,73636,79862,51573,63327,14789,25408,910114,835362,74382,69748,182963,176489,52377,82,98,0
2021/11/23,0,15611,14667,68308,63100,74854,69844,82350,82564,102513,103906,112140,110508,75616,82089,52818,64983,15315,26516,11121,10394,59851,56147,66979,62240,75377,75781,96059,97427,106946,105672,73598,79823,51556,63297,14781,25393,908285,833832,74128,69664,182961,176488,52360,82,98,0
2021/11/22,0,15351,14453,68158,62979,74703,69681,82225,82443,102401,103769,112031,110387,75547,82021,52784,64934,15305,26478,11069,10335,59676,56035,66791,62097,75226,75678,95949,97295,106844,105592,73558,79775,51532,63266,14776,25382,906468,832353,73918,69604,182961,176486,52335,82,98,0
2021/11/21,0,15068,14165,68030,62867,74551,69528,82107,82349,102297,103657,111939,110294,75500,81965,52757,64899,15289,26445,11044,10298,59585,55960,66669,62010,75123,75595,95852,97216,106788,105534,73529,79745,51511,63244,14772,25373,904727,831433,73742,69520,182955,176483,52314,82,98,0
2021/11/20,0,14803,13931,67903,62757,74421,69391,81984,82258,102214,103579,111861,110202,75476,81930,52745,64872,15283,26435,11029,10283,59541,55898,66608,61959,75067,75550,95797,97167,106742,105499,73520,79730,51507,63239,14770,25372,903147,830900,73667,69489,182954,176483,52308,82,98,0
2021/11/19,0,14467,13581,67644,62567,74227,69191,81827,82091,102080,103411,111749,110085,75420,81886,52720,64840,15275,26418,10968,10216,59381,55791,66464,61834,74924,75423,95665,97057,106634,105424,73496,79696,51493,63217,14766,25366,900716,829500,73549,69443,182954,176483,52291,82,98,0
2021/11/18,0,14155,13292,67361,62283,73995,68924,81604,81860,101899,103221,111610,109939,75363,81803,52690,64790,15267,26399,10876,10145,59216,55655,66264,61671,74773,75290,95512,96933,106502,105344,73460,79633,51476,63192,14761,25354,897912,827876,73382,69362,182954,176483,52238,82,98,0
2021/11/17,0,13969,13112,67163,62109,73756,68705,81434,81696,101716,103086,111478,109813,75307,81742,52662,64736,15252,26373,10817,10088,59065,55533,66113,61532,74641,75169,95371,96827,106394,105273,73425,79584,51450,63161,14758,25335,895742,826461,73259,69314,182952,176477,52186,82,98,0
2021/11/16,0,13768,12932,66929,61904,73503,68448,81209,81479,101529,102930,111345,109690,75245,81674,52628,64674,15237,26344,10769,10036,58938,55428,65975,61399,74513,75058,95255,96733,106309,105203,73387,79544,51430,63133,14752,25318,893221,825185,73184,69280,182952,176476,52141,82,98,0
2021/11/15,0,13608,12768,66667,61688,73247,68172,80988,81261,101336,102733,111205,109554,75191,81622,52608,64644,15225,26319,10724,9999,58833,55333,65866,61295,74414,74972,95187,96656,106234,105130,73348,79504,51411,63107,14745,25309,890727,824143,73099,69253,182941,176474,52099,82,98,0
2021/11/14,0,13334,12520,66270,61376,72918,67853,80707,81026,101112,102515,111046,109427,75134,81565,52585,64608,15218,26297,10671,9939,58696,55221,65759,61197,74309,74859,95095,96575,106157,105054,73297,79465,51392,63091,14740,25300,887567,822975,72994,69231,182937,176470,52043,82,98,0
2021/11/13,0,13192,12376,65964,61137,72664,67622,80486,80837,100945,102336,110918,109345,75100,81528,52568,64588,15213,26292,10651,9916,58625,55153,65694,61141,74262,74812,95030,96530,106133,105020,73288,79453,51387,63088,14740,25298,885244,822419,72943,69217,182937,176470,52017,82,98,0
2021/11/12,0,13026,12197,65618,60851,72381,67383,80262,80619,100768,102132,110791,109223,75077,81493,52556,64565,15210,26289,10618,9872,58510,55044,65572,61047,74149,74723,94935,96449,106075,104980,73268,79431,51378,63077,14736,25290,882677,821414,72869,69184,182936,176469,51989,82,98,0
2021/11/11,0,12789,11966,65194,60515,72020,67032,79916,80311,100519,101884,110598,109047,75024,81418,52526,64525,15204,26274,10532,9791,58358,54911,65444,60934,74036,74599,94840,96342,105977,104900,73231,79385,51361,63051,14725,25278,879256,820051,72676,69152,182932,176467,51927,82,98,0
2021/11/10,0,12647,11842,64941,60267,71711,66730,79668,80093,100334,101717,110455,108908,74965,81342,52493,64483,15197,26259,10472,9740,58250,54798,65310,60802,73927,74503,94729,96248,105899,104836,73198,79337,51340,63029,14720,25271,876722,818892,72600,69129,182924,176455,51835,82,98,0
2021/11/09,0,12491,11682,64527,59976,71310,66400,79369,79828,100069,101480,110250,108762,74897,81286,52470,64439,15191,26243,10412,9685,58126,54670,65191,60677,73836,74398,94635,96154,105816,104764,73156,79298,51314,63001,14713,25250,873513,817701,72534,69116,182911,176440,51741,82,98,0
2021/11/08,0,12377,11569,64151,59728,70932,66092,79080,79586,99828,101280,110100,108614,74842,81225,52449,64391,15186,26223,10363,9651,58015,54575,65106,60557,73750,74301,94540,96055,105746,104701,73126,79254,51299,62971,14709,25234,870673,816667,72449,69090,182897,176435,51663,82,98,0
2021/11/07,0,12293,11491,63859,59523,70635,65832,78802,79401,99628,101126,109972,108496,74806,81164,52429,64369,15182,26211,10325,9603,57906,54502,65023,60463,73661,74232,94459,95989,105684,104645,73106,79230,51287,62951,14707,25225,868450,815848,72345,69061,182886,176424,51567,82,98,0
2021/11/06,0,12188,11392,63665,59312,70395,65601,78621,79254,99454,100961,109866,108407,74790,81141,52417,64360,15180,26208,10310,9593,57855,54465,64979,60412,73635,74204,94431,95959,105665,104623,73093,79219,51283,62947,14706,25223,866501,815484,72317,69060,182885,176422,51538,82,98,0
2021/11/05,0,12045,11267,63419,59103,70137,65347,78391,79037,99287,100788,109753,108301,74757,81114,52410,64349,15179,26206,10269,9549,57771,54413,64912,60349,73578,74153,94384,95906,105622,104585,73077,79201,51275,62938,14706,25220,864401,814882,72143,69018,182883,176419,51491,82,98,0
2021/11/04,0,11958,11167,63181,58910,69846,65106,78181,78833,99086,100622,109624,108182,74717,81081,52399,64330,15174,26182,10206,9481,57640,54332,64823,60241,73485,74069,94314,95834,105562,104520,73046,79175,51251,62914,14698,25204,862386,813922,71959,68979,182879,176413,51383,82,98,0
2021/11/03,0,11875,11109,62958,58754,69614,64928,77992,78691,98930,100509,109519,108115,74694,81055,52384,64313,15170,26172,10141,9428,57515,54209,64710,60118,73391,73985,94228,95766,105505,104470,73018,79142,51231,62888,14690,25188,860767,812869,71878,68958,182878,176412,51286,82,98,0
2021/11/02,0,11796,11031,62730,58590,69318,64705,77767,78525,98737,100356,109396,108015,74673,81019,52370,64288,15164,26160,10081,9360,57362,54110,64600,60000,73287,73905,94135,95687,105446,104402,72982,79101,51223,62862,14682,25171,858827,811782,71791,68939,182876,176408,51169,82,98,0
2021/11/01,0,11702,10949,62455,58405,69051,64506,77559,78374,98562,100219,109287,107928,74647,80996,52359,64268,15159,26150,10013,9290,57230,54003,64466,59901,73197,73802,94061,95615,105388,104349,72947,79069,51210,62831,14675,25150,856973,810737,71713,68898,182855,176405,51059,81,98,0
