Datum,<15,15-24,25-34,35-44,45-54,55-64,65-74,75-84,>84
2021-11-14T23:59:59+01:00,14862,100772,123587,131990,154981,179533,127107,91508,35541
2021-11-13T23:59:59+01:00,14662,100005,122848,131430,154546,179272,127041,91474,35533
2021-11-12T23:59:59+01:00,14366,98989,121906,130671,153955,178928,126930,91409,35514
2021-11-11T23:59:59+01:00,13969,97582,120634,129710,153136,178442,126774,91333,35484
2021-11-10T23:59:59+01:00,13649,96177,119145,128558,152202,177842,126567,91225,35453
2021-11-09T23:59:59+01:00,13419,94967,117943,127693,151406,177309,126402,91154,35433
2021-11-08T23:59:59+01:00,13223,93862,116813,126807,150677,176843,126265,91089,35413
2021-11-07T23:59:59+01:00,13135,93372,116277,126401,150302,176625,126190,91064,35405
2021-11-06T23:59:59+01:00,13104,93300,116173,126343,150252,176595,126190,91063,35404
2021-11-05T23:59:59+01:00,12970,92825,115645,125920,149894,176402,126164,91055,35398
2021-11-04T23:59:59+01:00,12684,91798,114601,125077,149245,176064,126073,91014,35383
2021-11-03T23:59:59+01:00,12513,90964,113609,124348,148657,175693,125997,90981,35362
2021-11-02T23:59:59+01:00,12406,90485,113006,123887,148317,175492,125950,90949,35348
2021-11-01T23:59:59+01:00,12295,90083,112584,123479,148031,175349,125922,90933,35343
2021-10-31T23:59:59+01:00,12290,90076,112575,123472,148027,175346,125922,90933,35343
2021-10-30T23:59:59+02:00,12290,90075,112569,123472,148024,175345,125922,90933,35343
2021-10-29T23:59:59+02:00,12234,89829,112200,123163,147771,175215,125908,90913,35335
2021-10-28T23:59:59+02:00,12095,89334,111668,122711,147413,175011,125858,90894,35330
2021-10-27T23:59:59+02:00,11957,88905,111183,122372,147135,174841,125822,90880,35321
2021-10-26T23:59:59+02:00,11759,88341,110603,121958,146793,174657,125773,90862,35310
2021-10-25T23:59:59+02:00,11747,88295,110542,121924,146755,174627,125770,90860,35310
2021-10-24T23:59:59+02:00,11697,88136,110334,121766,146615,174551,125751,90850,35305
2021-10-23T23:59:59+02:00,11697,88136,110333,121765,146615,174551,125751,90850,35305
2021-10-22T23:59:59+02:00,11641,87974,110138,121575,146475,174473,125747,90846,35303
2021-10-21T23:59:59+02:00,11538,87701,109836,121302,146263,174332,125715,90817,35292
2021-10-20T23:59:59+02:00,11449,87433,109511,121083,146088,174238,125688,90782,35271
2021-10-19T23:59:59+02:00,11382,87201,109275,120941,145977,174166,125648,90751,35252
2021-10-18T23:59:59+02:00,11349,87083,109163,120870,145913,174131,125615,90739,35245
2021-10-17T23:59:59+02:00,11318,87026,109103,120815,145876,174093,125604,90724,35234
2021-10-16T23:59:59+02:00,11314,87026,109101,120815,145876,174093,125604,90724,35234
2021-10-15T23:59:59+02:00,11279,86917,108997,120741,145801,174038,125588,90714,35228
2021-10-14T23:59:59+02:00,11202,86751,108829,120603,145676,173941,125556,90684,35207
