Datum,<15_1_m,<15_1_w,15-24_1_m,15-24_1_w,25-34_1_m,25-34_1_w,35-44_1_m,35-44_1_w,45-54_1_m,45-54_1_w,55-64_1_m,55-64_1_w,65-74_1_m,65-74_1_w,75-84_1_m,75-84_1_w,>84_1_m,>84_1_w,<15_2_m,<15_2_w,15-24_2_m,15-24_2_w,25-34_2_m,25-34_2_w,35-44_2_m,35-44_2_w,45-54_2_m,45-54_2_w,55-64_2_m,55-64_2_w,65-74_2_m,65-74_2_w,75-84_2_m,75-84_2_w,>84_2_m,>84_2_w,bp_1,bp_2,mo_1,mo_2,az_1,az_2,ja,unb_1,unb_2
2021-11-19T23:59:59+01:00,8307,8047,53740,50242,68049,58989,69633,64966,79789,77278,91871,89305,61732,66145,40157,51706,12709,22966,5819,5638,44059,42010,58198,50097,61664,57528,72435,70208,86232,84012,59607,63611,38932,49994,12230,21973,739199,657741,80746,76632,109770,103899,45907,54,68
2021-11-18T23:59:59+01:00,8094,7817,53412,49968,67755,58626,69388,64696,79597,77071,91708,89133,61661,66068,40130,51656,12707,22936,5731,5554,43801,41825,57959,49903,61485,57353,72267,70023,86075,83885,59546,63550,38897,49956,12221,21959,736050,655539,80714,76606,109770,103898,45879,54,68
2021-11-17T23:59:59+01:00,7899,7623,53137,49699,67502,58344,69140,64482,79405,76904,91581,88979,61598,65990,40098,51627,12703,22915,5680,5502,43639,41662,57743,49742,61332,57197,72124,69890,85960,83773,59505,63479,38880,49912,12217,21939,733345,653792,80658,76574,109769,103898,45844,54,68
2021-11-16T23:59:59+01:00,7759,7488,52685,49365,67130,58004,68869,64213,79163,76682,91414,88790,61526,65902,40061,51576,12693,22884,5660,5481,43508,41571,57588,49633,61226,57094,72007,69790,85864,83678,59457,63410,38845,49873,12214,21928,730103,652543,80538,76534,109769,103898,45784,54,68
2021-11-15T23:59:59+01:00,7665,7402,52381,49096,66755,57679,68602,63981,78957,76493,91266,88628,61454,65812,40045,51527,12687,22869,5641,5467,43421,41507,57473,49550,61149,57019,71939,69726,85807,83614,59418,63372,38829,49839,12208,21916,727313,651687,80481,76517,109769,103897,45726,54,68
2021-11-14T23:59:59+01:00,7604,7350,52122,48924,66465,57419,68402,63807,78811,76349,91149,88519,61406,65768,40029,51500,12684,22862,5637,5459,43344,41460,57395,49482,61095,56952,71874,69677,85758,83565,59381,63338,38819,49821,12203,21911,725295,651051,80445,76504,109769,103897,45651,54,68
2021-11-13T23:59:59+01:00,7485,7251,51692,48510,66046,57029,68086,63522,78537,76155,90983,88406,61379,65727,40013,51479,12681,22857,5618,5451,43297,41409,57342,49434,61054,56918,71827,69621,85710,83530,59368,63323,38808,49809,12200,21907,721983,650514,80432,76503,109768,103896,45645,54,68
2021-11-12T23:59:59+01:00,7324,7090,51072,48058,65491,56576,67660,63150,78224,75843,90784,88236,61342,65650,39982,51440,12677,22843,5594,5425,43156,41321,57236,49341,60955,56831,71732,69529,85627,83466,59333,63288,38800,49794,12192,21900,717692,649474,80390,76500,109767,103895,45583,54,68
2021-11-11T23:59:59+01:00,7125,6875,50248,47436,64829,55932,67139,62685,77786,75455,90531,87985,61271,65557,39951,51392,12667,22823,5522,5358,42971,41134,57058,49137,60794,56656,71599,69377,85496,83350,59280,63231,38766,49751,12182,21883,712133,647648,80303,76463,109766,103891,45475,54,68
2021-11-10T23:59:59+01:00,6933,6744,49461,46793,64009,55239,66507,62148,77306,74979,90223,87692,61183,65440,39916,51333,12660,22804,5487,5306,42767,40957,56839,48924,60619,56490,71445,69198,85369,83205,59216,63170,38725,49703,12175,21866,706079,645756,80191,76420,109763,103890,45327,54,68
2021-11-09T23:59:59+01:00,6824,6618,48804,46230,63339,54696,66044,61738,76895,74589,89951,87429,61107,65349,39886,51292,12655,22789,5460,5285,42616,40855,56708,48804,60517,56379,71349,69081,85278,83111,59166,63109,38702,49663,12167,21856,701305,644609,80020,76396,109755,103889,45144,54,68
2021-11-08T23:59:59+01:00,6728,6515,48161,45764,62709,54192,65575,61319,76499,74255,89715,87198,61030,65287,39859,51254,12650,22774,5436,5266,42510,40733,56581,48707,60432,56294,71259,69000,85215,83038,59122,63064,38690,49641,12161,21835,696979,643714,79781,76356,109755,103888,44958,54,68
2021-11-07T23:59:59+01:00,6685,6467,47888,45546,62422,53940,65344,61143,76294,74085,89601,87094,60996,65247,39851,51237,12648,22768,5424,5244,42450,40682,56506,48650,60374,56244,71204,68948,85180,83004,59101,63047,38679,49630,12159,21829,694917,643216,79741,76351,109755,103888,44832,54,68
