Datum,<15,15-24,25-34,35-44,45-54,55-64,65-74,75-84,>84
2021-09-23T23:59:59+02:00,2607,28687,39116,44460,52798,59610,44594,33463,11509
2021-09-22T23:59:59+02:00,2505,28470,38957,44335,52685,59530,44568,33452,11501
2021-09-21T23:59:59+02:00,2480,28364,38859,44249,52629,59480,44542,33435,11497
2021-09-20T23:59:59+02:00,2459,28257,38767,44192,52551,59431,44521,33427,11491
2021-09-19T23:59:59+02:00,2441,28156,38674,44119,52495,59400,44502,33420,11488
2021-09-18T23:59:59+02:00,2441,28154,38674,44117,52493,59400,44502,33420,11488
2021-09-17T23:59:59+02:00,2424,28119,38658,44104,52482,59385,44496,33418,11488
2021-09-16T23:59:59+02:00,2361,27968,38565,44020,52408,59333,44476,33405,11483
2021-09-15T23:59:59+02:00,2304,27809,38441,43929,52328,59280,44448,33385,11480
2021-09-14T23:59:59+02:00,2271,27732,38395,43880,52293,59259,44429,33375,11477
2021-09-13T23:59:59+02:00,2257,27690,38354,43839,52266,59226,44409,33367,11473
2021-09-12T23:59:59+02:00,2237,27626,38295,43795,52233,59206,44394,33355,11466
2021-09-11T23:59:59+02:00,2237,27619,38290,43793,52232,59206,44393,33355,11466
2021-09-10T23:59:59+02:00,2234,27590,38264,43774,52203,59184,44388,33349,11464
2021-09-09T23:59:59+02:00,2181,27437,38130,43653,52113,59116,44344,33317,11460
2021-09-08T23:59:59+02:00,2141,27260,37993,43537,52027,59031,44304,33305,11458
2021-09-07T23:59:59+02:00,2111,27145,37894,43465,51957,58974,44278,33294,11457
2021-09-06T23:59:59+02:00,2090,27077,37850,43416,51917,58944,44260,33287,11454
2021-09-05T23:59:59+02:00,2069,27003,37788,43362,51881,58912,44248,33283,11454
2021-09-04T23:59:59+02:00,2069,26992,37770,43351,51870,58902,44244,33282,11454
2021-09-03T23:59:59+02:00,2069,26963,37726,43314,51844,58877,44231,33279,11454
2021-09-02T23:59:59+02:00,2024,26805,37624,43227,51758,58811,44208,33262,11452
2021-09-01T23:59:59+02:00,1953,26545,37414,43077,51635,58698,44154,33235,11442
2021-08-31T23:59:59+02:00,1927,26407,37324,43012,51580,58644,44137,33224,11440
2021-08-30T23:59:59+02:00,1907,26308,37234,42955,51514,58585,44112,33205,11436
2021-08-29T23:59:59+02:00,1888,26211,37187,42908,51475,58555,44096,33198,11433
2021-08-28T23:59:59+02:00,1888,26200,37168,42897,51463,58551,44095,33198,11433
2021-08-27T23:59:59+02:00,1876,26139,37114,42848,51422,58516,44080,33193,11432
2021-08-26T23:59:59+02:00,1856,26011,36983,42732,51318,58441,44046,33171,11427
2021-08-25T23:59:59+02:00,1798,25803,36819,42595,51195,58354,43999,33149,11423
2021-08-24T23:59:59+02:00,1752,25645,36678,42507,51109,58286,43961,33130,11416
2021-08-23T23:59:59+02:00,1701,25452,36558,42406,51015,58198,43925,33111,11413
2021-08-22T23:59:59+02:00,1663,25321,36470,42342,50967,58151,43906,33106,11413
2021-08-21T23:59:59+02:00,1663,25302,36451,42328,50956,58134,43904,33106,11413
2021-08-20T23:59:59+02:00,1661,25267,36410,42290,50923,58097,43894,33102,11413
2021-08-19T23:59:59+02:00,1619,25019,36241,42146,50786,57987,43860,33087,11408
2021-08-18T23:59:59+02:00,1570,24768,36021,41963,50618,57838,43784,33061,11402
2021-08-17T23:59:59+02:00,1525,24576,35879,41829,50513,57760,43750,33039,11398
2021-08-16T23:59:59+02:00,1482,24384,35719,41674,50388,57631,43705,33011,11394
2021-08-15T23:59:59+02:00,1442,24249,35634,41585,50309,57591,43682,33001,11390
2021-08-14T23:59:59+02:00,1442,24238,35618,41568,50288,57577,43678,32999,11390
2021-08-13T23:59:59+02:00,1437,24209,35599,41548,50266,57558,43665,32997,11389
2021-08-12T23:59:59+02:00,1385,23893,35351,41366,50101,57435,43612,32972,11380
2021-08-11T23:59:59+02:00,1339,23615,35181,41212,49979,57330,43553,32954,11373
2021-08-10T23:59:59+02:00,1298,23394,35018,41087,49870,57236,43499,32922,11366
2021-08-09T23:59:59+02:00,1212,23052,34755,40884,49679,57082,43424,32896,11354
2021-08-08T23:59:59+02:00,1167,22880,34587,40763,49568,56992,43379,32873,11350
2021-08-07T23:59:59+02:00,1167,22861,34565,40751,49540,56963,43373,32864,11349
2021-08-06T23:59:59+02:00,1167,22834,34525,40719,49509,56940,43366,32859,11349
2021-08-05T23:59:59+02:00,1102,22550,34318,40511,49311,56821,43317,32834,11344
