Datum,<15_1_m,<15_1_w,15-24_1_m,15-24_1_w,25-34_1_m,25-34_1_w,35-44_1_m,35-44_1_w,45-54_1_m,45-54_1_w,55-64_1_m,55-64_1_w,65-74_1_m,65-74_1_w,75-84_1_m,75-84_1_w,>84_1_m,>84_1_w,<15_2_m,<15_2_w,15-24_2_m,15-24_2_w,25-34_2_m,25-34_2_w,35-44_2_m,35-44_2_w,45-54_2_m,45-54_2_w,55-64_2_m,55-64_2_w,65-74_2_m,65-74_2_w,75-84_2_m,75-84_2_w,>84_2_m,>84_2_w,bp_1,bp_2,mo_1,mo_2,az_1,az_2,ja,unb_1,unb_2
2021-10-30T23:59:59+01:00,2514,2401,18164,16733,23401,21520,25005,24444,28483,29062,31214,32105,21754,24842,15553,19572,4543,7906,2008,1894,16332,15145,21666,19909,23447,22895,26957,27499,29972,30829,21126,24129,15127,18942,4376,7600,243114,227910,32993,31775,55087,52131,17998,33,39
2021-10-29T23:59:59+02:00,2503,2388,18106,16695,23344,21490,24943,24407,28427,29033,31192,32087,21750,24833,15547,19567,4542,7905,2004,1889,16318,15134,21654,19897,23437,22881,26946,27486,29964,30827,21124,24127,15127,18941,4376,7600,242689,227793,32963,31773,55087,52131,17996,33,39
2021-10-28T23:59:59+02:00,2481,2366,18032,16641,23271,21436,24899,24363,28391,28996,31160,32061,21744,24825,15541,19558,4541,7902,1974,1870,16264,15088,21620,19856,23407,22850,26921,27465,29944,30803,21114,24120,15125,18938,4376,7595,242175,227413,32934,31760,55087,52130,17988,33,39
2021-10-27T23:59:59+02:00,2448,2330,17921,16561,23123,21341,24797,24279,28294,28939,31114,32029,21735,24803,15534,19549,4541,7901,1951,1841,16195,15042,21574,19798,23376,22813,26889,27428,29919,30779,21103,24107,15118,18928,4375,7591,241250,226942,32897,31739,55087,52126,17981,33,39
2021-10-26T23:59:59+02:00,2423,2306,17862,16516,23080,21294,24753,24242,28249,28896,31087,32012,21733,24793,15531,19547,4541,7898,1933,1818,16154,14997,21543,19767,23343,22784,26878,27408,29906,30768,21096,24107,15116,18926,4375,7591,240788,226638,32896,31739,55087,52126,17968,33,39
2021-10-25T23:59:59+02:00,2422,2302,17862,16512,23077,21292,24751,24239,28248,28894,31086,32012,21733,24793,15531,19547,4541,7898,1933,1817,16154,14996,21542,19766,23341,22783,26878,27408,29906,30768,21096,24107,15116,18926,4375,7591,240767,226633,32896,31739,55087,52126,17966,33,39
2021-10-24T23:59:59+02:00,2413,2294,17844,16488,23060,21274,24725,24223,28239,28888,31079,32007,21731,24791,15529,19545,4541,7898,1923,1800,16136,14961,21519,19743,23329,22755,26867,27397,29896,30761,21093,24102,15114,18920,4375,7591,240611,226428,32883,31725,55087,52126,17964,33,39
2021-10-23T23:59:59+02:00,2413,2294,17843,16488,23057,21274,24725,24223,28238,28888,31079,32007,21731,24791,15529,19545,4541,7898,1923,1800,16136,14961,21517,19743,23329,22755,26867,27397,29896,30761,21093,24102,15114,18920,4375,7591,240607,226427,32883,31725,55087,52126,17963,33,39
2021-10-22T23:59:59+02:00,2392,2277,17781,16447,23008,21229,24674,24171,28206,28859,31046,31987,21724,24782,15524,19543,4540,7896,1917,1793,16118,14950,21508,19735,23314,22738,26861,27393,29887,30755,21091,24100,15114,18920,4375,7591,240148,226324,32875,31723,55087,52122,17952,33,39
2021-10-21T23:59:59+02:00,2377,2251,17739,16404,22959,21180,24637,24137,28161,28833,31029,31965,21717,24777,15521,19539,4539,7888,1871,1755,16057,14873,21466,19674,23277,22691,26822,27356,29873,30734,21084,24088,15105,18902,4373,7586,239753,225809,32849,31677,55087,52122,17940,33,39
2021-10-20T23:59:59+02:00,2346,2210,17663,16345,22869,21117,24560,24095,28122,28785,30995,31938,21705,24768,15517,19530,4537,7885,1817,1712,15972,14804,21417,19607,23218,22645,26780,27301,29844,30705,21063,24076,15098,18885,4367,7584,239118,225154,32829,31654,55087,52119,17929,33,39
2021-10-19T23:59:59+02:00,2325,2196,17629,16319,22849,21102,24548,24080,28109,28773,30987,31918,21698,24757,15515,19522,4536,7884,1786,1673,15913,14756,21374,19560,23197,22620,26759,27282,29824,30686,21054,24062,15093,18879,4367,7581,238882,224730,32829,31654,55087,52118,17925,33,39
2021-10-18T23:59:59+02:00,2312,2186,17611,16298,22834,21077,24529,24063,28097,28763,30975,31907,21692,24755,15513,19515,4534,7881,1762,1650,15871,14708,21355,19536,23173,22591,26738,27256,29804,30671,21048,24057,15089,18873,4366,7580,238678,224393,32829,31654,55087,52118,17924,33,39
2021-10-17T23:59:59+02:00,2303,2180,17586,16264,22805,21048,24509,24049,28081,28754,30965,31899,21684,24751,15511,19512,4534,7878,1744,1621,15828,14661,21326,19493,23152,22565,26719,27235,29790,30667,21042,24048,15089,18868,4364,7578,238459,224078,32823,31635,55087,52118,17920,33,39
2021-10-16T23:59:59+02:00,2303,2180,17585,16264,22805,21048,24509,24049,28081,28754,30965,31899,21684,24751,15511,19512,4534,7878,1744,1621,15828,14661,21326,19492,23152,22565,26719,27235,29790,30667,21042,24048,15089,18868,4364,7578,238458,224077,32823,31635,55087,52118,17920,33,39
2021-10-15T23:59:59+02:00,2294,2170,17560,16248,22787,21033,24485,24032,28065,28740,30959,31895,21678,24744,15511,19512,4534,7877,1736,1606,15815,14644,21314,19481,23144,22558,26716,27229,29785,30662,21039,24046,15088,18868,4364,7578,238284,223963,32811,31635,55087,52118,17918,33,39
2021-10-14T23:59:59+02:00,2284,2152,17518,16213,22753,21001,24463,24010,28048,28722,30948,31882,21672,24741,15508,19509,4533,7873,1715,1580,15753,14592,21285,19436,23109,22520,26698,27193,29763,30639,21028,24038,15083,18858,4362,7576,237995,223556,32810,31621,55087,52099,17913,33,39
2021-10-13T23:59:59+02:00,2254,2133,17438,16140,22692,20938,24418,23968,28011,28679,30920,31852,21659,24731,15502,19504,4532,7869,1677,1549,15654,14503,21234,19385,23067,22483,26657,27154,29735,30611,21021,24020,15081,18843,4362,7572,237489,223020,32784,31594,55087,52099,17856,32,39
2021-10-12T23:59:59+02:00,2244,2114,17397,16096,22668,20910,24393,23940,27995,28659,30908,31833,21655,24726,15499,19496,4531,7868,1654,1530,15602,14442,21216,19353,23042,22462,26634,27129,29713,30591,21013,24011,15079,18840,4360,7571,237184,222668,32783,31585,55086,52095,17855,32,39
2021-10-11T23:59:59+02:00,2233,2102,17368,16065,22653,20889,24378,23920,27977,28641,30895,31823,21650,24718,15497,19491,4528,7863,1636,1519,15560,14406,21177,19299,23019,22425,26608,27089,29684,30575,21002,24001,15073,18833,4356,7568,236947,222260,32783,31585,55086,52095,17851,32,39
2021-10-10T23:59:59+02:00,2229,2094,17350,16047,22633,20875,24373,23912,27969,28628,30891,31816,21644,24714,15497,19489,4528,7860,1620,1508,15503,14362,21112,19239,22981,22387,26563,27063,29663,30553,20992,23990,15067,18826,4356,7568,236814,221812,32779,31562,55086,52094,17846,32,39
2021-10-09T23:59:59+02:00,2227,2094,17350,16046,22631,20874,24373,23912,27969,28628,30891,31816,21644,24714,15497,19489,4528,7860,1619,1505,15502,14360,21112,19238,22981,22387,26563,27062,29663,30553,20992,23990,15067,18826,4356,7568,236808,221803,32779,31562,55086,52094,17846,32,39
2021-10-08T23:59:59+02:00,2222,2086,17339,16023,22605,20862,24355,23903,27954,28612,30876,31807,21642,24709,15497,19489,4528,7860,1612,1501,15496,14347,21098,19223,22970,22379,26553,27045,29659,30546,20990,23984,15065,18825,4356,7568,236672,221701,32767,31562,55085,52094,17821,32,39
2021-10-07T23:59:59+02:00,2198,2066,17283,15980,22574,20816,24329,23875,27922,28588,30855,31784,21637,24706,15495,19480,4527,7855,1577,1469,15423,14269,21032,19153,22926,22331,26523,27008,29631,30523,20979,23969,15060,18815,4352,7567,236301,221161,32757,31515,55082,52086,17806,32,39
