Datum,00-11,12-14,15-24,25-34,35-44,45-54,55-64,65-74,75-84,>84,NotAssigned
2021/12/14,0,14102,84998,111403,114833,135694,153127,114586,85649,33464,0
2021/12/13,0,13880,84617,111022,114509,135427,152919,114462,85576,33436,0
2021/12/12,0,13726,84169,110534,114174,135169,152707,114359,85532,33424,0
2021/12/11,0,13631,83835,110218,113959,135012,152582,114317,85514,33419,0
2021/12/10,0,13441,83359,109818,113624,134705,152419,114268,85486,33413,0
2021/12/09,0,13081,82656,109140,113067,134217,152082,114128,85418,33394,0
2021/12/08,0,12898,82285,108765,112742,133906,151803,114015,85362,33366,0
2021/12/07,0,12801,81902,108408,112484,133719,151672,113960,85341,33363,0
2021/12/06,0,12548,81242,107814,112017,133338,151325,113831,85273,33345,0
2021/12/05,0,12379,80658,107185,111603,133015,151102,113762,85240,33334,0
2021/12/04,0,12356,80587,107095,111548,132983,151081,113760,85233,33332,0
2021/12/03,0,12310,80411,106912,111431,132891,151004,113739,85226,33330,0
2021/12/02,0,12077,79852,106329,110927,132470,150712,113644,85161,33311,0
2021/12/01,0,11956,79571,105996,110647,132203,150510,113557,85119,33296,0
2021/11/30,0,11808,79285,105638,110361,131920,150291,113449,85052,33275,0
2021/11/29,0,11724,78921,105232,110049,131668,150078,113364,85002,33266,0
2021/11/28,0,11675,78763,105024,109891,131542,149996,113326,84980,33260,0
2021/11/27,0,11660,78716,104997,109864,131526,149980,113321,84979,33260,0
2021/11/26,0,11634,78633,104903,109779,131461,149930,113312,84974,33260,0
2021/11/25,0,11410,77930,104230,109264,131014,149691,113237,84936,33245,0
2021/11/24,0,11325,77757,104010,109059,130833,149562,113179,84898,33232,0
2021/11/23,0,11237,77544,103721,108859,130628,149405,113087,84859,33215,0
2021/11/22,0,11138,77069,103204,108478,130293,149237,113016,84831,33202,0
2021/11/21,0,11080,76878,103002,108319,130156,149152,112983,84810,33195,0
2021/11/20,0,11074,76842,102962,108277,130134,149138,112978,84804,33194,0
2021/11/19,0,11044,76730,102888,108192,130080,149098,112964,84798,33190,0
2021/11/18,0,10907,76205,102440,107801,129730,148906,112882,84751,33172,0
2021/11/17,0,10841,76040,102238,107660,129596,148794,112827,84713,33159,0
2021/11/16,0,10727,75721,101974,107439,129404,148634,112744,84650,33142,0
2021/11/15,0,10635,75355,101613,107131,129149,148485,112683,84622,33130,0
2021/11/14,0,10544,75051,101278,106891,128930,148356,112628,84595,33124,0
2021/11/13,0,10542,75048,101276,106883,128921,148347,112619,84585,33121,0
2021/11/12,0,10531,75003,101233,106846,128884,148320,112608,84580,33117,0
2021/11/11,0,10415,74687,100947,106614,128668,148196,112547,84550,33105,0
2021/11/10,0,10369,74530,100797,106472,128558,148096,112482,84512,33093,0
2021/11/09,0,10315,74413,100691,106330,128423,147941,112414,84468,33067,0
2021/11/08,0,10264,74203,100410,106159,128262,147802,112351,84441,33059,0
2021/11/07,0,10231,74056,100254,106060,128178,147753,112327,84424,33051,0
2021/11/06,0,10229,74053,100248,106056,128172,147749,112323,84423,33051,0
2021/11/05,0,10216,74021,100228,106041,128148,147733,112317,84417,33051,0
2021/11/04,0,10092,73676,99876,105735,127870,147561,112260,84380,33032,0
2021/11/03,0,10014,73543,99779,105635,127781,147482,112219,84347,33020,0
2021/11/02,0,9871,73255,99472,105393,127591,147311,112125,84294,33007,0
2021/11/01,0,9797,72998,99248,105192,127431,147203,112099,84269,32997,0
2021/10/31,0,9796,72992,99247,105189,127425,147203,112099,84269,32997,0
2021/10/30,0,9796,72992,99246,105187,127423,147202,112098,84269,32997,0
2021/10/29,0,9791,72966,99238,105178,127412,147186,112092,84265,32995,0
2021/10/28,0,9682,72669,98959,104928,127184,147055,112040,84233,32986,0
2021/10/27,0,9632,72576,98870,104860,127090,146994,111997,84216,32971,0
2021/10/26,0,9537,72329,98687,104709,126976,146880,111941,84178,32951,0
2021/10/25,0,9515,72210,98547,104600,126887,146804,111916,84167,32946,0
2021/10/24,0,9466,72086,98454,104523,126821,146750,111894,84148,32942,0
2021/10/23,0,9466,72085,98454,104521,126821,146749,111894,84148,32942,0
2021/10/22,0,9452,72056,98423,104501,126795,146725,111877,84144,32939,0
2021/10/21,0,9294,71620,98077,104200,126542,146582,111817,84114,32929,0
2021/10/20,0,9255,71571,98023,104145,126497,146530,111777,84095,32919,0
2021/10/19,0,9210,71470,97926,104073,126426,146452,111741,84058,32904,0
2021/10/18,0,9082,71178,97679,103899,126316,146343,111681,84031,32893,0
2021/10/17,0,9061,71128,97634,103860,126285,146312,111658,84019,32883,0
2021/10/16,0,9055,71119,97627,103852,126279,146309,111656,84017,32881,0
2021/10/15,0,9045,71104,97613,103841,126267,146298,111648,84013,32880,0
2021/10/14,0,8811,70489,97168,103516,125975,146124,111544,83958,32866,0
2021/10/13,0,8753,70408,97101,103444,125905,146061,111504,83926,32854,0
2021/10/12,0,8707,70297,96999,103373,125826,145974,111450,83879,32834,0
2021/10/11,0,8534,69851,96622,103104,125616,145825,111373,83847,32822,0
2021/10/10,0,8509,69798,96573,103069,125594,145798,111360,83832,32815,0
2021/10/09,0,8509,69797,96572,103069,125592,145798,111360,83832,32815,0
2021/10/08,0,8493,69763,96545,103051,125576,145786,111356,83826,32813,0
2021/10/07,0,8173,69038,95985,102585,125183,145459,111219,83754,32787,0
2021/10/06,0,8136,68961,95934,102540,125138,145417,111167,83715,32768,0
2021/10/05,0,8076,68822,95824,102460,125047,145337,111097,83632,32738,0
2021/10/04,0,7827,68164,95332,102095,124734,145122,110980,83523,32707,0
2021/10/03,0,7807,68076,95236,102009,124655,145049,110939,83495,32697,0
2021/10/02,0,7806,68072,95226,102004,124653,145047,110938,83495,32697,0
2021/10/01,0,7799,68040,95201,101976,124632,145018,110923,83490,32693,0
2021/09/30,0,7647,67743,94982,101784,124455,144892,110881,83456,32680,0
2021/09/29,0,7614,67679,94926,101740,124404,144849,110863,83441,32670,0
2021/09/28,0,7583,67584,94863,101690,124357,144782,110796,83392,32655,0
2021/09/27,0,7292,66774,94231,101210,123972,144524,110695,83340,32643,0
2021/09/26,0,7276,66752,94199,101192,123952,144509,110683,83334,32637,0
2021/09/25,0,7275,66749,94199,101191,123951,144507,110682,83334,32637,0
2021/09/24,0,7265,66724,94174,101156,123932,144480,110668,83321,32635,0
2021/09/23,0,7189,66371,93797,100881,123675,144288,110605,83276,32625,0
2021/09/22,0,7160,66292,93695,100771,123580,144207,110569,83259,32622,0
2021/09/21,0,7125,66207,93613,100685,123494,144127,110516,83230,32614,0
2021/09/20,0,6732,65259,92895,100090,123027,143808,110395,83162,32597,0
2021/09/19,0,6714,65220,92879,100069,123002,143786,110385,83159,32594,0
2021/09/18,0,6713,65217,92873,100069,123002,143785,110384,83159,32594,0
2021/09/17,0,6708,65190,92850,100056,122994,143765,110375,83158,32592,0
2021/09/16,0,6599,64954,92660,99894,122878,143681,110345,83137,32587,0
2021/09/15,0,6524,64851,92557,99786,122787,143620,110316,83118,32581,0
2021/09/14,0,6450,64712,92462,99706,122695,143541,110269,83095,32577,0
2021/09/13,0,5907,63774,91978,99323,122365,143289,110157,83043,32561,0
2021/09/12,0,5882,63731,91943,99305,122338,143259,110142,83034,32558,0
2021/09/11,0,5878,63718,91937,99297,122331,143252,110138,83032,32558,0
2021/09/10,0,5858,63477,91572,98965,122019,143023,110053,82989,32550,0
2021/09/09,0,5794,63316,91480,98872,121943,142950,110020,82966,32545,0
2021/09/08,0,5760,63229,91415,98812,121879,142914,109995,82945,32536,0
2021/09/07,0,5720,63131,91343,98737,121825,142851,109966,82923,32529,0
2021/09/06,0,5624,62739,90979,98453,121592,142668,109873,82888,32512,0
2021/09/05,0,5606,62700,90946,98432,121571,142653,109855,82880,32509,0
2021/09/04,0,5606,62697,90946,98428,121571,142652,109855,82880,32509,0
2021/09/03,0,5440,62230,90574,98089,121193,142361,109744,82832,32503,0
2021/09/02,0,5398,62098,90473,98004,121086,142293,109711,82815,32497,0
2021/09/01,0,5351,62003,90412,97947,121030,142239,109674,82798,32494,0
2021/08/31,0,5330,61909,90360,97906,120986,142197,109650,82788,32484,0
2021/08/30,0,5212,61356,89827,97509,120668,141940,109537,82738,32474,0
2021/08/29,0,5205,61315,89776,97471,120633,141917,109525,82734,32472,0
2021/08/28,0,5202,61297,89768,97465,120627,141912,109520,82734,32472,0
2021/08/27,0,5191,61261,89746,97446,120611,141899,109517,82732,32471,0
2021/08/26,0,5023,60693,89313,97114,120393,141744,109448,82691,32465,0
2021/08/25,0,4539,59235,88457,96497,119945,141417,109305,82634,32448,0
2021/08/24,0,4398,58777,88192,96280,119758,141233,109213,82602,32441,0
2021/08/23,0,4285,57962,87507,95826,119278,140860,109067,82535,32429,0
2021/08/22,0,4278,57918,87477,95804,119259,140849,109054,82529,32429,0
2021/08/21,0,4275,57892,87468,95794,119255,140848,109053,82529,32429,0
2021/08/20,0,4234,56852,86621,95302,118812,140516,108909,82471,32418,0
2021/08/19,0,4063,55055,85234,94515,118201,140017,108719,82381,32408,0
