Datum,0,<15_1_m,<15_1_w,15-24_1_m,15-24_1_w,25-34_1_m,25-34_1_w,35-44_1_m,35-44_1_w,45-54_1_m,45-54_1_w,55-64_1_m,55-64_1_w,65-74_1_m,65-74_1_w,75-84_1_m,75-84_1_w,>84_1_m,>84_1_w,<15_2_m,<15_2_w,15-24_2_m,15-24_2_w,25-34_2_m,25-34_2_w,35-44_2_m,35-44_2_w,45-54_2_m,45-54_2_w,55-64_2_m,55-64_2_w,65-74_2_m,65-74_2_w,75-84_2_m,75-84_2_w,>84_2_m,>84_2_w,bp_1,bp_2,mo_1,mo_2,az_1,az_2,ja,unb_1,unb_2,0
2021/12/14,0,12863,12067,48247,45131,63273,56885,62261,59929,71754,70812,79658,79112,55942,61730,38209,49583,11930,22845,7270,6832,43705,41293,59043,52360,58685,56148,68414,67280,76896,76231,54510,60076,37316,48333,11521,21943,675503,628204,80945,77837,105823,101844,39913,58,58,0
2021/12/13,0,12678,11879,48145,45033,63163,56763,62189,59835,71686,70750,79572,79024,55882,61674,38170,49535,11917,22808,7162,6718,43495,41122,58861,52161,58524,55985,68285,67142,76799,76120,54463,59999,37288,48288,11517,21919,674143,626281,80779,77754,105823,101844,39911,58,58,0
2021/12/12,0,12596,11819,48012,44956,63054,56659,62113,59746,71609,70690,79494,78964,55832,61621,38136,49508,11910,22790,7079,6647,43236,40933,58602,51932,58329,55845,68135,67034,76679,76028,54411,59948,37271,48261,11513,21911,673090,624252,80641,77732,105823,101844,39908,58,58,0
2021/12/11,0,12308,11533,47961,44920,63034,56620,62095,59718,71585,70673,79485,78953,55829,61612,38132,49504,11908,22789,7041,6590,43056,40779,58417,51801,58205,55754,68053,66959,76610,75972,54386,59931,37266,48248,11511,21908,672269,622949,80612,77728,105823,101844,39908,58,58,0
2021/12/10,0,11434,10716,47880,44851,62976,56534,62042,59665,71538,70624,79447,78917,55800,61589,38124,49481,11904,22781,6944,6497,42815,40544,58206,51612,58034,55590,67881,66824,76530,75889,54362,59906,37259,48227,11509,21904,669972,621012,80555,77713,105823,101844,39906,58,58,0
2021/12/09,0,11162,10466,47745,44711,62866,56372,61949,59543,71469,70542,79381,78818,55759,61536,38100,49446,11892,22753,6753,6328,42452,40204,57869,51271,57743,55324,67630,66587,76360,75722,54295,59833,37238,48180,11505,21889,668269,617729,80469,77652,105823,101842,39902,58,58,0
2021/12/08,0,10960,10243,47680,44649,62780,56283,61879,59465,71415,70462,79334,78763,55732,61509,38084,49424,11885,22738,6658,6240,42236,40049,57684,51081,57569,55173,67470,66436,76213,75590,54238,59777,37223,48139,11496,21870,667136,615801,80379,77541,105823,101842,39900,58,58,0
2021/12/07,0,10832,10114,47627,44591,62734,56238,61842,59435,71390,70424,79298,78737,55728,61495,38070,49408,11885,22734,6599,6202,42034,39868,57488,50920,57425,55059,67374,66345,76137,75535,54219,59741,37215,48126,11496,21867,666473,614316,80340,77535,105823,101842,39899,58,58,0
2021/12/06,0,10580,9850,47531,44489,62673,56156,61795,59355,71349,70353,79239,78670,55699,61452,38050,49382,11879,22718,6467,6081,41685,39557,57182,50632,57188,54829,67177,66161,75958,75367,54153,59678,37184,48089,11488,21857,665183,611449,80281,77501,105822,101839,39886,58,58,0
2021/12/05,0,10460,9732,47480,44412,62613,56070,61751,59309,71306,70317,79192,78624,55674,61427,38043,49361,11878,22711,6372,6007,41354,39304,56822,50363,56961,54642,67003,66012,75835,75267,54122,59640,37173,48067,11484,21850,664377,609023,80230,77475,105822,101839,39883,58,58,0
