Datum,<15_1_m,<15_1_w,15-24_1_m,15-24_1_w,25-34_1_m,25-34_1_w,35-44_1_m,35-44_1_w,45-54_1_m,45-54_1_w,55-64_1_m,55-64_1_w,65-74_1_m,65-74_1_w,75-84_1_m,75-84_1_w,>84_1_m,>84_1_w,<15_2_m,<15_2_w,15-24_2_m,15-24_2_w,25-34_2_m,25-34_2_w,35-44_2_m,35-44_2_w,45-54_2_m,45-54_2_w,55-64_2_m,55-64_2_w,65-74_2_m,65-74_2_w,75-84_2_m,75-84_2_w,>84_2_m,>84_2_w,bp_1,bp_2,mo_1,mo_2,az_1,az_2,ja,unb_1,unb_2
2021-11-03T23:59:59+01:00,4371,4069,26986,25650,36290,33369,35730,35411,40902,41042,44057,43941,28538,31778,20306,25447,6366,10736,3646,3326,24115,23118,33290,30420,33323,32965,38545,38531,41886,41905,27565,30656,19649,24533,6102,10201,349714,326558,45990,44224,77566,71294,21660,64,40
2021-11-02T23:59:59+01:00,4338,4027,26771,25515,36061,33205,35573,35299,40769,40945,43975,43876,28512,31760,20297,25438,6365,10732,3617,3299,24013,23040,33185,30344,33256,32916,38484,38480,41842,41872,27545,30635,19634,24523,6100,10194,348356,325907,45938,44199,77566,71294,21539,64,40
2021-11-01T23:59:59+01:00,4297,3990,26682,25452,35946,33131,35496,35253,40698,40894,43937,43857,28505,31751,20293,25437,6364,10731,3599,3263,23967,22991,33130,30309,33222,32886,38446,38455,41816,41847,27535,30628,19628,24515,6099,10192,347669,325506,45912,44182,77566,71292,21508,64,40
2021-10-31T23:59:59+01:00,4297,3990,26678,25452,35944,33131,35496,35253,40697,40894,43936,43856,28504,31751,20293,25437,6364,10731,3599,3263,23967,22991,33130,30309,33222,32886,38445,38455,41815,41847,27535,30628,19628,24515,6099,10192,347661,325505,45911,44182,77566,71292,21507,64,40
2021-10-30T23:59:59+02:00,4294,3988,26667,25447,35930,33124,35490,35249,40688,40890,43928,43856,28503,31751,20293,25436,6364,10730,3599,3263,23963,22988,33127,30309,33222,32883,38444,38454,41814,41847,27535,30628,19628,24515,6099,10192,347585,325489,45911,44182,77566,71292,21507,64,40
2021-10-29T23:59:59+02:00,4270,3971,26548,25377,35786,33025,35394,35191,40605,40836,43890,43838,28500,31743,20292,25434,6364,10730,3588,3256,23916,22954,33078,30262,33185,32854,38411,38423,41790,41832,27530,30620,19624,24509,6098,10192,346846,325159,45855,44164,77566,71291,21468,64,40
2021-10-28T23:59:59+02:00,4237,3929,26379,25250,35589,32891,35248,35093,40512,40762,43831,43798,28488,31732,20284,25427,6363,10728,3560,3220,23829,22868,32995,30172,33124,32804,38362,38374,41743,41804,27519,30605,19617,24500,6094,10185,345774,324558,45780,44124,77566,71291,21362,64,40
2021-10-27T23:59:59+02:00,4211,3905,26339,25217,35545,32846,35207,35043,40476,40734,43807,43780,28485,31725,20282,25421,6358,10726,3545,3201,23782,22828,32948,30133,33099,32777,38351,38350,41732,41784,27511,30589,19609,24493,6093,10183,345352,324200,45770,44118,77566,71290,21360,64,40
2021-10-26T23:59:59+02:00,4168,3876,26202,25102,35403,32743,35116,34966,40406,40685,43766,43758,28474,31714,20277,25415,6356,10724,3517,3188,23717,22747,32872,30064,33053,32727,38297,38312,41693,41761,27503,30579,19604,24484,6092,10181,344503,323696,45742,44086,77566,71288,21281,64,40
2021-10-25T23:59:59+02:00,4159,3868,26188,25084,35370,32720,35089,34952,40392,40678,43762,43754,28473,31713,20276,25415,6356,10724,3512,3181,23713,22741,32854,30045,33050,32721,38290,38309,41692,41758,27502,30578,19604,24481,6092,10181,344350,323633,45733,44079,77566,71287,21265,64,40
