Datum,<15,15-24,25-34,35-44,45-54,55-64,65-74,75-84,>84
2021-08-09T23:59:59+02:00,2272,23193,28825,34029,40974,43146,29738,21885,8038
2021-08-08T23:59:59+02:00,2269,23185,28824,34026,40970,43144,29738,21884,8038
2021-08-07T23:59:59+02:00,2269,23181,28819,34023,40967,43143,29737,21883,8038
2021-08-06T23:59:59+02:00,2265,23152,28778,33984,40929,43123,29730,21877,8038
2021-08-05T23:59:59+02:00,2248,23078,28725,33924,40879,43075,29700,21864,8033
2021-08-04T23:59:59+02:00,2226,23019,28698,33897,40856,43052,29688,21858,8031
2021-08-03T23:59:59+02:00,2214,22942,28638,33842,40816,43010,29657,21851,8029
2021-08-02T23:59:59+02:00,2209,22907,28599,33807,40791,42993,29635,21843,8027
2021-08-01T23:59:59+02:00,2209,22901,28599,33805,40790,42991,29634,21843,8026
2021-07-31T23:59:59+02:00,2209,22901,28599,33805,40790,42991,29634,21843,8026
2021-07-30T23:59:59+02:00,2208,22855,28542,33742,40744,42935,29609,21829,8024
2021-07-29T23:59:59+02:00,2192,22795,28495,33719,40725,42920,29605,21824,8020
2021-07-28T23:59:59+02:00,2171,22714,28440,33684,40704,42904,29599,21820,8018
2021-07-27T23:59:59+02:00,2167,22678,28397,33656,40673,42868,29578,21809,8015
2021-07-26T23:59:59+02:00,2149,22564,28316,33609,40608,42823,29553,21794,8014
2021-07-25T23:59:59+02:00,2148,22559,28310,33607,40607,42823,29553,21794,8014
2021-07-24T23:59:59+02:00,2148,22553,28308,33606,40604,42822,29552,21794,8014
2021-07-23T23:59:59+02:00,2111,22370,28174,33499,40511,42746,29516,21776,8011
2021-07-22T23:59:59+02:00,2082,22231,28070,33437,40464,42708,29488,21758,8007
2021-07-21T23:59:59+02:00,2061,22137,28004,33380,40431,42681,29471,21748,8003
2021-07-20T23:59:59+02:00,2033,22044,27945,33329,40387,42639,29449,21740,8001
2021-07-19T23:59:59+02:00,2004,21946,27884,33290,40349,42618,29439,21727,7995
2021-07-18T23:59:59+02:00,2004,21944,27882,33289,40348,42618,29438,21727,7995
2021-07-17T23:59:59+02:00,2002,21871,27781,33223,40299,42568,29414,21721,7994
2021-07-16T23:59:59+02:00,1966,21540,27584,33050,40160,42468,29362,21697,7985
2021-07-15T23:59:59+02:00,1926,21421,27516,33005,40129,42449,29354,21689,7981
2021-07-14T23:59:59+02:00,1882,21258,27387,32923,40059,42403,29330,21663,7975
2021-07-13T23:59:59+02:00,1843,21104,27299,32866,40015,42379,29313,21653,7971
2021-07-12T23:59:59+02:00,1811,21002,27209,32795,39986,42367,29305,21645,7969
2021-07-11T23:59:59+02:00,1811,20999,27206,32794,39986,42367,29305,21645,7969
2021-07-10T23:59:59+02:00,1803,20980,27194,32786,39978,42357,29304,21645,7969
2021-07-09T23:59:59+02:00,1773,20886,27133,32723,39921,42307,29270,21622,7965
2021-07-08T23:59:59+02:00,1771,20780,26993,32609,39823,42254,29239,21603,7958
2021-07-07T23:59:59+02:00,1770,20772,26986,32608,39820,42254,29239,21603,7958
2021-07-06T23:59:59+02:00,1770,20769,26981,32606,39820,42253,29238,21603,7958
2021-07-05T23:59:59+02:00,1770,20759,26961,32594,39819,42251,29238,21603,7958
2021-07-04T23:59:59+02:00,1770,20739,26955,32593,39818,42249,29238,21602,7956
2021-07-03T23:59:59+02:00,1620,17250,24354,31670,39237,41916,29088,21502,7946
2021-07-02T23:59:59+02:00,1618,17244,24346,31667,39235,41915,29087,21500,7944
2021-07-01T23:59:59+02:00,1578,16866,24186,31605,39210,41887,29080,21487,7935
2021-06-30T23:59:59+02:00,1473,16436,23869,31394,39075,41800,29035,21461,7929
2021-06-29T23:59:59+02:00,1473,16423,23863,31391,39073,41800,29035,21461,7929
2021-06-28T23:59:59+02:00,1473,16416,23850,31389,39072,41800,29034,21461,7929
2021-06-27T23:59:59+02:00,1473,16407,23843,31387,39071,41800,29034,21460,7929
2021-06-26T23:59:59+02:00,1461,15978,22963,29292,38623,41575,28940,21418,7923
2021-06-25T23:59:59+02:00,1424,15928,22938,29286,38611,41570,28940,21415,7923
2021-06-24T23:59:59+02:00,1395,15030,20969,28318,38481,41479,28890,21389,7919
2021-06-23T23:59:59+02:00,1395,15023,20962,28316,38480,41478,28890,21389,7919
2021-06-22T23:59:59+02:00,1395,14945,20839,28267,38449,41459,28873,21383,7919
2021-06-21T23:59:59+02:00,1393,14745,20614,27739,37087,41292,28806,21339,7916
2021-06-20T23:59:59+02:00,1393,14741,20607,27739,37087,41292,28806,21339,7916
2021-06-19T23:59:59+02:00,1392,14667,20410,27399,36337,40934,28761,21307,7907
2021-06-18T23:59:59+02:00,27,13127,20403,27396,36333,40934,28760,21306,7904
2021-06-17T23:59:59+02:00,24,12987,20183,26766,35625,40724,28703,21280,7890
2021-06-16T23:59:59+02:00,24,12974,20169,26762,35623,40723,28703,21278,7890
