Datum,00-11,12-14,15-24,25-34,35-44,45-54,55-64,65-74,75-84,>84,NotAssigned
2021/12/14,0,4989,30174,35042,38748,44460,45497,31045,22616,8454,0
2021/12/13,0,4957,30119,35011,38710,44439,45466,31024,22606,8449,0
2021/12/12,0,4933,30043,34928,38649,44392,45443,30994,22593,8445,0
2021/12/11,0,4933,30042,34926,38649,44392,45443,30994,22593,8445,0
2021/12/10,0,4822,29831,34717,38515,44275,45383,30958,22584,8440,0
2021/12/09,0,4638,29520,34424,38262,44100,45282,30895,22545,8427,0
2021/12/08,0,4584,29342,34266,38143,44028,45229,30870,22537,8420,0
2021/12/07,0,4575,29338,34259,38139,44024,45223,30869,22534,8420,0
2021/12/06,0,4487,29100,34071,38011,43920,45170,30842,22514,8416,0
2021/12/05,0,4423,28780,33829,37855,43822,45109,30825,22509,8413,0
2021/12/04,0,4419,28778,33828,37855,43819,45107,30825,22509,8413,0
2021/12/03,0,4373,28634,33731,37776,43751,45066,30818,22498,8411,0
2021/12/02,0,4308,28513,33618,37689,43690,45031,30808,22487,8403,0
2021/12/01,0,4234,28233,33388,37508,43561,44953,30759,22461,8399,0
2021/11/30,0,4167,28019,33218,37395,43478,44895,30732,22450,8395,0
2021/11/29,0,4132,27855,33062,37295,43388,44835,30709,22438,8392,0
2021/11/28,0,4112,27800,33018,37261,43371,44822,30701,22435,8392,0
2021/11/27,0,4112,27800,33018,37261,43371,44822,30701,22435,8392,0
2021/11/26,0,4088,27706,32962,37209,43328,44805,30694,22432,8391,0
2021/11/25,0,4058,27615,32870,37148,43286,44790,30684,22427,8387,0
2021/11/24,0,4041,27546,32789,37113,43251,44762,30675,22423,8386,0
2021/11/23,0,4023,27502,32748,37092,43234,44752,30666,22421,8384,0
2021/11/22,0,4016,27488,32726,37064,43214,44745,30664,22420,8384,0
2021/11/21,0,4012,27479,32711,37052,43207,44736,30658,22416,8383,0
2021/11/20,0,4008,27467,32703,37049,43198,44732,30658,22415,8382,0
