Datum,<15_1_m,<15_1_w,15-24_1_m,15-24_1_w,25-34_1_m,25-34_1_w,35-44_1_m,35-44_1_w,45-54_1_m,45-54_1_w,55-64_1_m,55-64_1_w,65-74_1_m,65-74_1_w,75-84_1_m,75-84_1_w,>84_1_m,>84_1_w,<15_2_m,<15_2_w,15-24_2_m,15-24_2_w,25-34_2_m,25-34_2_w,35-44_2_m,35-44_2_w,45-54_2_m,45-54_2_w,55-64_2_m,55-64_2_w,65-74_2_m,65-74_2_w,75-84_2_m,75-84_2_w,>84_2_m,>84_2_w,bp_1,bp_2,mo_1,mo_2,az_1,az_2,ja,unb_1,unb_2
2021-11-11T23:59:59+01:00,2273,2187,15145,13880,17889,16192,19232,18847,22149,21969,23243,22080,14861,16053,10180,12442,3115,5427,1939,1835,13902,12916,16800,15218,18427,18073,21459,21283,22780,21621,14646,15813,10060,12294,3049,5309,186000,177626,22979,22537,35587,34647,12608,6,6
2021-11-10T23:59:59+01:00,2262,2178,15108,13843,17851,16164,19207,18821,22120,21949,23224,22069,14856,16052,10178,12438,3115,5426,1928,1825,13857,12881,16761,15187,18404,18060,21446,21275,22773,21615,14643,15805,10057,12290,3049,5308,185705,177373,22978,22537,35587,34647,12601,6,6
2021-11-09T23:59:59+01:00,2236,2153,15082,13815,17839,16138,19187,18797,22103,21934,23213,22061,14850,16049,10176,12434,3113,5424,1921,1820,13842,12867,16751,15173,18394,18050,21438,21264,22766,21611,14637,15801,10056,12287,3048,5307,185476,177267,22975,22537,35587,34647,12576,6,6
2021-11-08T23:59:59+01:00,2234,2142,15066,13798,17822,16117,19174,18785,22094,21919,23204,22053,14847,16048,10176,12432,3112,5423,1918,1814,13829,12843,16742,15164,18389,18044,21434,21257,22762,21602,14636,15801,10056,12286,3047,5305,185318,177166,22975,22534,35587,34647,12576,6,6
2021-11-07T23:59:59+01:00,2225,2136,15053,13783,17812,16112,19170,18775,22083,21912,23197,22045,14846,16045,10173,12430,3110,5422,1917,1812,13826,12838,16741,15161,18389,18036,21433,21253,22762,21601,14636,15801,10055,12286,3047,5305,185201,177136,22975,22534,35587,34647,12576,6,6
2021-11-06T23:59:59+01:00,2224,2135,15049,13783,17810,16109,19168,18775,22081,21912,23196,22044,14845,16045,10173,12430,3110,5422,1917,1812,13825,12836,16739,15160,18387,18035,21433,21251,22762,21601,14636,15801,10055,12286,3047,5305,185183,177125,22975,22534,35587,34647,12576,6,6
2021-11-05T23:59:59+01:00,2184,2085,14897,13671,17689,15992,19071,18704,22006,21855,23161,22013,14833,16026,10169,12427,3108,5420,1890,1786,13745,12781,16701,15135,18361,18007,21420,21237,22748,21592,14634,15794,10052,12284,3046,5303,184214,176768,22956,22531,35587,34647,12564,6,6
2021-11-04T23:59:59+01:00,2134,2041,14716,13542,17519,15877,18949,18610,21921,21785,23122,21985,14825,16017,10161,12420,3107,5417,1872,1759,13689,12725,16661,15096,18325,17964,21393,21219,22728,21576,14626,15784,10049,12282,3043,5300,183119,176377,22908,22517,35587,34647,12544,6,6
2021-11-03T23:59:59+01:00,2124,2022,14670,13502,17470,15843,18926,18588,21898,21758,23111,21972,14819,16016,10160,12419,3107,5417,1850,1738,13613,12678,16594,15048,18290,17929,21359,21194,22699,21556,14619,15774,10042,12275,3042,5297,182821,175906,22901,22515,35587,34647,12523,6,6
2021-11-02T23:59:59+01:00,2111,2014,14651,13484,17447,15819,18914,18574,21878,21746,23106,21968,14814,16013,10160,12419,3107,5416,1828,1726,13585,12645,16571,15029,18268,17907,21345,21181,22692,21539,14616,15771,10040,12270,3042,5297,182645,175664,22897,22513,35587,34647,12522,6,6
2021-11-01T23:59:59+01:00,2111,2010,14640,13477,17436,15810,18907,18570,21870,21737,23103,21965,14814,16013,10159,12417,3107,5416,1822,1722,13570,12630,16560,15023,18261,17901,21336,21177,22691,21535,14615,15770,10039,12268,3042,5297,182589,175596,22897,22511,35587,34647,12499,6,6
2021-10-31T23:59:59+01:00,2111,2010,14640,13477,17436,15810,18907,18570,21870,21737,23103,21965,14814,16012,10159,12417,3107,5416,1822,1722,13570,12630,16560,15023,18261,17901,21336,21177,22691,21535,14615,15770,10039,12268,3042,5297,182588,175596,22897,22511,35587,34647,12499,6,6
2021-10-30T23:59:59+02:00,2111,2010,14639,13477,17436,15810,18907,18570,21868,21737,23103,21965,14813,16011,10159,12416,3107,5416,1820,1721,13570,12630,16559,15023,18261,17900,21335,21176,22691,21535,14615,15769,10039,12268,3041,5297,182582,175587,22897,22511,35587,34647,12499,6,6
2021-10-29T23:59:59+02:00,2101,1997,14553,13420,17341,15761,18828,18536,21821,21708,23080,21948,14811,16007,10159,12415,3106,5416,1814,1719,13553,12619,16549,15013,18249,17893,21327,21169,22689,21528,14614,15768,10037,12267,3041,5297,182042,175488,22894,22510,35587,34647,12495,6,6
2021-10-28T23:59:59+02:00,2086,1970,14444,13337,17214,15685,18750,18482,21754,21657,23045,21925,14804,16001,10155,12414,3106,5410,1801,1708,13516,12589,16511,14983,18217,17863,21307,21148,22671,21518,14606,15759,10035,12261,3041,5296,181365,175265,22894,22509,35587,34647,12403,6,6
2021-10-27T23:59:59+02:00,2074,1966,14419,13321,17189,15662,18725,18467,21736,21647,23033,21920,14803,15994,10148,12406,3104,5410,1793,1703,13475,12552,16481,14967,18193,17843,21285,21135,22658,21511,14603,15750,10030,12256,3041,5294,181210,175064,22893,22509,35587,34647,12344,6,6
2021-10-26T23:59:59+02:00,2068,1961,14414,13314,17187,15654,18713,18461,21731,21645,23029,21918,14800,15994,10148,12406,3104,5409,1785,1697,13457,12529,16476,14957,18188,17836,21278,21129,22656,21509,14601,15748,10025,12253,3040,5294,181145,174953,22891,22509,35587,34647,12343,6,6
2021-10-25T23:59:59+02:00,2068,1961,14409,13312,17184,15653,18712,18458,21728,21644,23028,21918,14800,15994,10148,12405,3103,5409,1784,1697,13454,12528,16473,14956,18187,17834,21275,21128,22655,21509,14601,15748,10025,12252,3039,5294,181141,174952,22891,22509,35587,34647,12325,6,6
2021-10-24T23:59:59+02:00,2068,1959,14406,13311,17181,15653,18711,18457,21728,21644,23028,21917,14798,15994,10148,12405,3103,5408,1783,1697,13454,12528,16472,14956,18186,17834,21274,21128,22653,21508,14601,15747,10025,12249,3038,5286,181128,174933,22890,22509,35587,34647,12324,6,6
2021-10-23T23:59:59+02:00,2068,1959,14405,13311,17180,15652,18711,18457,21727,21644,23028,21917,14798,15994,10148,12405,3103,5407,1783,1697,13454,12528,16472,14956,18186,17834,21274,21128,22653,21508,14601,15747,10025,12249,3038,5286,181123,174933,22890,22509,35587,34647,12324,6,6
2021-10-22T23:59:59+02:00,2048,1933,14345,13268,17123,15603,18671,18426,21695,21618,23009,21906,14792,15987,10147,12405,3103,5406,1769,1683,13422,12501,16451,14937,18172,17816,21263,21111,22647,21500,14600,15744,10022,12248,3037,5285,180697,174729,22888,22503,35587,34647,12323,6,6
2021-10-21T23:59:59+02:00,2039,1916,14277,13229,17061,15560,18631,18395,21673,21591,22983,21890,14788,15985,10144,12401,3101,5403,1759,1670,13379,12479,16419,14908,18149,17791,21254,21100,22635,21483,14595,15738,10020,12240,3036,5284,180319,174498,22886,22503,35587,34647,12285,6,6
2021-10-20T23:59:59+02:00,2024,1905,14255,13217,17048,15541,18620,18380,21664,21582,22974,21887,14785,15980,10143,12395,3099,5401,1744,1646,13315,12427,16385,14872,18123,17750,21241,21080,22616,21467,14589,15727,10014,12236,3034,5279,180157,174109,22886,22503,35587,34647,12280,6,6
2021-10-19T23:59:59+02:00,2010,1895,14240,13203,17037,15527,18615,18374,21658,21577,22965,21881,14780,15972,10140,12394,3099,5400,1733,1644,13293,12400,16370,14850,18113,17737,21228,21068,22607,21457,14588,15718,10008,12233,3032,5278,180046,173943,22886,22503,35587,34647,12258,6,6
2021-10-18T23:59:59+02:00,1996,1882,14222,13180,17022,15517,18610,18368,21651,21568,22960,21878,14776,15969,10140,12393,3099,5399,1724,1633,13271,12367,16353,14822,18099,17728,21219,21060,22601,21456,14581,15718,10003,12227,3030,5277,179932,173794,22885,22486,35587,34647,12236,6,6
2021-10-17T23:59:59+02:00,1995,1880,14222,13178,17022,15517,18610,18366,21649,21563,22960,21875,14776,15966,10140,12392,3098,5399,1723,1630,13270,12362,16347,14818,18097,17722,21216,21055,22599,21453,14580,15717,10002,12225,3028,5274,179910,173743,22885,22486,35587,34647,12236,6,6
2021-10-16T23:59:59+02:00,1995,1880,14222,13178,17022,15517,18610,18366,21649,21563,22960,21875,14776,15966,10140,12392,3098,5399,1723,1630,13270,12362,16347,14817,18097,17722,21216,21055,22599,21453,14580,15717,10002,12225,3028,5274,179910,173742,22885,22486,35587,34647,12236,6,6
2021-10-15T23:59:59+02:00,1988,1867,14180,13145,16990,15488,18590,18348,21634,21551,22951,21868,14775,15962,10139,12388,3098,5397,1680,1602,13204,12297,16300,14765,18062,17693,21188,21023,22578,21435,14569,15704,9998,12218,3027,5269,179688,173273,22866,22458,35587,34647,12228,6,6
2021-10-14T23:59:59+02:00,1976,1854,14126,13107,16942,15445,18562,18320,21611,21539,22937,21854,14765,15952,10137,12385,3094,5392,1621,1551,13089,12169,16243,14685,17999,17620,21148,20973,22545,21395,14553,15688,9991,12206,3025,5264,179350,172498,22847,22391,35587,34647,12224,6,5
2021-10-13T23:59:59+02:00,1966,1843,14095,13071,16921,15410,18538,18300,21600,21529,22925,21848,14760,15945,10135,12382,3094,5387,1600,1534,13044,12116,16202,14628,17961,17577,21129,20952,22525,21380,14543,15677,9987,12200,3021,5258,179132,172098,22847,22391,35587,34647,12193,6,5
2021-10-12T23:59:59+02:00,1960,1834,14072,13060,16903,15399,18533,18288,21593,21522,22920,21840,14757,15943,10135,12380,3094,5386,1592,1519,13017,12089,16180,14606,17949,17562,21120,20943,22515,21374,14535,15672,9985,12199,3020,5256,179030,171925,22847,22391,35587,34647,12165,6,5
2021-10-11T23:59:59+02:00,1947,1829,14052,13035,16895,15395,18526,18277,21587,21516,22915,21836,14755,15941,10134,12377,3094,5385,1588,1508,12989,12067,16162,14584,17931,17537,21109,20927,22511,21363,14530,15668,9981,12196,3020,5255,178912,171723,22847,22391,35587,34647,12160,6,5
2021-10-10T23:59:59+02:00,1943,1828,14045,13028,16885,15392,18519,18271,21585,21513,22913,21832,14754,15940,10134,12377,3094,5385,1584,1502,12977,12052,16146,14578,17923,17530,21107,20923,22506,21355,14527,15663,9980,12193,3019,5254,178881,171644,22847,22390,35587,34647,12133,6,5
2021-10-09T23:59:59+02:00,1943,1828,14044,13027,16884,15392,18519,18271,21585,21512,22913,21832,14754,15940,10134,12377,3094,5385,1584,1502,12977,12052,16146,14578,17923,17530,21107,20923,22506,21355,14527,15663,9980,12193,3019,5254,178877,171644,22847,22390,35587,34647,12133,6,5
