Datum,<15,15-24,25-34,35-44,45-54,55-64,65-74,75-84,>84
2021-07-29T23:59:59+02:00,1862,71909,151524,138480,154347,162182,112939,96890,29308
2021-07-28T23:59:59+02:00,1774,70750,149432,136126,152901,161251,112613,96731,29261
2021-07-27T23:59:59+02:00,1659,69411,146792,133510,151224,160226,112239,96538,29197
2021-07-26T23:59:59+02:00,1546,67889,144002,130972,149258,159138,111862,96319,29133
2021-07-25T23:59:59+02:00,1328,66455,141487,128881,147364,158235,111571,96173,29096
2021-07-24T23:59:59+02:00,1230,65504,139961,127667,145799,157880,111476,96127,29094
2021-07-23T23:59:59+02:00,1132,64400,138084,126237,144056,157156,111303,96058,29073
2021-07-22T23:59:59+02:00,996,63024,135827,124338,141104,156016,110950,95858,29014
2021-07-21T23:59:59+02:00,893,61822,133471,122378,137399,154373,110352,95511,28936
2021-07-20T23:59:59+02:00,803,60561,130873,120294,135166,153216,109919,95248,28854
2021-07-19T23:59:59+02:00,709,59476,128690,118525,132992,152115,109553,95016,28782
2021-07-18T23:59:59+02:00,630,58356,126475,116704,130801,151078,109251,94875,28742
2021-07-17T23:59:59+02:00,524,57615,125244,115739,129311,150534,109026,94777,28723
2021-07-16T23:59:59+02:00,455,56644,123415,114215,127228,149617,108680,94664,28709
2021-07-15T23:59:59+02:00,382,55320,121072,112132,124542,148318,108203,94452,28638
2021-07-14T23:59:59+02:00,341,54272,119010,110345,122830,147127,107661,94178,28572
2021-07-13T23:59:59+02:00,314,52983,116473,108181,120940,145772,107068,93877,28493
2021-07-12T23:59:59+02:00,298,51732,113630,105845,118585,144417,106271,93483,28388
2021-07-11T23:59:59+02:00,278,50579,111007,103516,116513,143284,105545,93184,28322
2021-07-10T23:59:59+02:00,268,49577,109013,102086,115357,142883,104760,92981,28308
2021-07-09T23:59:59+02:00,247,48122,106465,100278,113731,142069,103996,92806,28288
2021-07-08T23:59:59+02:00,222,46242,102984,97760,111482,140763,102931,92509,28191
2021-07-07T23:59:59+02:00,197,44499,99383,95132,109083,139548,101464,92083,28102
2021-07-06T23:59:59+02:00,179,42827,95630,92501,106477,138087,99871,91659,28028
2021-07-05T23:59:59+02:00,156,40618,92104,90516,104499,136778,98255,91264,27966
2021-07-04T23:59:59+02:00,146,38070,88811,89084,102843,135636,96668,90910,27901
2021-07-03T23:59:59+02:00,140,36574,87212,88286,102044,135305,95353,90748,27885
2021-07-02T23:59:59+02:00,122,35112,85123,86865,100437,134342,93199,90429,27850
2021-07-01T23:59:59+02:00,97,33361,82374,84594,98015,133036,91180,90073,27801
2021-06-30T23:59:59+02:00,77,31384,79472,82287,95803,131661,89964,89764,27744
2021-06-29T23:59:59+02:00,55,29663,77023,80551,93534,130368,88330,89411,27680
2021-06-28T23:59:59+02:00,41,28183,74958,78999,91426,129181,86379,89026,27614
2021-06-27T23:59:59+02:00,36,26931,73254,77746,89648,128206,84501,88697,27568
2021-06-26T23:59:59+02:00,35,26535,72062,76690,88795,126216,82382,88317,27521
