Datum,0,<15_1_m,<15_1_w,15-24_1_m,15-24_1_w,25-34_1_m,25-34_1_w,35-44_1_m,35-44_1_w,45-54_1_m,45-54_1_w,55-64_1_m,55-64_1_w,65-74_1_m,65-74_1_w,75-84_1_m,75-84_1_w,>84_1_m,>84_1_w,<15_2_m,<15_2_w,15-24_2_m,15-24_2_w,25-34_2_m,25-34_2_w,35-44_2_m,35-44_2_w,45-54_2_m,45-54_2_w,55-64_2_m,55-64_2_w,65-74_2_m,65-74_2_w,75-84_2_m,75-84_2_w,>84_2_m,>84_2_w,bp_1,bp_2,mo_1,mo_2,az_1,az_2,ja,unb_1,unb_2,0
2021/12/14,0,27589,25968,83287,81682,125212,121368,111907,110738,105236,110181,101016,102774,59832,74160,45565,63575,11336,23157,15022,14247,74917,73978,116525,112163,104625,102977,99492,103962,96775,98163,57531,71259,44303,61490,10801,21863,979598,893497,141967,136357,159382,146425,103141,609,673,0
2021/12/13,0,27428,25791,83159,81571,125092,121226,111837,110639,105176,110106,100957,102697,59783,74102,45540,63535,11324,23144,14667,13944,74620,73719,116258,111907,104451,102737,99340,103792,96661,98040,57460,71183,44275,61429,10791,21848,978214,890635,141894,136271,159382,146425,103118,609,673,0
2021/12/12,0,27293,25624,83014,81444,124967,121080,111730,110520,105104,110021,100891,102623,59745,74026,45522,63513,11319,23121,14340,13591,74284,73464,115913,111521,104193,102483,99156,103620,96524,97907,57380,71103,44247,61394,10784,21837,976761,887443,141817,136107,159382,146425,103094,609,672,0
2021/12/11,0,27117,25448,82949,81396,124908,121005,111680,110474,105083,109996,100873,102606,59735,74016,45518,63506,11319,23120,14136,13426,74084,73298,115715,111345,104049,102362,99053,103542,96471,97840,57365,71079,44243,61382,10783,21835,975994,885774,141795,136063,159382,146425,103074,609,672,0
2021/12/10,0,26681,25022,82781,81230,124741,120805,111544,110307,104948,109884,100777,102522,59674,73928,45489,63478,11314,23113,13879,13170,73766,73001,115429,111035,103801,102112,98859,103379,96375,97727,57336,71038,44235,61364,10783,21830,973591,882971,141701,135991,159382,146425,103060,609,672,0
2021/12/09,0,26212,24531,82634,81067,124615,120592,111427,110131,104857,109766,100705,102425,59635,73859,45463,63433,11313,23090,13493,12806,73360,72634,115020,110571,103493,101713,98613,103112,96234,97550,57262,70954,44208,61319,10774,21807,971215,879000,141608,135781,159382,146424,103046,609,672,0
2021/12/08,0,25934,24303,82510,80968,124526,120465,111315,110021,104779,109678,100637,102347,59600,73785,45443,63387,11303,23071,13247,12575,73044,72390,114710,110272,103249,101445,98428,102910,96090,97402,57215,70875,44185,61285,10765,21787,969625,876161,141531,135589,159382,146423,103029,609,672,0
2021/12/07,0,25572,23949,82421,80896,124461,120375,111262,109964,104742,109647,100607,102318,59581,73768,45436,63373,11298,23062,13118,12439,72882,72223,114517,110092,103131,101342,98339,102827,96023,97347,57192,70850,44182,61273,10764,21783,968324,874674,141505,135543,159382,146423,103012,609,672,0
2021/12/06,0,25215,23587,82320,80792,124333,120200,111154,109831,104648,109541,100544,102241,59535,73682,45414,63341,11289,23035,12890,12220,72558,71919,114218,109776,102908,101078,98147,102636,95884,97209,57140,70772,44161,61217,10756,21753,966395,871704,141423,135450,159381,146423,102993,609,672,0
2021/12/05,0,24957,23336,82167,80659,124163,119968,110997,109654,104524,109401,100418,102124,59458,73579,45380,63291,11277,23009,12716,12055,72286,71703,113891,109514,102662,100866,97985,102464,95757,97092,57084,70712,44130,61187,10751,21739,964211,869165,141283,135359,159381,146422,102976,609,672,0
2021/12/04,0,24411,22854,82136,80621,124127,119915,110952,109618,104504,109386,100399,102104,59451,73564,45379,63285,11275,23006,12643,12000,72117,71552,113713,109365,102526,100746,97888,102393,95710,97047,57071,70694,44124,61180,10750,21738,962856,867892,141274,135307,159381,146421,102965,609,672,0
2021/12/03,0,23732,22221,82060,80519,124049,119818,110871,109545,104458,109329,100374,102051,59433,73535,45369,63274,11273,23000,12514,11898,71856,71330,113463,109121,102328,100558,97718,102263,95600,96981,57046,70681,44121,61165,10750,21737,960825,865830,141244,135257,159381,146421,102950,609,672,0
2021/12/02,0,22999,21506,81903,80368,123898,119639,110761,109388,104355,109185,100275,101935,59371,73471,45337,63215,11267,22975,12324,11742,71513,71016,113127,108775,102016,100251,97470,102055,95453,96827,56995,70613,44100,61126,10746,21728,957889,862738,141135,135116,159381,146421,102930,609,672,0
2021/12/01,0,22417,20982,81808,80249,123757,119467,110651,109251,104275,109079,100208,101826,59312,73376,45316,63160,11262,22956,12235,11637,71287,70809,112899,108542,101817,100067,97338,101893,95365,96715,56937,70539,44075,61086,10739,21715,955469,860676,141081,135016,159379,146421,102910,608,672,0
2021/11/30,0,21827,20494,81597,80073,123493,119174,110447,109013,104096,108905,100048,101653,59178,73256,45273,63077,11240,22924,12151,11565,71071,70638,112629,108287,101638,99873,97157,101749,95252,96614,56896,70500,44048,61061,10734,21705,952071,858654,140927,134943,159378,146421,102878,608,672,0
2021/11/29,0,21273,19977,81485,79968,123354,119005,110332,108857,104017,108808,99979,101563,59120,73184,45257,63026,11221,22893,12068,11492,70871,70481,112423,108094,101475,99718,97020,101639,95152,96513,56858,70454,44027,61023,10730,21690,949720,856921,140851,134858,159375,146418,102859,608,672,0
2021/11/28,0,20719,19488,81364,79850,123217,118824,110236,108729,103914,108699,99908,101478,59075,73125,45236,62993,11218,22880,12024,11427,70652,70306,112135,107877,101283,99563,96892,101503,95051,96418,56827,70398,44012,60992,10723,21680,947447,855079,140776,134772,159375,146401,102841,608,670,0
2021/11/27,0,20053,18883,81302,79804,123137,118758,110184,108672,103873,108654,99876,101450,59062,73110,45232,62988,11216,22880,11981,11381,70512,70178,111945,107745,101136,99448,96774,101430,94993,96371,56815,70381,44003,60985,10721,21679,945665,853858,140754,134725,159375,146400,102825,608,670,0
2021/11/26,0,19308,18143,81185,79664,123004,118596,110075,108546,103773,108553,99821,101376,59037,73067,45225,62970,11216,22871,11870,11306,70339,70048,111714,107572,100944,99287,96592,101303,94895,96299,56799,70348,43991,60965,10718,21678,943017,852155,140723,134645,159371,146394,102804,608,670,0
2021/11/25,0,18434,17345,80981,79428,122748,118280,109851,108250,103555,108343,99669,101182,58910,72951,45183,62900,11204,22848,11759,11208,70148,69857,111476,107332,100716,99093,96413,101129,94765,96175,56759,70305,43977,60938,10714,21659,938861,850052,140571,134563,159368,146393,102746,608,669,0
