Datum,BundeslandID,Bevölkerung,Name,Auslieferungen,AuslieferungenPro100,Bestellungen,BestellungenPro100
2022-06-11T23:59:59+02:00,1,297623,Burgenland,559215,187.89,559799,188.09
2022-06-10T23:59:59+02:00,1,297623,Burgenland,559215,187.89,559799,188.09
2022-06-09T23:59:59+02:00,1,297623,Burgenland,559029,187.83,559829,188.10
2022-06-08T23:59:59+02:00,1,297623,Burgenland,558849,187.77,559829,188.10
2022-06-07T23:59:59+02:00,1,297623,Burgenland,558849,187.77,559829,188.10
2022-06-06T23:59:59+02:00,1,297623,Burgenland,558511,187.66,559125,187.86
2022-06-05T23:59:59+02:00,1,297623,Burgenland,558511,187.66,559125,187.86
2022-06-04T23:59:59+02:00,1,297623,Burgenland,558511,187.66,559125,187.86
2022-06-03T23:59:59+02:00,1,297623,Burgenland,558511,187.66,559125,187.86
2022-06-02T23:59:59+02:00,1,297623,Burgenland,558151,187.54,559023,187.83
2022-06-01T23:59:59+02:00,1,297623,Burgenland,558151,187.54,559023,187.83
2022-05-31T23:59:59+02:00,1,297623,Burgenland,557767,187.41,558985,187.82
2022-05-30T23:59:59+02:00,1,297623,Burgenland,557467,187.31,559057,187.84
2022-05-29T23:59:59+02:00,1,297623,Burgenland,557239,187.23,558201,187.55
2022-05-28T23:59:59+02:00,1,297623,Burgenland,557239,187.23,558201,187.55
2022-05-27T23:59:59+02:00,1,297623,Burgenland,557239,187.23,558201,187.55
2022-05-26T23:59:59+02:00,1,297623,Burgenland,556963,187.14,558201,187.55
2022-05-25T23:59:59+02:00,1,297623,Burgenland,556963,187.14,558201,187.55
2022-05-24T23:59:59+02:00,1,297623,Burgenland,556933,187.13,558177,187.54
2022-05-23T23:59:59+02:00,1,297623,Burgenland,556627,187.02,558093,187.52
2022-05-22T23:59:59+02:00,1,297623,Burgenland,556135,186.86,557245,187.23
2022-05-21T23:59:59+02:00,1,297623,Burgenland,557251,187.23,555803,186.75
2022-05-20T23:59:59+02:00,1,297623,Burgenland,557251,187.23,555803,186.75
2022-05-19T23:59:59+02:00,1,297623,Burgenland,557173,187.21,555803,186.75
2022-05-18T23:59:59+02:00,1,297623,Burgenland,555797,186.75,557167,187.21
2022-05-17T23:59:59+02:00,1,297623,Burgenland,555299,186.58,557017,187.16
2022-05-16T23:59:59+02:00,1,297623,Burgenland,554963,186.47,556981,187.14
2022-05-15T23:59:59+02:00,1,297623,Burgenland,555659,186.70,557141,187.20
2022-05-14T23:59:59+02:00,1,297623,Burgenland,555659,186.70,557141,187.20
2022-05-13T23:59:59+02:00,1,297623,Burgenland,555659,186.70,557141,187.20
2022-05-12T23:59:59+02:00,1,297623,Burgenland,555383,186.61,557159,187.20
2022-05-11T23:59:59+02:00,1,297623,Burgenland,555383,186.61,557159,187.20
2022-05-10T23:59:59+02:00,1,297623,Burgenland,554915,186.45,557069,187.17
2022-05-09T23:59:59+02:00,1,297623,Burgenland,554459,186.30,557033,187.16
2022-05-08T23:59:59+02:00,1,297623,Burgenland,553833,186.09,555809,186.75
2022-05-07T23:59:59+02:00,1,297623,Burgenland,553833,186.09,555809,186.75
2022-05-06T23:59:59+02:00,1,297623,Burgenland,553833,186.09,555809,186.75
2022-05-05T23:59:59+02:00,1,297623,Burgenland,553645,186.02,555731,186.72
2022-05-04T23:59:59+02:00,1,297623,Burgenland,553561,185.99,555669,186.70
2022-05-03T23:59:59+02:00,1,297623,Burgenland,553333,185.92,555675,186.70
2022-05-02T23:59:59+02:00,1,297623,Burgenland,553093,185.84,555687,186.71
2022-05-01T23:59:59+02:00,1,297623,Burgenland,552943,185.79,554199,186.21
2022-04-30T23:59:59+02:00,1,297623,Burgenland,552943,185.79,554199,186.21
2022-04-29T23:59:59+02:00,1,297623,Burgenland,552943,185.79,554199,186.21
2022-04-28T23:59:59+02:00,1,297623,Burgenland,552587,185.67,553665,186.03
2022-04-27T23:59:59+02:00,1,297623,Burgenland,552437,185.62,553617,186.01
2022-04-26T23:59:59+02:00,1,297623,Burgenland,552319,185.58,553647,186.02
2022-04-25T23:59:59+02:00,1,297623,Burgenland,552091,185.50,553629,186.02
2022-04-24T23:59:59+02:00,1,297623,Burgenland,551461,185.29,552631,185.68
2022-04-23T23:59:59+02:00,1,297623,Burgenland,551461,185.29,552631,185.68
2022-04-22T23:59:59+02:00,1,297623,Burgenland,551461,185.29,552631,185.68
2022-04-21T23:59:59+02:00,1,297623,Burgenland,551295,185.23,552331,185.58
2022-04-20T23:59:59+02:00,1,297623,Burgenland,551161,185.19,552231,185.55
2022-04-19T23:59:59+02:00,1,297623,Burgenland,550939,185.11,552153,185.52
2022-04-18T23:59:59+02:00,1,297623,Burgenland,550781,185.06,551417,185.27
