Datum,BundeslandID,Bevölkerung,Name,Auslieferungen,AuslieferungenPro100,Bestellungen,BestellungenPro100
2021-10-07T23:59:59+02:00,4,1495608,Oberösterreich,1506790,100.75,1522593,101.80
2021-10-06T23:59:59+02:00,4,1495608,Oberösterreich,1503378,100.52,1518597,101.54
2021-10-05T23:59:59+02:00,4,1495608,Oberösterreich,1500312,100.31,1514512,101.26
2021-10-04T23:59:59+02:00,4,1495608,Oberösterreich,1496990,100.09,1511673,101.07
2021-10-03T23:59:59+02:00,4,1495608,Oberösterreich,1491046,99.69,1509636,100.94
2021-10-02T23:59:59+02:00,4,1495608,Oberösterreich,1491046,99.69,1509167,100.91
2021-10-01T23:59:59+02:00,4,1495608,Oberösterreich,1490923,99.69,1508810,100.88
2021-09-30T23:59:59+02:00,4,1495608,Oberösterreich,1490584,99.66,1505087,100.63
2021-09-29T23:59:59+02:00,4,1495608,Oberösterreich,1489069,99.56,1500524,100.33
2021-09-28T23:59:59+02:00,4,1495608,Oberösterreich,1483273,99.18,1498504,100.19
2021-09-27T23:59:59+02:00,4,1495608,Oberösterreich,1479080,98.89,1496299,100.05
2021-09-26T23:59:59+02:00,4,1495608,Oberösterreich,1469908,98.28,1494349,99.92
2021-09-25T23:59:59+02:00,4,1495608,Oberösterreich,1469908,98.28,1493918,99.89
2021-09-24T23:59:59+02:00,4,1495608,Oberösterreich,1469341,98.24,1492791,99.81
2021-09-23T23:59:59+02:00,4,1495608,Oberösterreich,1469341,98.24,1492791,99.81
2021-09-22T23:59:59+02:00,4,1495608,Oberösterreich,1468498,98.19,1478338,98.85
2021-09-21T23:59:59+02:00,4,1495608,Oberösterreich,1464527,97.92,1476940,98.75
2021-09-20T23:59:59+02:00,4,1495608,Oberösterreich,1460464,97.65,1475539,98.66
2021-09-19T23:59:59+02:00,4,1495608,Oberösterreich,1454827,97.27,1473712,98.54
2021-09-18T23:59:59+02:00,4,1495608,Oberösterreich,1454827,97.27,1473334,98.51
2021-09-17T23:59:59+02:00,4,1495608,Oberösterreich,1453627,97.19,1473097,98.49
2021-09-16T23:59:59+02:00,4,1495608,Oberösterreich,1452620,97.13,1471100,98.36
2021-09-15T23:59:59+02:00,4,1495608,Oberösterreich,1449349,96.91,1462026,97.75
2021-09-14T23:59:59+02:00,4,1495608,Oberösterreich,1445485,96.65,1459662,97.60
2021-09-13T23:59:59+02:00,4,1495608,Oberösterreich,1440236,96.30,1458540,97.52
2021-09-12T23:59:59+02:00,4,1495608,Oberösterreich,1431951,95.74,1455304,97.31
2021-09-11T23:59:59+02:00,4,1495608,Oberösterreich,1431951,95.74,1454740,97.27
2021-09-10T23:59:59+02:00,4,1495608,Oberösterreich,1431951,95.74,1453702,97.20
2021-09-09T23:59:59+02:00,4,1495608,Oberösterreich,1431471,95.71,1438420,96.18
2021-09-08T23:59:59+02:00,4,1495608,Oberösterreich,1430623,95.65,1437149,96.09
2021-09-07T23:59:59+02:00,4,1495608,Oberösterreich,1427986,95.48,1436447,96.04
2021-09-06T23:59:59+02:00,4,1495608,Oberösterreich,1425502,95.31,1434869,95.94
2021-09-05T23:59:59+02:00,4,1495608,Oberösterreich,1421834,95.07,1434044,95.88
2021-09-04T23:59:59+02:00,4,1495608,Oberösterreich,1421834,95.07,1433798,95.87
2021-09-03T23:59:59+02:00,4,1495608,Oberösterreich,1421834,95.07,1433708,95.86
2021-09-02T23:59:59+02:00,4,1495608,Oberösterreich,1421774,95.06,1425182,95.29
2021-09-01T23:59:59+02:00,4,1495608,Oberösterreich,1421396,95.04,1424348,95.24
2021-08-31T23:59:59+02:00,4,1495608,Oberösterreich,1420886,95.00,1422905,95.14
2021-08-30T23:59:59+02:00,4,1495608,Oberösterreich,1420502,94.98,1422674,95.12
2021-08-29T23:59:59+02:00,4,1495608,Oberösterreich,1419921,94.94,1421822,95.07
2021-08-28T23:59:59+02:00,4,1495608,Oberösterreich,1419921,94.94,1421822,95.07
2021-08-27T23:59:59+02:00,4,1495608,Oberösterreich,1419921,94.94,1421822,95.07
2021-08-26T23:59:59+02:00,4,1495608,Oberösterreich,1419870,94.94,1421756,95.06
2021-08-25T23:59:59+02:00,4,1495608,Oberösterreich,1418625,94.85,1421708,95.06
2021-08-24T23:59:59+02:00,4,1495608,Oberösterreich,1417507,94.78,1421622,95.05
2021-08-23T23:59:59+02:00,4,1495608,Oberösterreich,1416386,94.70,1421412,95.04
2021-08-22T23:59:59+02:00,4,1495608,Oberösterreich,1413797,94.53,1419990,94.94
2021-08-21T23:59:59+02:00,4,1495608,Oberösterreich,1413797,94.53,1419990,94.94
2021-08-20T23:59:59+02:00,4,1495608,Oberösterreich,1413797,94.53,1420110,94.95
2021-08-19T23:59:59+02:00,4,1495608,Oberösterreich,1413104,94.48,1419850,94.93
2021-08-18T23:59:59+02:00,4,1495608,Oberösterreich,1412257,94.43,1421782,95.06
2021-08-17T23:59:59+02:00,4,1495608,Oberösterreich,1410900,94.34,1421698,95.06
2021-08-16T23:59:59+02:00,4,1495608,Oberösterreich,1406153,94.02,1418986,94.88
2021-08-15T23:59:59+02:00,4,1495608,Oberösterreich,1401404,93.70,1413461,94.51
2021-08-14T23:59:59+02:00,4,1495608,Oberösterreich,1401404,93.70,1413461,94.51
2021-08-13T23:59:59+02:00,4,1495608,Oberösterreich,1401404,93.70,1413461,94.51
2021-08-12T23:59:59+02:00,4,1495608,Oberösterreich,1400918,93.67,1410961,94.34
2021-08-11T23:59:59+02:00,4,1495608,Oberösterreich,1397898,93.47,1413062,94.48
2021-08-10T23:59:59+02:00,4,1495608,Oberösterreich,1395436,93.30,1412459,94.44
2021-08-09T23:59:59+02:00,4,1495608,Oberösterreich,1392775,93.12,1407901,94.14
2021-08-08T23:59:59+02:00,4,1495608,Oberösterreich,1381098,92.34,1399486,93.57
2021-08-07T23:59:59+02:00,4,1495608,Oberösterreich,1381098,92.34,1399486,93.57
2021-08-06T23:59:59+02:00,4,1495608,Oberösterreich,1381098,92.34,1399486,93.57
2021-08-05T23:59:59+02:00,4,1495608,Oberösterreich,1379800,92.26,1387132,92.75
2021-08-04T23:59:59+02:00,4,1495608,Oberösterreich,1378718,92.18,1390090,92.94
2021-08-03T23:59:59+02:00,4,1495608,Oberösterreich,1373469,91.83,1388740,92.85
2021-08-02T23:59:59+02:00,4,1495608,Oberösterreich,1368436,91.50,1383290,92.49
2021-08-01T23:59:59+02:00,4,1495608,Oberösterreich,1358346,90.82,1383076,92.48
2021-07-31T23:59:59+02:00,4,1495608,Oberösterreich,1358346,90.82,1383076,92.48
2021-07-30T23:59:59+02:00,4,1495608,Oberösterreich,1358346,90.82,1383076,92.48
2021-07-29T23:59:59+02:00,4,1495608,Oberösterreich,1358328,90.82,1369960,91.60
2021-07-28T23:59:59+02:00,4,1495608,Oberösterreich,1357136,90.74,1370837,91.66
2021-07-27T23:59:59+02:00,4,1495608,Oberösterreich,1350334,90.29,1372445,91.77
2021-07-26T23:59:59+02:00,4,1495608,Oberösterreich,1347352,90.09,1368656,91.51
2021-07-25T23:59:59+02:00,4,1495608,Oberösterreich,1314082,87.86,1369196,91.55
2021-07-24T23:59:59+02:00,4,1495608,Oberösterreich,1314082,87.86,1369196,91.55
2021-07-23T23:59:59+02:00,4,1495608,Oberösterreich,1313122,87.80,1369196,91.55
2021-07-22T23:59:59+02:00,4,1495608,Oberösterreich,1304464,87.22,1320914,88.32
2021-07-21T23:59:59+02:00,4,1495608,Oberösterreich,1304464,87.22,1320914,88.32
2021-07-20T23:59:59+02:00,4,1495608,Oberösterreich,1299594,86.89,1319908,88.25
2021-07-19T23:59:59+02:00,4,1495608,Oberösterreich,1285960,85.98,1318774,88.18
2021-07-18T23:59:59+02:00,4,1495608,Oberösterreich,1250138,83.59,1315306,87.94
2021-07-17T23:59:59+02:00,4,1495608,Oberösterreich,1250138,83.59,1315306,87.94
2021-07-16T23:59:59+02:00,4,1495608,Oberösterreich,1250138,83.59,1315306,87.94
2021-07-15T23:59:59+02:00,4,1495608,Oberösterreich,1235012,82.58,1273332,85.14
2021-07-14T23:59:59+02:00,4,1495608,Oberösterreich,1227576,82.08,1272106,85.06
2021-07-13T23:59:59+02:00,4,1495608,Oberösterreich,1219676,81.55,1274122,85.19
2021-07-12T23:59:59+02:00,4,1495608,Oberösterreich,1205384,80.59,1253456,83.81
2021-07-11T23:59:59+02:00,4,1495608,Oberösterreich,1171272,78.31,1246278,83.33
2021-07-10T23:59:59+02:00,4,1495608,Oberösterreich,1171272,78.31,1246278,83.33
2021-07-09T23:59:59+02:00,4,1495608,Oberösterreich,1169272,78.18,1246306,83.33
2021-07-08T23:59:59+02:00,4,1495608,Oberösterreich,1168106,78.10,1225006,81.91
2021-07-07T23:59:59+02:00,4,1495608,Oberösterreich,1158152,77.44,1219246,81.52
2021-07-06T23:59:59+02:00,4,1495608,Oberösterreich,1123504,75.12,1206800,80.69
2021-07-05T23:59:59+02:00,4,1495608,Oberösterreich,1120480,74.92,1188130,79.44
2021-07-04T23:59:59+02:00,4,1495608,Oberösterreich,1095984,73.28,1176066,78.63
2021-07-03T23:59:59+02:00,4,1495608,Oberösterreich,1095984,73.28,1176066,78.63
2021-07-02T23:59:59+02:00,4,1495608,Oberösterreich,1095948,73.28,1168884,78.15
2021-07-01T23:59:59+02:00,4,1495608,Oberösterreich,1092698,73.06,1117948,74.75
2021-06-30T23:59:59+02:00,4,1495608,Oberösterreich,1089552,72.85,1109676,74.20
2021-06-29T23:59:59+02:00,4,1495608,Oberösterreich,1064334,71.16,1104316,73.84
2021-06-28T23:59:59+02:00,4,1495608,Oberösterreich,1059790,70.86,1097948,73.41
2021-06-27T23:59:59+02:00,4,1495608,Oberösterreich,1036138,69.28,1099160,73.49
2021-06-26T23:59:59+02:00,4,1495608,Oberösterreich,1036138,69.28,1099160,73.49
2021-06-25T23:59:59+02:00,4,1495608,Oberösterreich,1036138,69.28,1099160,73.49
2021-06-24T23:59:59+02:00,4,1495608,Oberösterreich,1032690,69.05,1060034,70.88
2021-06-23T23:59:59+02:00,4,1495608,Oberösterreich,1031862,68.99,1060040,70.88
2021-06-22T23:59:59+02:00,4,1495608,Oberösterreich,1010796,67.58,1060076,70.88
2021-06-21T23:59:59+02:00,4,1495608,Oberösterreich,996702,66.64,1050652,70.25
2021-06-20T23:59:59+02:00,4,1495608,Oberösterreich,973560,65.09,1043292,69.76
2021-06-19T23:59:59+02:00,4,1495608,Oberösterreich,973560,65.09,1043292,69.76
2021-06-18T23:59:59+02:00,4,1495608,Oberösterreich,973560,65.09,1043292,69.76
2021-06-17T23:59:59+02:00,4,1495608,Oberösterreich,966686,64.63,1000340,66.89
