Datum,BundeslandID,Bevölkerung,Name,Auslieferungen,AuslieferungenPro100,Bestellungen,BestellungenPro100
2021-08-06T23:59:59+02:00,6,1247077,Steiermark,1207740,96.85,1254368,100.58
2021-08-05T23:59:59+02:00,6,1247077,Steiermark,1189668,95.40,1253890,100.55
2021-08-04T23:59:59+02:00,6,1247077,Steiermark,1189613,95.39,1253710,100.53
2021-08-03T23:59:59+02:00,6,1247077,Steiermark,1183140,94.87,1231806,98.78
2021-08-02T23:59:59+02:00,6,1247077,Steiermark,1182751,94.84,1230864,98.70
2021-08-01T23:59:59+02:00,6,1247077,Steiermark,1166827,93.56,1226745,98.37
2021-07-31T23:59:59+02:00,6,1247077,Steiermark,1166827,93.56,1226745,98.37
2021-07-30T23:59:59+02:00,6,1247077,Steiermark,1166827,93.56,1226259,98.33
2021-07-29T23:59:59+02:00,6,1247077,Steiermark,1142685,91.63,1215774,97.49
2021-07-28T23:59:59+02:00,6,1247077,Steiermark,1140785,91.48,1193509,95.70
2021-07-27T23:59:59+02:00,6,1247077,Steiermark,1140043,91.42,1193509,95.70
2021-07-26T23:59:59+02:00,6,1247077,Steiermark,1139439,91.37,1181507,94.74
2021-07-25T23:59:59+02:00,6,1247077,Steiermark,1124045,90.13,1172067,93.99
2021-07-24T23:59:59+02:00,6,1247077,Steiermark,1124045,90.13,1172067,93.99
2021-07-23T23:59:59+02:00,6,1247077,Steiermark,1123715,90.11,1172067,93.99
2021-07-22T23:59:59+02:00,6,1247077,Steiermark,1101351,88.31,1164723,93.40
2021-07-21T23:59:59+02:00,6,1247077,Steiermark,1101351,88.31,1164723,93.40
2021-07-20T23:59:59+02:00,6,1247077,Steiermark,1092609,87.61,1164257,93.36
2021-07-19T23:59:59+02:00,6,1247077,Steiermark,1087879,87.23,1151723,92.35
2021-07-18T23:59:59+02:00,6,1247077,Steiermark,1087789,87.23,1148613,92.10
2021-07-17T23:59:59+02:00,6,1247077,Steiermark,1087789,87.23,1148413,92.09
2021-07-16T23:59:59+02:00,6,1247077,Steiermark,1087783,87.23,1148293,92.08
