Datum,BundeslandID,Bevölkerung,Name,Auslieferungen,AuslieferungenPro100,Bestellungen,BestellungenPro100
2022-07-15T23:59:59+02:00,8,403203,Vorarlberg,760471,188.61,760915,188.72
2022-07-14T23:59:59+02:00,8,403203,Vorarlberg,760417,188.59,760915,188.72
2022-07-13T23:59:59+02:00,8,403203,Vorarlberg,760357,188.58,760861,188.70
2022-07-12T23:59:59+02:00,8,403203,Vorarlberg,760279,188.56,760513,188.62
2022-07-11T23:59:59+02:00,8,403203,Vorarlberg,760135,188.52,760417,188.59
2022-07-10T23:59:59+02:00,8,403203,Vorarlberg,757753,187.93,760417,188.59
2022-07-09T23:59:59+02:00,8,403203,Vorarlberg,757753,187.93,760417,188.59
2022-07-08T23:59:59+02:00,8,403203,Vorarlberg,757753,187.93,760309,188.57
2022-07-07T23:59:59+02:00,8,403203,Vorarlberg,757753,187.93,760309,188.57
2022-07-06T23:59:59+02:00,8,403203,Vorarlberg,757555,187.88,757771,187.94
2022-07-05T23:59:59+02:00,8,403203,Vorarlberg,756347,187.58,757753,187.93
2022-07-04T23:59:59+02:00,8,403203,Vorarlberg,756347,187.58,757753,187.93
2022-07-03T23:59:59+02:00,8,403203,Vorarlberg,755951,187.49,757603,187.90
2022-07-02T23:59:59+02:00,8,403203,Vorarlberg,755951,187.49,757603,187.90
2022-07-01T23:59:59+02:00,8,403203,Vorarlberg,755951,187.49,756401,187.60
2022-06-30T23:59:59+02:00,8,403203,Vorarlberg,755915,187.48,756401,187.60
2022-06-29T23:59:59+02:00,8,403203,Vorarlberg,755337,187.33,756209,187.55
2022-06-28T23:59:59+02:00,8,403203,Vorarlberg,755337,187.33,756209,187.55
2022-06-27T23:59:59+02:00,8,403203,Vorarlberg,755229,187.31,755987,187.50
2022-06-26T23:59:59+02:00,8,403203,Vorarlberg,754917,187.23,755373,187.34
2022-06-25T23:59:59+02:00,8,403203,Vorarlberg,754917,187.23,755373,187.34
2022-06-24T23:59:59+02:00,8,403203,Vorarlberg,754761,187.19,755295,187.32
2022-06-23T23:59:59+02:00,8,403203,Vorarlberg,754761,187.19,755295,187.32
2022-06-22T23:59:59+02:00,8,403203,Vorarlberg,754143,187.04,754971,187.24
2022-06-21T23:59:59+02:00,8,403203,Vorarlberg,754065,187.02,754971,187.24
2022-06-20T23:59:59+02:00,8,403203,Vorarlberg,754065,187.02,754875,187.22
