Datum,BundeslandID,Bevölkerung,Name,Auslieferungen,AuslieferungenPro100,Bestellungen,BestellungenPro100
2021-06-30T23:59:59+02:00,9,1920949,Wien,1506953,78.45,1648753,85.83
2021-06-29T23:59:59+02:00,9,1920949,Wien,1495145,77.83,1672733,87.08
2021-06-28T23:59:59+02:00,9,1920949,Wien,1489565,77.54,1667423,86.80
2021-06-27T23:59:59+02:00,9,1920949,Wien,1450647,75.52,1679775,87.45
2021-06-26T23:59:59+02:00,9,1920949,Wien,1450647,75.52,1679775,87.45
2021-06-25T23:59:59+02:00,9,1920949,Wien,1416887,73.76,1679775,87.45
2021-06-24T23:59:59+02:00,9,1920949,Wien,1416887,73.76,1669173,86.89
2021-06-23T23:59:59+02:00,9,1920949,Wien,1416839,73.76,1669023,86.89
2021-06-22T23:59:59+02:00,9,1920949,Wien,1392827,72.51,1669355,86.90
2021-06-21T23:59:59+02:00,9,1920949,Wien,1389523,72.34,1611621,83.90
2021-06-20T23:59:59+02:00,9,1920949,Wien,1360743,70.84,1626575,84.68
2021-06-19T23:59:59+02:00,9,1920949,Wien,1360743,70.84,1626575,84.68
2021-06-18T23:59:59+02:00,9,1920949,Wien,1344009,69.97,1626575,84.68
2021-06-17T23:59:59+02:00,9,1920949,Wien,1343769,69.95,1595291,83.05
2021-06-16T23:59:59+02:00,9,1920949,Wien,1324913,68.97,1421917,74.02
2021-06-15T23:59:59+02:00,9,1920949,Wien,1280909,66.68,1418863,73.86
2021-06-14T23:59:59+02:00,9,1920949,Wien,1280891,66.68,1426905,74.28
2021-06-13T23:59:59+02:00,9,1920949,Wien,1259517,65.57,1415549,73.69
2021-06-12T23:59:59+02:00,9,1920949,Wien,1259517,65.57,1415549,73.69
2021-06-11T23:59:59+02:00,9,1920949,Wien,1235517,64.32,1415549,73.69
2021-06-10T23:59:59+02:00,9,1920949,Wien,1137557,59.22,1416331,73.73
2021-06-09T23:59:59+02:00,9,1920949,Wien,1128557,58.75,1376347,71.65
2021-06-08T23:59:59+02:00,9,1920949,Wien,1111882,57.88,1376347,71.65
2021-06-07T23:59:59+02:00,9,1920949,Wien,1102475,57.39,1214387,63.22
2021-06-06T23:59:59+02:00,9,1920949,Wien,1070082,55.71,1214387,63.22
2021-06-05T23:59:59+02:00,9,1920949,Wien,1070082,55.71,1214387,63.22
2021-06-04T23:59:59+02:00,9,1920949,Wien,1047162,54.51,1214387,63.22
2021-06-03T23:59:59+02:00,9,1920949,Wien,1038772,54.08,1202831,62.62
2021-06-02T23:59:59+02:00,9,1920949,Wien,1026252,53.42,1202831,62.62
