Datum,BundeslandID,Bevölkerung,Name,Auslieferungen,AuslieferungenPro100,Bestellungen,BestellungenPro100
2021-05-31T23:59:59+02:00,10,8901064,Österreich,4796224,53.88,5605307,62.97
2021-05-30T23:59:59+02:00,10,8901064,Österreich,4625834,51.97,5545649,62.3
2021-05-29T23:59:59+02:00,10,8901064,Österreich,4625834,51.97,5510451,61.91
2021-05-28T23:59:59+02:00,10,8901064,Österreich,4601776,51.70,5480327,61.57
2021-05-27T23:59:59+02:00,10,8901064,Österreich,4546869,51.08,5369610,60.33
2021-05-26T23:59:59+02:00,10,8901064,Österreich,4440050,49.88,5235145,58.81
2021-05-25T23:59:59+02:00,10,8901064,Österreich,4365155,49.04,5119899,57.52
2021-05-24T23:59:59+02:00,10,8901064,Österreich,4262919,47.89,4996829,56.14
2021-05-23T23:59:59+02:00,10,8901064,Österreich,4191877,47.09,4961867,55.74
2021-05-22T23:59:59+02:00,10,8901064,Österreich,4191877,47.09,4917929,55.25
2021-05-21T23:59:59+02:00,10,8901064,Österreich,4151351,46.64,4902137,55.07
2021-05-20T23:59:59+02:00,10,8901064,Österreich,4104962,46.12,4723709,53.07
2021-05-19T23:59:59+02:00,10,8901064,Österreich,4002307,44.96,4652265,52.27
2021-05-18T23:59:59+02:00,10,8901064,Österreich,3905497,43.88,4574045,51.39
2021-05-17T23:59:59+02:00,10,8901064,Österreich,3805188,42.75,4496424,50.52
2021-05-16T23:59:59+02:00,10,8901064,Österreich,3685698,41.41,4312885,48.45
2021-05-15T23:59:59+02:00,10,8901064,Österreich,3685698,41.41,4296407,48.27
2021-05-14T23:59:59+02:00,10,8901064,Österreich,3662986,41.15,4225207,47.47
2021-05-13T23:59:59+02:00,10,8901064,Österreich,3595081,40.39,4159796,46.73
2021-05-12T23:59:59+02:00,10,8901064,Österreich,3570243,40.11,4112368,46.20
2021-05-11T23:59:59+02:00,10,8901064,Österreich,3484469,39.15,4054503,45.55
2021-05-10T23:59:59+02:00,10,8901064,Österreich,3430831,38.54,4009829,45.05
2021-05-09T23:59:59+02:00,10,8901064,Österreich,3318336,37.28,3878395,43.57
2021-05-08T23:59:59+02:00,10,8901064,Österreich,3318336,37.28,3833053,43.06
2021-05-07T23:59:59+02:00,10,8901064,Österreich,3303179,37.11,3828593,43.01
2021-05-06T23:59:59+02:00,10,8901064,Österreich,3248549,36.50,3797885,42.67
2021-05-05T23:59:59+02:00,10,8901064,Österreich,3173318,35.65,3711615,41.70
2021-05-04T23:59:59+02:00,10,8901064,Österreich,3082169,34.63,3644284,40.94
2021-05-03T23:59:59+02:00,10,8901064,Österreich,3013563,33.86,3495427,39.27
2021-05-02T23:59:59+02:00,10,8901064,Österreich,2893148,32.50,3440588,38.65
2021-05-01T23:59:59+02:00,10,8901064,Österreich,2893228,32.50,3412712,38.34
2021-04-30T23:59:59+02:00,10,8901064,Österreich,2878737,32.34,3390650,38.09
2021-04-29T23:59:59+02:00,10,8901064,Österreich,2843369,31.94,3307643,37.16
2021-04-28T23:59:59+02:00,10,8901064,Österreich,2783805,31.27,3244117,36.45
2021-04-27T23:59:59+02:00,10,8901064,Österreich,2716829,30.52,3205924,36.02
2021-04-26T23:59:59+02:00,10,8901064,Österreich,2653565,29.81,3182825,35.76
2021-04-25T23:59:59+02:00,10,8901064,Österreich,2575877,28.94,3167849,35.59
2021-04-24T23:59:59+02:00,10,8901064,Österreich,2575877,28.94,3144461,35.33
2021-04-23T23:59:59+02:00,10,8901064,Österreich,2555823,28.71,3107095,34.91
2021-04-22T23:59:59+02:00,10,8901064,Österreich,2516727,28.27,2953547,33.18
2021-04-21T23:59:59+02:00,10,8901064,Österreich,2469463,27.74,2872353,32.27
2021-04-20T23:59:59+02:00,10,8901064,Österreich,2402787,26.99,2788955,31.33
2021-04-19T23:59:59+02:00,10,8901064,Österreich,2353925,26.45,2761673,31.03
2021-04-18T23:59:59+02:00,10,8901064,Österreich,2282259,25.64,2734717,30.72
2021-04-17T23:59:59+02:00,10,8901064,Österreich,2282259,25.64,2711899,30.47
2021-04-16T23:59:59+02:00,10,8901064,Österreich,2264463,25.44,2707305,30.42
