Datum;Gemeindecode;Bevölkerung;Teilgeimpfte;TeilgeimpftePro100;Vollimmunisierte;VollimmunisiertePro100
2021-07-27T23:59:59+02:00;10101;14895;9894;66.42;8265;55.49
2021-07-27T23:59:59+02:00;10201;2000;1338;66.90;1129;56.45
2021-07-27T23:59:59+02:00;10301;1883;1327;70.47;1196;63.52
2021-07-27T23:59:59+02:00;10302;1841;1306;70.94;1109;60.24
2021-07-27T23:59:59+02:00;10303;2122;1462;68.90;1234;58.15
2021-07-27T23:59:59+02:00;10304;3176;2121;66.78;1854;58.38
2021-07-27T23:59:59+02:00;10305;1223;758;61.98;637;52.09
2021-07-27T23:59:59+02:00;10306;1217;908;74.61;811;66.64
2021-07-27T23:59:59+02:00;10307;2228;1572;70.56;1388;62.30
2021-07-27T23:59:59+02:00;10308;1384;976;70.52;835;60.33
2021-07-27T23:59:59+02:00;10309;3587;2335;65.10;2004;55.87
2021-07-27T23:59:59+02:00;10310;1738;1304;75.03;1118;64.33
2021-07-27T23:59:59+02:00;10311;1271;918;72.23;785;61.76
2021-07-27T23:59:59+02:00;10312;2899;2028;69.96;1746;60.23
2021-07-27T23:59:59+02:00;10313;2683;1900;70.82;1557;58.03
2021-07-27T23:59:59+02:00;10314;1417;995;70.22;887;62.60
2021-07-27T23:59:59+02:00;10315;3118;2022;64.85;1692;54.27
2021-07-27T23:59:59+02:00;10316;2932;1938;66.10;1609;54.88
2021-07-27T23:59:59+02:00;10317;2067;1487;71.94;1311;63.43
2021-07-27T23:59:59+02:00;10318;1702;1028;60.40;874;51.35
2021-07-27T23:59:59+02:00;10319;1982;1320;66.60;1124;56.71
2021-07-27T23:59:59+02:00;10320;476;333;69.96;297;62.39
2021-07-27T23:59:59+02:00;10321;823;552;67.07;502;61.00
2021-07-27T23:59:59+02:00;10322;991;658;66.40;563;56.81
2021-07-27T23:59:59+02:00;10323;1101;752;68.30;645;58.58
2021-07-27T23:59:59+02:00;10401;815;522;64.05;428;52.52
2021-07-27T23:59:59+02:00;10402;1334;792;59.37;657;49.25
2021-07-27T23:59:59+02:00;10403;928;647;69.72;587;63.25
2021-07-27T23:59:59+02:00;10404;1003;703;70.09;595;59.32
2021-07-27T23:59:59+02:00;10405;3665;2496;68.10;2178;59.43
2021-07-27T23:59:59+02:00;10406;883;665;75.31;584;66.14
2021-07-27T23:59:59+02:00;10407;744;537;72.18;483;64.92
2021-07-27T23:59:59+02:00;10408;2009;1228;61.12;1038;51.67
2021-07-27T23:59:59+02:00;10409;968;657;67.87;560;57.85
2021-07-27T23:59:59+02:00;10410;446;299;67.04;272;60.99
2021-07-27T23:59:59+02:00;10411;1457;890;61.08;743;51.00
2021-07-27T23:59:59+02:00;10412;921;618;67.10;514;55.81
2021-07-27T23:59:59+02:00;10413;987;657;66.57;556;56.33
2021-07-27T23:59:59+02:00;10414;2688;1690;62.87;1402;52.16
2021-07-27T23:59:59+02:00;10415;1218;845;69.38;716;58.78
2021-07-27T23:59:59+02:00;10416;872;641;73.51;583;66.86
2021-07-27T23:59:59+02:00;10417;1342;947;70.57;814;60.66
2021-07-27T23:59:59+02:00;10418;364;234;64.29;183;50.27
2021-07-27T23:59:59+02:00;10419;479;278;58.04;236;49.27
2021-07-27T23:59:59+02:00;10420;235;181;77.02;163;69.36
2021-07-27T23:59:59+02:00;10421;330;210;63.64;177;53.64
2021-07-27T23:59:59+02:00;10422;229;181;79.04;155;67.69
2021-07-27T23:59:59+02:00;10423;67;51;76.12;45;67.16
2021-07-27T23:59:59+02:00;10424;227;146;64.32;125;55.07
2021-07-27T23:59:59+02:00;10425;379;267;70.45;210;55.41
2021-07-27T23:59:59+02:00;10426;334;219;65.57;194;58.08
2021-07-27T23:59:59+02:00;10427;460;290;63.04;249;54.13
2021-07-27T23:59:59+02:00;10428;386;275;71.24;242;62.69
2021-07-27T23:59:59+02:00;10501;1715;1106;64.49;943;54.99
2021-07-27T23:59:59+02:00;10502;901;557;61.82;479;53.16
2021-07-27T23:59:59+02:00;10503;1262;779;61.73;689;54.60
2021-07-27T23:59:59+02:00;10504;4121;2572;62.41;2217;53.80
2021-07-27T23:59:59+02:00;10505;1065;644;60.47;557;52.30
2021-07-27T23:59:59+02:00;10506;1148;709;61.76;615;53.57
2021-07-27T23:59:59+02:00;10507;920;571;62.07;493;53.59
2021-07-27T23:59:59+02:00;10508;2144;1370;63.90;1162;54.20
2021-07-27T23:59:59+02:00;10509;1965;1316;66.97;1108;56.39
2021-07-27T23:59:59+02:00;10510;707;461;65.21;396;56.01
2021-07-27T23:59:59+02:00;10511;778;485;62.34;407;52.31
2021-07-27T23:59:59+02:00;10512;383;272;71.02;227;59.27
2021-07-27T23:59:59+02:00;10601;1226;811;66.15;699;57.01
2021-07-27T23:59:59+02:00;10602;2800;1864;66.57;1586;56.64
2021-07-27T23:59:59+02:00;10603;1012;662;65.42;547;54.05
2021-07-27T23:59:59+02:00;10604;1201;702;58.45;586;48.79
2021-07-27T23:59:59+02:00;10605;2095;1413;67.45;1198;57.18
2021-07-27T23:59:59+02:00;10606;7538;4794;63.60;4011;53.21
