Woche,LieferungenBioNTechPfizer,PrognoseBioNTechPfizer,LieferungenModerna,PrognoseModerna,LieferungenAstraZeneca,PrognoseAstraZeneca,LieferungenJanssen,PrognoseJanssen
2020-W52,61425,,,,,,,
2021-W1,61425,,,,,,,
2021-W2,61425,,7200,,,,,
2021-W3,58500,,,,,,,
2021-W4,54990,,,,,,,
2021-W5,66690,,28800,,36000,,,
2021-W6,66690,,,,43200,,,
2021-W7,80730,,,,76800,,,
2021-W8,84240,,37200,,,,,
2021-W9,91260,,,,67200,,,
2021-W10,190710,,49200,,146400,,,
2021-W11,93600,,,,19200,,,
2021-W12,128700,,74400,,19200,,,
2021-W13,128700,,,,199200,,,
2021-W14,196560,,62400,,,,,
2021-W15,197730,,,,26400,,16800,
2021-W16,197730,,34800,,64800,,,
2021-W17,296010,,40800,,319200,,12000,
2021-W18,308874,,58800,,,,,
2021-W19,308880,,58800,,57600,,18000,
2021-W20,308880,,58800,,33600,,24000,
2021-W21,310044,,58800,,,,48000,
2021-W22,497250,,58800,,244800,,36000,
2021-W23,438750,,,,,,14100,
2021-W24,438750,,121200,,76800,,12000,
2021-W25,558090,,66000,,98400,,12300,
2021-W26,559260,,68400,,537600,,79200,
2021-W27,297180,,58800,,95000,,19200,
2021-W28,297180,,58800,,,,,
2021-W29,298350,,58800,,129600,,,
2021-W30,298350,,57600,,175200,,28800,
2021-W31,312390,,57600,,36000,,,
2021-W32,,312390,,57600,,28000,,
