Woche,LieferungenBioNTechPfizer,PrognoseBioNTechPfizer,LieferungenModerna,PrognoseModerna,LieferungenAstraZeneca,PrognoseAstraZeneca,LieferungenJanssen,PrognoseJanssen,LieferungenNovavax,PrognoseNovavax
2022-W26,,,,,,,,,,
2022-W25,,,,2200,,,,,,
2022-W24,,,73200,,,,,,,
2022-W23,,,72000,,,,,,,
2022-W22,,,72000,,,,,,,
2022-W21,345600,,44400,,,,,,,
2022-W20,,,141600,,,,,,,
2022-W19,211200,,70200,,,,,,,
2022-W18,,,44400,,,,,,,
2022-W17,,,117600,,,,,,,
2022-W16,833850,,117600,,,,,,,
2022-W15,833850,,117600,,,,,,,
2022-W14,772200,,117600,,,,,,,
2022-W13,,,259200,,,,,,,
2022-W12,440640,,,,,,,,,
2022-W11,437760,,33600,,,,,,,
2022-W10,533520,,105600,,,,,,1506000,
2022-W09,532350,,,,,,,,,
2022-W08,213840,,138000,,345600,,,,1110000,
2022-W07,207840,,,,,,,,,
2022-W06,529140,,,,,,,,,
2022-W05,351450,,64800,,,,,,,
2022-W04,195840,,120200,,,,,,,
2022-W03,372030,,139000,,,,,,,
2022-W02,368520,,94800,,,,,,,
2022-W01,366000,,57600,,,,,,,
2021-W52,,,,,,,,,,
2021-W51,,,362300,,,,,,,
2021-W50,1760280,,27000,,,,,,,
2021-W49,1064700,,193400,,300000,,,,,
2021-W48,2128230,,193200,,,,,,,
2021-W47,215280,,192000,,,,,,,
2021-W46,215280,,192300,,422400,,,,,
2021-W45,430560,,194400,,,,,,,
2021-W44,0,,194400,,324000,,235200,,,
2021-W43,138060,,87600,,170400,,208800,,,
2021-W42,135720,,61300,,160800,,230400,,,
2021-W41,136890,,74400,,79200,,88800,,,
2021-W40,136890,,74400,,160800,,67200,,,
2021-W39,465660,,,,134400,,57600,,,
2021-W38,189540,,,,182400,,52800,,,
2021-W37,187200,,102000,,120000,,31200,,,
2021-W36,290160,,,,24000,,,,,
2021-W35,296010,,,,343200,,,,,
2021-W34,551070,,105600,,,,,,,
2021-W33,519480,,105600,,216600,,,,,
2021-W32,312390,,152400,,33600,,,,,
2021-W31,312390,,57600,,36000,,,,,
2021-W30,298350,,57600,,175200,,28800,,,
2021-W29,298350,,58800,,129600,,,,,
2021-W28,297180,,58800,,,,,,,
2021-W27,297180,,58800,,95000,,19200,,,
2021-W26,559260,,68400,,537600,,79200,,,
2021-W25,558090,,66000,,98400,,12300,,,
2021-W24,438750,,121200,,76800,,12000,,,
2021-W23,438750,,,,,,14100,,,
2021-W22,497250,,58800,,244800,,36000,,,
2021-W21,310044,,58800,,,,48000,,,
2021-W20,308880,,58800,,33600,,24000,,,
2021-W19,308880,,58800,,57600,,18000,,,
2021-W18,308874,,58800,,,,,,,
2021-W17,296010,,40800,,319200,,12000,,,
2021-W16,197730,,34800,,64800,,,,,
2021-W15,197730,,,,26400,,16800,,,
2021-W14,196560,,62400,,,,,,,
2021-W13,128700,,,,199200,,,,,
2021-W12,128700,,74400,,19200,,,,,
2021-W11,93600,,,,19200,,,,,
2021-W10,190710,,49200,,146400,,,,,
2021-W9,91260,,,,67200,,,,,
2021-W8,84240,,37200,,,,,,,
2021-W7,80730,,,,76800,,,,,
2021-W6,66690,,,,43200,,,,,
2021-W5,66690,,28800,,36000,,,,,
2021-W4,54990,,,,,,,,,
2021-W3,58500,,,,,,,,,
2021-W2,61425,,7200,,,,,,,
2021-W1,61425,,,,,,,,,
2020-W52,61425,,,,,,,,,
