date,Eisenstadt (Stadt),Rust (Stadt),Eisenstadt-Umgebung,Güssing,Jennersdorf,Mattersburg,Neusiedl am See,Oberpullendorf,Oberwart,Klagenfurt (Stadt),Villach (Stadt),Hermagor,Klagenfurt Land,Sankt Veit an der Glan,Spittal an der Drau,Villach Land,Völkermarkt,Wolfsberg,Feldkirchen,Krems an der Donau,Sankt Pölten (Stadt),Waidhofen an der Ybbs (Stadt),Wiener Neustadt (Stadt),Amstetten,Baden,Bruck an der Leitha,Gänserndorf,Gmünd,Hollabrunn,Horn,Korneuburg,Krems (Land),Lilienfeld,Melk,Mistelbach,Mödling,Neunkirchen,Sankt Pölten (Land),Scheibbs,Tulln,Waidhofen an der Thaya,Wiener Neustadt (Land),Zwettl,Linz (Stadt),Steyr (Stadt),Wels (Stadt),Braunau am Inn,Eferding,Freistadt,Gmunden,Grieskirchen,Kirchdorf an der Krems,Linz-Land,Perg,Ried im Innkreis,Rohrbach,Schärding,Steyr-Land,Urfahr-Umgebung,Vöcklabruck,Wels-Land,Salzburg (Stadt),Hallein,Salzburg-Umgebung,Sankt Johann im Pongau,Tamsweg,Zell am See,Graz (Stadt),Deutschlandsberg,Graz-Umgebung,Leibnitz,Leoben,Liezen,Murau,Voitsberg,Weiz,Murtal,Bruck-Mürzzuschlag,Hartberg-Fürstenfeld,Südoststeiermark,Innsbruck-Stadt,Imst,Innsbruck-Land,Kitzbühel,Kufstein,Landeck,Lienz,Reutte,Schwaz,Bludenz,Bregenz,Dornbirn,Feldkirch,Wien-Innere Stadt,Wien-Leopoldstadt,Wien-Landstraße,Wien-Wieden,Wien-Margareten,Wien-Mariahilf,Wien-Neubau,Wien-Josefstadt,Wien-Alsergrund,Wien-Favoriten,Wien-Simmering,Wien-Meidling,Wien-Hietzing,Wien-Penzing,Wien-Rudolfsheim-Fünfhaus,Wien-Ottakring,Wien-Hernals,Wien-Währing,Wien-Döbling,Wien-Brigittenau,Wien-Floridsdorf,Wien-Donaustadt,Wien-Liesing
2021/07/11,9400,1283,28854,16458,10437,24853,37645,24714,33029,57803,33509,9753,34511,31804,36658,34027,22195,27875,15452,14999,32543,5985,24287,62402,86139,64767,65752,21232,33272,19560,60484,35266,13868,42327,50012,79181,49135,78812,21148,68951,14742,43519,22929,110146,19887,29178,48517,17987,35311,55790,33764,30167,81159,36048,33056,29656,29536,32802,50735,67805,38266,80987,29741,80597,45000,10829,49145,165015,32917,90687,41149,35580,41262,16202,28247,47603,40151,59293,48890,47611,76145,33117,107342,34881,58357,25682,24918,18566,53468,36059,75687,50769,61014,9849,56070,53627,19597,28937,19190,20020,15075,25886,95347,49812,48004,33609,52864,36302,51353,29809,31191,44014,40296,93219,113797,64348
2021/07/27,9894,1338,30000,17166,10842,26054,39211,25852,35016,59443,34424,10072,35509,32952,37629,35043,23020,28758,16031,15311,33511,6065,25630,63665,89503,66849,68462,22031,34444,20301,62469,36035,14296,43316,51849,81646,50973,80721,21591,70469,15456,45429,23529,116421,20704,31455,50958,19129,37030,57936,36070,31197,85189,38070,34486,30923,30925,34059,52461,72258,40651,84908,30915,84505,46517,11253,50970,173704,34767,95384,49449,37225,43534,17115,29869,50587,42528,62103,51776,50178,78508,34196,110254,35813,60216,26437,25528,18863,54066,37016,77816,51986,62838,10135,59141,56306,20441,30765,20003,20866,15636,26908,102504,53404,51243,34934,55517,38881,54485,31465,32518,46062,43284,99187,120061,67438
2021/07/28,9901,1340,30019,17188,10847,26063,39275,25873,35039,59502,34461,10120,35549,33024,37661,35092,23055,28811,16051,15335,33539,6073,25660,63730,89873,66916,68544,22069,34473,20333,62527,36064,14325,43338,51931,81773,51067,80801,21604,70502,15472,45493,23544,116566,20727,31478,51005,19151,37092,58015,36115,31300,85239,38102,34538,30961,30955,34087,52535,72400,40682,85071,30958,84695,46689,11265,51082,174104,34834,95573,49665,37313,43729,17144,29941,50847,42655,62294,51977,50324,78612,34231,110370,35849,60234,26449,25535,18880,54105,37042,77873,52025,62967,10153,59233,56396,20470,30829,20029,20898,15658,26943,102863,53567,51366,34975,55611,38976,54604,31523,32572,46149,43385,99389,120281,67587
2021/07/29,9915,1341,30045,17215,10859,26114,39335,25896,35089,59574,34517,10151,35586,33054,37725,35139,23069,28838,16092,15426,33563,6076,25667,63752,89968,66963,68582,22175,34497,20359,62567,36194,14340,43425,51965,81840,51090,80925,21783,70815,15572,45511,23700,116861,20741,31616,51130,19249,37125,58154,36165,31400,85476,38174,34560,31008,31079,34127,52626,72501,40806,85449,31095,84922,46755,11424,51231,174309,34895,95674,49842,37385,43902,17171,29963,50935,42745,62390,52039,50375,78930,34265,110676,35884,60322,26518,25553,18911,54135,37080,77960,52052,63057,10162,59323,56486,20498,30879,20058,20931,15679,26991,103078,53686,51495,35031,55701,39086,54710,31568,32624,46224,43474,99607,120460,67683
2021/07/30,9970,1347,30210,17369,10959,26317,39586,26100,35423,59624,34597,10163,35618,33085,37774,35232,23109,28896,16108,15433,33601,6100,25710,64140,90080,67156,68867,22196,34669,20462,62755,36235,14353,43598,52218,82017,51366,81018,21839,70900,15597,45612,23729,117157,20747,31690,51204,19284,37169,58211,36237,31468,85570,38229,34617,31019,31183,34151,52688,72650,40859,85572,31140,85044,46994,11556,51293,174582,34920,95804,49959,37427,43976,17207,29994,50988,42846,62459,52161,50449,79030,34435,110876,36025,60810,26656,25719,19008,54294,37108,78036,52087,63148,10169,59459,56588,20521,30954,20085,20966,15704,27034,103341,53850,51598,35087,55805,39185,54854,31631,32664,46302,43611,99838,120684,67804
2021/07/31,10045,1353,30408,17476,11008,26478,39859,26337,35771,59636,34603,10164,35621,33086,37786,35254,23133,28910,16109,15438,33612,6106,25871,64196,90134,67208,68929,22199,34673,20465,62797,36249,14408,43649,52246,82076,51412,81071,21869,70948,15621,45672,23755,117349,20756,31730,51222,19295,37204,58225,36253,31474,85641,38283,34627,31027,31189,34174,52727,72672,40896,85578,31140,85054,47034,11608,51542,174597,34924,95810,50088,37428,43977,17209,29995,50999,42846,62468,52197,50596,79065,34435,110898,36029,60848,26657,25721,19009,54296,37293,78075,52114,63209,10180,59536,56660,20536,30993,20103,20982,15724,27062,103542,53967,51676,35112,55867,39253,54929,31677,32700,46343,43689,99994,120851,67867
2021/08/01,10045,1353,30409,17476,11008,26482,39863,26338,35774,59649,34606,10169,35628,33090,37793,35259,23135,28913,16111,15444,33618,6107,25955,64229,90193,67262,68963,22242,34693,20469,62834,36257,14414,43670,52275,82130,51451,81112,21881,70975,15627,45734,23769,117352,20756,31730,51223,19300,37204,58225,36254,31476,85643,38283,34628,31029,31190,34175,52728,72673,40896,85579,31141,85055,47034,11608,51679,174605,34927,95810,50091,37429,43982,17209,29995,51002,42847,62469,52199,50599,79187,34477,111076,36052,60990,26723,25780,19057,54307,37293,78077,52114,63209,10182,59589,56700,20552,31023,20111,20994,15731,27081,103668,54036,51724,35132,55908,39302,54965,31696,32716,46377,43736,100095,120942,67914
2021/08/02,10047,1353,30420,17483,11012,26497,39875,26339,35783,59689,34628,10181,35646,33107,37819,35282,23164,28930,16117,15453,33737,6118,26188,64263,90307,67310,69002,22251,34695,20485,62864,36288,14431,43780,52298,82154,51540,81290,21898,71019,15642,46000,23774,117457,20795,31739,51232,19303,37208,58232,36258,31477,85678,38290,34632,31033,31193,34201,52747,72689,40905,85746,31157,85183,47063,11612,51735,174650,34932,95882,50095,37442,44008,17220,30001,51054,42860,62486,52213,50607,79220,34502,111105,36082,60999,26738,25788,19067,54330,37301,78089,52115,63223,10200,59719,56852,20603,31119,20162,21046,15754,27140,104034,54234,51880,35187,56030,39445,55098,31763,32769,46473,43861,100279,121195,68063
2021/08/03,10047,1353,30445,17494,11019,26507,39888,26354,35803,59729,34690,10188,35670,33151,37874,35331,23182,28961,16132,15472,33746,6128,26212,64343,90343,67378,69106,22302,34772,20506,62950,36328,14449,43820,52368,82202,51574,81369,21913,71091,15702,46051,23809,117519,20901,31800,51314,19351,37239,58329,36321,31489,85776,38329,34661,31047,31234,34313,52766,72741,40991,85949,31213,85496,47125,11618,51818,175597,34951,96014,50314,37613,44033,17242,30011,51089,43084,62507,52448,50659,79250,34526,111169,36096,61017,26744,25795,19088,54361,37320,78128,52164,63325,10211,59811,56954,20635,31193,20196,21078,15772,27197,104324,54384,52003,35236,56123,39533,55219,31821,32810,46532,43988,100465,121415,68199
2021/08/04,10052,1353,30457,17494,11021,26521,39902,26368,35811,59762,34737,10209,35696,33200,37960,35380,23230,28998,16166,15478,33790,6134,26244,64374,90619,67566,69229,22332,34810,20526,62980,36361,14469,43846,52466,82295,51640,81449,21955,71121,15710,46123,23826,117860,20921,31837,51462,19371,37312,58424,36408,31529,85967,38394,34746,31119,31305,34350,52840,73109,41031,86128,31266,85660,47301,11627,51887,175963,35163,96419,50430,37659,44389,17329,30208,51381,43197,62950,52649,50897,79337,34546,111240,36149,61038,26756,25813,19099,54386,37392,78237,52206,63441,10230,59900,57038,20684,31240,20226,21102,15783,27228,104617,54501,52128,35275,56224,39643,55353,31895,32856,46593,44094,100655,121612,68310
