
Gemeinde,Bezirk,Bundesland,Gebietskennzahl,Einwohner,Vollimmunisiert %,Teilimmunisiert %,Vollimmunisiert,Teilimmunisiert
Abfaltersbach,Lienz,Tirol,70701,647,43.59,53.48,282,346
Absam,Innsbruck-Land,Tirol,70301,7319,46.19,62.59,3381,4581
Absdorf,Tulln,Niederösterreich,32101,2229,51.01,66.76,1137,1488
Abtenau,Hallein,Salzburg,50201,5894,38.36,47.18,2261,2781
Achau,Mödling,Niederösterreich,31701,1402,41.16,59.7,577,837
Achenkirch,Schwaz,Tirol,70901,2169,62.79,66.53,1362,1443
Aderklaa,Gänserndorf,Niederösterreich,30801,198,50,72.22,99,143
Adlwang,Steyr-Land,Oberösterreich,41501,1948,36.4,47.43,709,924
Admont,Liezen,Steiermark,61253,4954,41.42,57.35,2052,2841
Adnet,Hallein,Salzburg,50202,3675,35.56,46.94,1307,1725
Aflenz,Bruck-Mürzzuschlag,Steiermark,62138,2454,51.47,65.77,1263,1614
Afritz am See,Villach Land,Kärnten,20701,1433,41.45,51.99,594,745
Aggsbach,Krems (Land),Niederösterreich,31301,643,48.37,64.54,311,415
Aich,Liezen,Steiermark,61254,1319,29.26,45.87,386,605
Aichkirchen,Wels-Land,Oberösterreich,41801,613,32.14,40.46,197,248
Aigen im Ennstal,Liezen,Steiermark,61203,2710,35.9,49.48,973,1341
Aigen-Schlägl,Rohrbach,Oberösterreich,41343,3219,44.33,56.54,1427,1820
Ainet,Lienz,Tirol,70702,921,37.02,46.15,341,425
Aistersheim,Grieskirchen,Oberösterreich,40801,953,36.31,50.16,346,478
Albeck,Feldkirchen,Kärnten,21001,966,42.44,51.14,410,494
Alberndorf im Pulkautal,Hollabrunn,Niederösterreich,31001,745,48.99,64.43,365,480
Alberndorf in der Riedmark,Urfahr-Umgebung,Oberösterreich,41601,4214,37.4,50.26,1576,2118
Alberschwende,Bregenz,Vorarlberg,80201,3207,45.34,53.73,1454,1723
Albersdorf-Prebuch,Weiz,Steiermark,61701,2250,33.38,49.24,751,1108
Albrechtsberg an der Großen Krems,Krems (Land),Niederösterreich,31302,1005,44.48,59.4,447,597
Aldrans,Innsbruck-Land,Tirol,70302,2761,44.91,61.5,1240,1698
Alkoven,Eferding,Oberösterreich,40501,6068,43.69,56.94,2651,3455
Alland,Baden,Niederösterreich,30601,2606,42.17,60.25,1099,1570
Allentsteig,Zwettl,Niederösterreich,32501,1736,49.37,62.67,857,1088
Allerheiligen bei Wildon,Leibnitz,Steiermark,61001,1560,42.88,57.05,669,890
Allerheiligen im Mühlkreis,Perg,Oberösterreich,41101,1271,36.11,50.2,459,638
Allhaming,Linz-Land,Oberösterreich,41001,1208,44.54,56.71,538,685
Allhartsberg,Amstetten,Niederösterreich,30501,2180,35.28,52.11,769,1136
Alpbach,Kufstein,Tirol,70501,2538,35.03,48.42,889,1229
Altach,Feldkirch,Vorarlberg,80401,6877,44,55.23,3026,3798
Altaussee,Liezen,Steiermark,61204,1879,41.78,54.92,785,1032
Altenberg bei Linz,Urfahr-Umgebung,Oberösterreich,41602,4633,42.37,58.39,1963,2705
Altenburg,Horn,Niederösterreich,31101,801,41.95,59.68,336,478
Altendorf,Neunkirchen,Niederösterreich,31801,357,40.06,57.14,143,204
Altenfelden,Rohrbach,Oberösterreich,41304,2318,39.99,48.92,927,1134
Altenmarkt an der Triesting,Baden,Niederösterreich,30602,2067,37.2,52.2,769,1079
Altenmarkt bei Sankt Gallen,Liezen,Steiermark,61205,801,39.95,56.18,320,450
Altenmarkt im Pongau,Sankt Johann im Pongau,Salzburg,50401,4487,40,49.28,1795,2211
Altheim,Braunau am Inn,Oberösterreich,40401,4989,38.38,49.81,1915,2485
Althofen,Sankt Veit an der Glan,Kärnten,20501,4692,45.95,61.85,2156,2902
Altlengbach,Sankt Pölten (Land),Niederösterreich,31901,3121,41.69,60.94,1301,1902
Altlichtenwarth,Mistelbach,Niederösterreich,31601,750,53.2,66.67,399,500
Altmelon,Zwettl,Niederösterreich,32519,855,25.73,43.86,220,375
Altmünster,Gmunden,Oberösterreich,40701,9865,43.25,56.2,4267,5544
Altschwendt,Schärding,Oberösterreich,41401,695,37.7,49.35,262,343
Amaliendorf-Aalfang,Gmünd,Niederösterreich,30902,1078,38.13,54.36,411,586
Amlach,Lienz,Tirol,70703,492,38.62,52.85,190,260
Ampass,Innsbruck-Land,Tirol,70303,1832,39.25,55.19,719,1011
Ampflwang im Hausruckwald,Vöcklabruck,Oberösterreich,41701,3388,35.54,49.59,1204,1680
Amstetten,Amstetten,Niederösterreich,30502,23569,39.93,54.95,9411,12951
Andau,Neusiedl am See,Burgenland,10701,2265,57.66,72.19,1306,1635
Andelsbuch,Bregenz,Vorarlberg,80202,2611,46,52.62,1201,1374
Andlersdorf,Gänserndorf,Niederösterreich,30802,127,51.97,71.65,66,91
Andorf,Schärding,Oberösterreich,41402,5203,38.84,52.7,2021,2742
Andrichsfurt,Ried im Innkreis,Oberösterreich,41201,783,34.1,46.49,267,364
Angath,Kufstein,Tirol,70502,1031,30.26,49.66,312,512
Anger,Weiz,Steiermark,61756,3938,37.53,54.65,1478,2152
Angerberg,Kufstein,Tirol,70528,1925,35.48,56.83,683,1094
Angern an der March,Gänserndorf,Niederösterreich,30803,3436,40.8,62.51,1402,2148
Anif,Salzburg-Umgebung,Salzburg,50301,4327,46.54,58.75,2014,2542
Annaberg,Lilienfeld,Niederösterreich,31401,510,53.33,65.29,272,333
Annaberg-Lungötz,Hallein,Salzburg,50203,2229,37.6,50.07,838,1116
Anras,Lienz,Tirol,70704,1229,39.46,50.85,485,625
Ansfelden,Linz-Land,Oberösterreich,41002,17433,32.79,45.87,5716,7997
Antau,Mattersburg,Burgenland,10616,768,48.7,61.72,374,474
Anthering,Salzburg-Umgebung,Salzburg,50302,3737,37.76,54.24,1411,2027
Antiesenhofen,Ried im Innkreis,Oberösterreich,41202,1055,41.23,55.07,435,581
Apetlon,Neusiedl am See,Burgenland,10702,1746,57.85,69.76,1010,1218
Arbesbach,Zwettl,Niederösterreich,32502,1591,27.09,40.29,431,641
Arbing,Perg,Oberösterreich,41102,1525,36.46,53.64,556,818
Ardagger,Amstetten,Niederösterreich,30503,3536,38.63,53.73,1366,1900
Ardning,Liezen,Steiermark,61206,1240,45.32,57.34,562,711
Arnfels,Leibnitz,Steiermark,61002,961,46.41,56.5,446,543
Arnoldstein,Villach Land,Kärnten,20702,7039,38.93,49.69,2740,3498
Arnreit,Rohrbach,Oberösterreich,41305,1151,40.23,52.22,463,601
Arriach,Villach Land,Kärnten,20703,1326,32.5,42.91,431,569
Artstetten-Pöbring,Melk,Niederösterreich,31502,1241,39.48,51.33,490,637
Arzl im Pitztal,Imst,Tirol,70201,3140,38.06,53.09,1195,1667
Aschach an der Donau,Eferding,Oberösterreich,40502,2191,41.72,54.08,914,1185
Aschach an der Steyr,Steyr-Land,Oberösterreich,41502,2312,41.13,52.9,951,1223
Aschau im Zillertal,Schwaz,Tirol,70902,1866,54.45,60.61,1016,1131
Aschbach-Markt,Amstetten,Niederösterreich,30504,3785,37.41,53,1416,2006
Aspach,Braunau am Inn,Oberösterreich,40402,2604,32.03,44.09,834,1148
Aspang-Markt,Neunkirchen,Niederösterreich,31802,1764,45.75,58.79,807,1037
Aspangberg-St. Peter,Neunkirchen,Niederösterreich,31803,1887,36.78,49.44,694,933
Asparn an der Zaya,Mistelbach,Niederösterreich,31603,1877,42.19,59.83,792,1123
Asperhofen,Sankt Pölten (Land),Niederösterreich,31902,2266,38.31,54.06,868,1225
Assling,Lienz,Tirol,70705,1786,38.24,50.9,683,909
Asten,Linz-Land,Oberösterreich,41003,6835,40.12,52.35,2742,3578
Attersee am Attersee,Vöcklabruck,Oberösterreich,41702,1616,41.83,56.87,676,919
Attnang-Puchheim,Vöcklabruck,Oberösterreich,41703,9101,32.26,43.45,2936,3954
Atzbach,Vöcklabruck,Oberösterreich,41704,1229,34.09,44.75,419,550
Atzenbrugg,Tulln,Niederösterreich,32104,3147,45.63,62.79,1436,1976
Atzesberg,Rohrbach,Oberösterreich,41306,440,34.09,44.32,150,195
Au,Bregenz,Vorarlberg,80203,1781,48.34,54.18,861,965
Au am Leithaberge,Bruck an der Leitha,Niederösterreich,30701,951,48.58,65.83,462,626
Auberg,Rohrbach,Oberösterreich,41307,572,29.2,38.81,167,222
Auerbach,Braunau am Inn,Oberösterreich,40403,718,21.45,29.53,154,212
Auersthal,Gänserndorf,Niederösterreich,30804,1930,52.49,68.45,1013,1321
Aurach am Hongar,Vöcklabruck,Oberösterreich,41705,1776,34.57,48.59,614,863
Aurach bei Kitzbühel,Kitzbühel,Tirol,70401,1132,34.19,52.92,387,599
Aurolzmünster,Ried im Innkreis,Oberösterreich,41203,3084,40.82,53.15,1259,1639
Außervillgraten,Lienz,Tirol,70706,746,42.9,52.95,320,395
Axams,Innsbruck-Land,Tirol,70304,6111,44.76,61.66,2735,3768
Bach,Reutte,Tirol,70801,634,40.69,55.99,258,355
Bachmanning,Wels-Land,Oberösterreich,41802,739,38.43,52.1,284,385
Bad Aussee,Liezen,Steiermark,61207,4911,42.96,56.49,2110,2774
Bad Bleiberg,Villach Land,Kärnten,20705,2190,46.16,55.57,1011,1217
Bad Blumau,Hartberg-Fürstenfeld,Steiermark,62202,1633,39.01,56.52,637,923
Bad Deutsch-Altenburg,Bruck an der Leitha,Niederösterreich,30702,1906,45.17,63.33,861,1207
