Datum,00-11,12-14,15-24,25-34,35-44,45-54,55-64,65-74,75-84,>84,NotAssigned
2021/12/14,0,221670,708931,907496,927054,1045621,1110160,779745,580207,213587,0
2021/12/13,0,218546,707714,906172,926083,1044833,1109292,779091,579732,213264,0
2021/12/12,0,216731,706561,904949,925141,1044120,1108560,778527,579401,213060,0
2021/12/11,0,214930,705971,904370,924722,1043846,1108356,778412,579328,213035,0
2021/12/10,0,209948,704684,903052,923709,1043041,1107698,777962,579097,212935,0
2021/12/09,0,204958,702917,901208,922222,1041921,1106636,777298,578658,212718,0
2021/12/08,0,202034,701742,899925,921152,1041058,1105844,776806,578341,212527,0
2021/12/07,0,198955,701073,899280,920686,1040700,1105482,776614,578218,212458,0
2021/12/06,0,194108,699978,898072,919697,1039869,1104673,776073,577882,212266,0
2021/12/05,0,191694,699123,896986,918823,1039174,1103985,775566,577594,212123,0
2021/12/04,0,188783,698712,896546,918514,1038912,1103774,775449,577551,212093,0
2021/12/03,0,182101,697762,895655,917750,1038285,1103223,775136,577381,212012,0
2021/12/02,0,175697,696346,894030,916415,1037200,1102199,774562,576967,211796,0
2021/12/01,0,171548,695243,892649,915256,1036215,1101243,773904,576580,211609,0
2021/11/30,0,166479,694030,891009,913941,1035193,1100165,773190,576157,211365,0
2021/11/29,0,160842,692995,889654,912858,1034293,1099323,772607,575835,211163,0
2021/11/28,0,156867,692115,888516,911999,1033512,1098626,772217,575581,211040,0
2021/11/27,0,152972,691559,887862,911451,1033087,1098318,772070,575516,211009,0
2021/11/26,0,146160,690232,886539,910413,1032169,1097587,771720,575323,210932,0
2021/11/25,0,138906,688164,884141,908462,1030407,1096144,770921,574875,210757,0
2021/11/24,0,135454,686565,882313,906820,1029016,1094850,770158,574410,210527,0
2021/11/23,0,132080,684845,880332,905096,1027459,1093539,769370,573883,210304,0
2021/11/22,0,129345,683120,878290,903361,1026010,1092284,768619,573455,210094,0
2021/11/21,0,127177,681669,876481,901949,1024794,1091280,768058,573175,209955,0
2021/11/20,0,125850,680405,875034,900731,1023895,1090609,767786,573055,209915,0
2021/11/19,0,123300,677493,872346,898449,1022024,1089310,767256,572839,209834,0
2021/11/18,0,120021,673593,868297,895102,1019349,1087409,766317,572380,209664,0
2021/11/17,0,117940,670373,864825,892312,1017077,1085621,765477,571951,209461,0
2021/11/16,0,116138,666876,861018,889275,1014645,1083819,764636,571458,209260,0
2021/11/15,0,114502,662929,856842,886124,1012105,1082023,763880,571062,209120,0
2021/11/14,0,112717,659703,853396,883571,1010001,1080589,763317,570802,209022,0
2021/11/13,0,111695,656862,850677,881451,1008366,1079611,763067,570684,208989,0
2021/11/12,0,110029,652081,846586,878103,1005715,1077945,762625,570443,208933,0
2021/11/11,0,107614,645778,840637,873250,1001930,1075511,761722,570022,208785,0
2021/11/10,0,106147,640790,835385,869265,998698,1073314,760902,569602,208641,0
2021/11/09,0,104863,636653,831171,866084,995970,1071427,760238,569257,208509,0
2021/11/08,0,103451,631108,825728,861965,992665,1069212,759422,568879,208393,0
