Datum,00-11,12-14,15-24,25-34,35-44,45-54,55-64,65-74,75-84,>84,NotAssigned
2021/12/14,0,117422,639520,833922,864354,989294,1064959,755820,563841,203907,0
2021/12/13,0,115367,637139,831312,862301,987539,1063458,754999,563359,203721,0
2021/12/12,0,113722,634918,828690,860332,985995,1062119,754290,562976,203601,0
2021/12/11,0,112774,633421,827122,859204,985165,1061509,754065,562886,203571,0
2021/12/10,0,111021,630429,824287,856936,983256,1060339,753635,562714,203523,0
2021/12/09,0,107828,625839,819571,853095,980072,1058033,752624,562195,203327,0
2021/12/08,0,105998,622692,816246,850387,977755,1056210,751813,561804,203149,0
2021/12/07,0,105201,621138,814644,849307,976826,1055515,751572,561691,203115,0
2021/12/06,0,103476,617743,811257,846603,974509,1053698,750764,561263,202946,0
2021/12/05,0,102431,615091,808350,844424,972771,1052383,750206,560999,202827,0
2021/12/04,0,101905,613444,806666,843207,971787,1051739,750039,560903,202806,0
2021/12/03,0,100701,610181,803708,840850,969823,1050359,749693,560715,202766,0
2021/12/02,0,98767,606090,799691,837298,966858,1048302,748975,560263,202607,0
2021/12/01,0,97562,603096,796335,834636,964602,1046569,748234,559870,202472,0
2021/11/30,0,96628,600592,793454,832397,962606,1045039,747584,559522,202360,0
2021/11/29,0,95835,598161,790664,830227,960717,1043599,747018,559167,202257,0
2021/11/28,0,95314,596690,788844,828817,959529,1042714,746647,558956,202185,0
2021/11/27,0,94998,595653,787735,827962,958781,1042242,746528,558899,202171,0
2021/11/26,0,94265,593736,785851,826251,957358,1041347,746265,558768,202138,0
2021/11/25,0,93063,590747,782613,823615,954967,1039809,745770,558503,202040,0
2021/11/24,0,92418,588850,780214,821734,953273,1038488,745252,558196,201930,0
2021/11/23,0,91858,587253,778147,820096,951740,1037362,744750,557873,201795,0
2021/11/22,0,91373,585642,776172,818510,950354,1036387,744302,557620,201698,0
2021/11/21,0,91123,584728,775062,817534,949546,1035791,743996,557446,201643,0
2021/11/20,0,90980,584151,774350,816925,948989,1035463,743876,557396,201635,0
2021/11/19,0,90477,582564,772682,815491,947720,1034661,743604,557267,201601,0
2021/11/18,0,89483,580031,770153,813289,945847,1033294,743053,556943,201483,0
2021/11/17,0,88890,578339,768198,811701,944393,1032170,742507,556646,201373,0
2021/11/16,0,88361,576807,766510,810333,943178,1031194,742032,556310,201259,0
2021/11/15,0,87968,575449,765061,809108,942167,1030432,741621,556054,201130,0
2021/11/14,0,87551,574256,763744,808062,941269,1029759,741270,555877,201078,0
2021/11/13,0,87372,573629,763133,807562,940805,1029458,741156,555814,201062,0
2021/11/12,0,86956,572238,761812,806434,939829,1028799,740908,555713,201023,0
2021/11/11,0,86039,570248,759909,804768,938401,1027741,740451,555439,200911,0
2021/11/10,0,85494,568663,758255,803400,937188,1026815,739941,555132,200810,0
2021/11/09,0,84950,567392,756970,802327,936205,1025936,739488,554860,200691,0
2021/11/08,0,84552,566061,755592,801304,935239,1025165,739051,554650,200599,0
2021/11/07,0,84228,565151,754568,800495,934553,1024658,738799,554486,200550,0
2021/11/06,0,84132,564791,754178,800234,934320,1024516,738740,554457,200540,0
2021/11/05,0,83681,563799,753282,799497,933662,1024103,738584,554371,200517,0
2021/11/04,0,82823,561945,751428,797943,932386,1023105,738200,554095,200406,0
2021/11/03,0,82231,560471,749939,796821,931426,1022386,737825,553836,200287,0
2021/11/02,0,81512,558935,748444,795639,930443,1021608,737427,553601,200167,0
2021/11/01,0,80977,557639,747203,794612,929608,1021027,737191,553427,200086,0
2021/10/31,0,80873,557451,747017,794458,929511,1020967,737171,553418,200077,0
2021/10/30,0,80828,557275,746834,794299,929389,1020905,737154,553409,200069,0
2021/10/29,0,80590,556403,745943,793574,928747,1020539,737042,553349,200048,0
2021/10/28,0,79982,554577,744149,792130,927581,1019745,736704,553176,199970,0
2021/10/27,0,79396,553136,742871,791136,926714,1019153,736364,552972,199880,0
2021/10/26,0,78667,551315,741365,789996,925808,1018487,736052,552716,199784,0
2021/10/25,0,78540,550893,740938,789676,925536,1018306,735997,552686,199769,0
2021/10/24,0,78188,549940,740055,788991,924997,1017949,735800,552582,199737,0
2021/10/23,0,78104,549740,739859,788834,924861,1017879,735765,552575,199735,0
2021/10/22,0,77609,548643,738911,788038,924274,1017479,735632,552511,199719,0
