Datum,<15_1_m,<15_1_w,15-24_1_m,15-24_1_w,25-34_1_m,25-34_1_w,35-44_1_m,35-44_1_w,45-54_1_m,45-54_1_w,55-64_1_m,55-64_1_w,65-74_1_m,65-74_1_w,75-84_1_m,75-84_1_w,>84_1_m,>84_1_w,<15_2_m,<15_2_w,15-24_2_m,15-24_2_w,25-34_2_m,25-34_2_w,35-44_2_m,35-44_2_w,45-54_2_m,45-54_2_w,55-64_2_m,55-64_2_w,65-74_2_m,65-74_2_w,75-84_2_m,75-84_2_w,>84_2_m,>84_2_w,bp_1,bp_2,mo_1,mo_2,az_1,az_2,ja,unb_1,unb_2
2021-12-08T23:59:59+01:00,103972,97611,361684,339033,467676,430527,466628,453237,517613,522247,553402,551477,366170,409799,252591,325539,74607,137835,54277,51445,319224,302547,426308,388390,431691,417441,486739,489843,529090,526164,354897,396045,245936,315596,71674,131386,4735768,4309933,546571,521600,810670,767550,340371,964,1015
2021-12-07T23:59:59+01:00,102412,96123,361318,338746,467381,430199,466396,453008,517439,522071,553235,551289,366090,409690,252547,325470,74586,137799,53855,51086,318406,301854,425478,387660,431108,416966,486261,489419,528717,525858,354801,395914,245897,315527,71665,131362,4730167,4303305,546355,521406,810670,767550,340334,964,1015
2021-12-06T23:59:59+01:00,100024,93768,360807,338218,466862,429565,465956,452494,517086,521618,552888,550851,365878,409378,252439,325259,74533,137670,53020,50286,316614,300351,423820,386040,429807,415659,485125,488310,527816,525000,354440,395488,245747,315267,71617,131254,4720092,4287616,545984,520990,810669,767541,340275,963,1015
2021-12-05T23:59:59+01:00,98767,92634,360374,337804,466390,428954,465546,452041,516752,521256,552554,550506,365654,409104,252339,325076,74499,137565,52513,49771,315173,299183,422237,384756,428649,414670,484282,487451,527150,524374,354190,395191,245643,315112,71583,131173,4713016,4275495,545626,520608,810669,767532,340229,961,1013
2021-12-04T23:59:59+01:00,97219,91309,360161,337607,466186,428721,465386,451892,516615,521132,552451,550398,365605,409037,252325,325047,74489,137545,52232,49529,314266,298447,421319,383999,427986,414119,483745,487009,526810,524072,354115,395100,245604,315055,71576,131159,4708466,4268700,545507,520466,810669,767531,340208,961,1013
2021-12-03T23:59:59+01:00,93747,88108,359660,337163,465802,428220,465038,451479,516332,520791,552209,550087,365465,408867,252267,324935,74457,137497,51610,48952,312506,296963,419764,382619,426757,413007,482704,486098,526044,523458,353953,394918,245533,314939,71561,131134,4697754,4255448,545249,520128,810668,767528,340178,961,1013
2021-12-02T23:59:59+01:00,90447,85035,358924,336490,465066,427338,464428,450758,515836,520210,551773,549509,365216,408544,252107,324683,74397,137343,50669,48010,310348,295059,417730,380670,424896,411344,481133,484721,525007,522446,353634,394518,245353,314671,71506,131033,4684328,4236394,544729,519487,810667,767527,340103,961,1011
2021-12-01T23:59:59+01:00,88295,83046,358372,335945,464491,426547,463899,450138,515375,519694,551333,548995,364948,408154,251971,324436,74350,137208,50045,47438,308718,293712,416034,379036,423489,410103,479940,483668,524129,521596,353301,394112,245196,314432,71474,130931,4673835,4221503,544377,519045,810664,767523,340045,959,1011
2021-11-30T23:59:59+01:00,85647,80629,357740,335377,463751,425668,463300,449429,514887,519171,550838,548417,364620,407769,251815,324170,74277,137039,49572,46978,307370,292567,414536,377673,422355,409010,478883,482740,523347,520858,352990,393777,245048,314231,71444,130849,4661728,4208773,543891,518709,810661,767521,339986,959,1011
2021-11-29T23:59:59+01:00,82702,77944,357176,334909,463123,424948,462798,448852,514492,518673,550456,547965,364372,407433,251718,323947,74220,136893,49189,46570,306038,291484,413023,376413,421151,408051,477884,481856,522601,520169,352718,393487,244912,314012,71421,130770,4650224,4196753,543531,518326,810655,767500,339931,959,1011
2021-11-28T23:59:59+01:00,80609,76067,356720,334487,462594,424343,462404,448386,514122,518265,550125,547602,364208,407206,251632,323779,74183,136807,48931,46312,305237,290813,412000,375630,420355,407441,477255,481303,522147,519741,352554,393281,244820,313894,71398,130721,4641518,4189174,543207,518060,810646,767475,339886,959,1009
2021-11-27T23:59:59+01:00,78575,74207,356407,334244,462268,424016,462116,448127,513895,518067,549973,547446,364150,407117,251608,323738,74167,136792,48771,46156,304678,290339,411367,375159,419854,407094,476822,480991,521885,519532,352497,393217,244793,313865,71390,130715,4635143,4184691,542999,517878,810645,767474,339843,959,1009
2021-11-26T23:59:59+01:00,75059,70914,355706,333620,461647,423316,461641,447565,513412,517627,549620,547067,364007,406913,251541,323614,74150,136732,48391,45806,303629,289482,410258,374393,418923,406326,476036,480362,521410,519114,352379,393073,244737,313791,71373,130699,4622682,4176131,542764,517568,810639,767461,339783,959,1009
2021-11-25T23:59:59+01:00,71198,67522,354665,332600,460587,421980,460736,446526,512581,516701,548945,546299,363637,406485,251366,323341,74095,136613,47789,45213,302035,288100,408527,372897,417557,405065,474783,479233,520606,518385,352158,392798,244637,313626,71343,130631,4605081,4161959,542209,517054,810628,767459,339668,959,1009
2021-11-24T23:59:59+01:00,69489,65784,353815,331859,459750,420998,459949,445681,511911,515982,548319,545633,363346,406015,251223,323019,74029,136449,47465,44896,301043,287205,407237,371800,416546,404204,473893,478438,519901,517772,351942,392497,244516,313443,71309,130555,4592904,4151663,541862,516736,810621,767447,339573,958,1009
2021-11-23T23:59:59+01:00,67693,64206,352914,331051,458862,419909,459103,444806,511154,515190,547690,544957,363018,405556,251022,322696,73955,136301,47169,44632,300157,286499,406089,370890,415650,403465,473071,477728,519307,517241,351721,392214,244391,313244,71266,130464,4580295,4142611,541399,516431,810619,767436,339477,958,1007
2021-11-22T23:59:59+01:00,66265,62902,351987,330273,457867,418885,458215,443974,510489,514416,547091,544308,362703,405128,250868,322421,73899,136151,46934,44382,299245,285802,404955,370054,414743,402789,472359,477061,518756,516818,351523,391963,244287,313096,71239,130394,4568541,4134152,541045,516235,810616,767423,339347,957,1005
2021-11-21T23:59:59+01:00,65185,61833,351202,329618,456956,417999,457450,443336,509881,513816,546604,543793,362473,404797,250761,322253,73860,136054,46807,44259,298721,285417,404310,369596,414206,402351,471930,476687,518442,516535,351379,391803,244223,312985,71222,130356,4559029,4129302,540730,516046,810595,767414,339223,957,1005
2021-11-20T23:59:59+01:00,64495,61199,350477,329084,456213,417302,456752,442818,509415,513388,546285,543444,362351,404646,250715,322179,73848,136026,46744,44179,298400,285161,403876,369320,413851,402098,471622,476443,518255,516395,351331,391733,244201,312957,71217,130353,4552148,4126422,540460,515916,810591,767410,339143,957,1005
2021-11-19T23:59:59+01:00,63225,59922,348954,327717,454874,415976,455600,441698,508491,512453,545653,542782,362112,404358,250625,322053,73823,135969,46489,43930,297469,284515,402936,368600,413051,401476,470913,475891,517785,516064,351214,391581,244143,312886,71204,130333,4538347,4119188,540055,515647,810585,767400,339000,957,1005
